2021 super output area - lower layer,Geog_Code,Total: All usual residents,%,"Asian, Asian British or Asian Welsh",% ,"Asian, Asian British or Asian Welsh: Bangladeshi",%,"Asian, Asian British or Asian Welsh: Chinese",%,"Asian, Asian British or Asian Welsh: Indian",%,"Asian, Asian British or Asian Welsh: Pakistani",%,"Asian, Asian British or Asian Welsh: Other Asian",%,"Black, Black British, Black Welsh, Caribbean or African",%,"Black, Black British, Black Welsh, Caribbean or African: African",%,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",%,"Black, Black British, Black Welsh, Caribbean or African: Other Black",%,Mixed or Multiple ethnic groups,%,Mixed or Multiple ethnic groups: White and Asian,%,Mixed or Multiple ethnic groups: White and Black African,%,Mixed or Multiple ethnic groups: White and Black Caribbean,%,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,%,White,%,"White: English, Welsh, Scottish, Northern Irish or British","% White: English, Welsh, Scottish, Northern Irish or British",White: Irish,%,White: Gypsy or Irish Traveller,%,White: Roma,%,White: Other White,%,Other ethnic group,%,Other ethnic group: Arab,%,Other ethnic group: Any other ethnic group,%
Birmingham 081D,E01009318,1534,100,107,7,19,1.2,1,0.1,36,2.3,44,2.9,7,0.5,32,2.1,12,0.8,9,0.6,11,0.7,52,3.4,11,0.7,6,0.4,25,1.6,10,0.7,1333,86.9,1254,81.7,29,1.9,0,0,2,0.1,48,3.1,10,0.7,1,0.1,9,0.6
Birmingham 081E,E01009319,1549,100,146,9.4,34,2.2,6,0.4,25,1.6,72,4.6,9,0.6,37,2.4,13,0.8,24,1.5,0,0,69,4.5,29,1.9,3,0.2,26,1.7,11,0.7,1294,83.5,1201,77.5,54,3.5,0,0,1,0.1,38,2.5,3,0.2,0,0,3,0.2
Birmingham 081F,E01009320,1627,100,268,16.5,19,1.2,12,0.7,63,3.9,139,8.5,35,2.2,43,2.6,11,0.7,31,1.9,1,0.1,61,3.7,22,1.4,3,0.2,30,1.8,6,0.4,1228,75.5,1141,70.1,37,2.3,0,0,0,0,50,3.1,27,1.7,9,0.6,18,1.1
Birmingham 082A,E01009372,1737,100,1480,85.2,290,16.7,0,0,47,2.7,1093,62.9,50,2.9,40,2.3,22,1.3,13,0.7,5,0.3,44,2.5,27,1.6,2,0.1,1,0.1,14,0.8,69,4,51,2.9,4,0.2,0,0,0,0,14,0.8,104,6,68,3.9,36,2.1
Birmingham 082B,E01009373,1763,100,1515,85.9,381,21.6,8,0.5,39,2.2,1020,57.9,67,3.8,86,4.9,58,3.3,19,1.1,9,0.5,30,1.7,13,0.7,1,0.1,7,0.4,9,0.5,58,3.3,46,2.6,7,0.4,1,0.1,1,0.1,3,0.2,74,4.2,47,2.7,27,1.5
Birmingham 082D,E01009396,2147,100,1785,83.1,173,8.1,10,0.5,96,4.5,1377,64.1,129,6,96,4.5,77,3.6,11,0.5,8,0.4,38,1.8,8,0.4,6,0.3,14,0.7,10,0.5,107,5,65,3,4,0.2,0,0,0,0,38,1.8,121,5.6,39,1.8,82,3.8
Birmingham 082F,E01033643,3306,100,2550,77.1,244,7.4,0,0,134,4.1,2042,61.8,130,3.9,233,7,169,5.1,50,1.5,14,0.4,72,2.2,28,0.8,12,0.4,13,0.4,19,0.6,167,5.1,80,2.4,7,0.2,0,0,2,0.1,78,2.4,284,8.6,145,4.4,139,4.2
Birmingham 083A,E01009367,1789,100,1186,66.3,172,9.6,1,0.1,75,4.2,854,47.7,84,4.7,137,7.7,90,5,37,2.1,10,0.6,65,3.6,20,1.1,12,0.7,15,0.8,18,1,145,8.1,105,5.9,6,0.3,3,0.2,7,0.4,24,1.3,256,14.3,216,12.1,40,2.2
Birmingham 083B,E01009375,1974,100,1263,64,231,11.7,0,0,65,3.3,861,43.6,106,5.4,176,8.9,103,5.2,55,2.8,18,0.9,79,4,20,1,8,0.4,19,1,32,1.6,89,4.5,48,2.4,9,0.5,0,0,1,0.1,31,1.6,367,18.6,307,15.6,60,3
Birmingham 083C,E01009377,1467,100,671,45.7,136,9.3,12,0.8,52,3.5,431,29.4,40,2.7,195,13.3,116,7.9,65,4.4,14,1,120,8.2,44,3,2,0.1,41,2.8,33,2.2,169,11.5,120,8.2,7,0.5,0,0,8,0.5,34,2.3,312,21.3,276,18.8,36,2.5
Birmingham 083D,E01009383,1413,100,1025,72.5,42,3,2,0.1,62,4.4,878,62.1,41,2.9,105,7.4,63,4.5,30,2.1,12,0.8,34,2.4,5,0.4,6,0.4,9,0.6,14,1,184,13,157,11.1,12,0.8,0,0,3,0.2,12,0.8,65,4.6,28,2,37,2.6
Birmingham 083E,E01009399,1644,100,1005,61.1,183,11.1,2,0.1,32,1.9,731,44.5,57,3.5,115,7,78,4.7,29,1.8,8,0.5,40,2.4,16,1,3,0.2,9,0.5,12,0.7,125,7.6,54,3.3,6,0.4,0,0,4,0.2,61,3.7,359,21.8,275,16.7,84,5.1
Birmingham 084A,E01009366,1708,100,613,35.9,74,4.3,15,0.9,54,3.2,398,23.3,72,4.2,239,14,113,6.6,95,5.6,31,1.8,79,4.6,17,1,9,0.5,24,1.4,29,1.7,192,11.2,124,7.3,14,0.8,0,0,0,0,54,3.2,585,34.3,502,29.4,83,4.9
Birmingham 084B,E01009374,1214,100,511,42.1,81,6.7,1,0.1,54,4.4,324,26.7,51,4.2,219,18,121,10,88,7.2,10,0.8,67,5.5,23,1.9,5,0.4,21,1.7,18,1.5,126,10.4,98,8.1,11,0.9,2,0.2,3,0.2,12,1,291,24,249,20.5,42,3.5
Birmingham 084C,E01009376,1561,100,581,37.2,105,6.7,5,0.3,48,3.1,379,24.3,44,2.8,278,17.8,180,11.5,76,4.9,22,1.4,68,4.4,12,0.8,8,0.5,35,2.2,13,0.8,285,18.3,231,14.8,10,0.6,1,0.1,2,0.1,41,2.6,349,22.4,279,17.9,70,4.5
Birmingham 084F,E01033648,2751,100,1780,64.7,120,4.4,1,0,51,1.9,1513,55,95,3.5,228,8.3,118,4.3,92,3.3,18,0.7,124,4.5,21,0.8,13,0.5,38,1.4,52,1.9,378,13.7,296,10.8,24,0.9,5,0.2,5,0.2,48,1.7,241,8.8,158,5.7,83,3
Birmingham 085A,E01009073,1823,100,222,12.2,24,1.3,30,1.6,24,1.3,79,4.3,65,3.6,464,25.5,284,15.6,127,7,53,2.9,239,13.1,25,1.4,76,4.2,94,5.2,44,2.4,779,42.7,673,36.9,24,1.3,0,0,1,0.1,81,4.4,119,6.5,34,1.9,85,4.7
Birmingham 085B,E01009074,1774,100,269,15.2,28,1.6,17,1,36,2,93,5.2,95,5.4,479,27,299,16.9,129,7.3,51,2.9,139,7.8,16,0.9,25,1.4,72,4.1,26,1.5,773,43.6,655,36.9,16,0.9,1,0.1,1,0.1,100,5.6,114,6.4,31,1.7,83,4.7
Birmingham 085C,E01009254,1940,100,362,18.7,23,1.2,27,1.4,157,8.1,102,5.3,53,2.7,245,12.6,145,7.5,84,4.3,16,0.8,114,5.9,24,1.2,21,1.1,47,2.4,22,1.1,1062,54.7,925,47.7,54,2.8,1,0.1,4,0.2,78,4,157,8.1,45,2.3,112,5.8
Birmingham 085D,E01009256,1676,100,285,17,28,1.7,13,0.8,118,7,83,5,43,2.6,193,11.5,116,6.9,56,3.3,21,1.3,108,6.4,15,0.9,6,0.4,78,4.7,9,0.5,994,59.3,888,53,9,0.5,1,0.1,12,0.7,84,5,96,5.7,29,1.7,67,4
Birmingham 085E,E01009258,1519,100,158,10.4,8,0.5,16,1.1,24,1.6,48,3.2,62,4.1,228,15,108,7.1,82,5.4,38,2.5,106,7,21,1.4,10,0.7,52,3.4,23,1.5,983,64.7,866,57,22,1.4,1,0.1,0,0,94,6.2,44,2.9,1,0.1,43,2.8
Birmingham 087B,E01009071,1697,100,276,16.3,10,0.6,43,2.5,131,7.7,60,3.5,32,1.9,130,7.7,87,5.1,26,1.5,17,1,80,4.7,18,1.1,5,0.3,39,2.3,18,1.1,1137,67,981,57.8,38,2.2,2,0.1,0,0,116,6.8,74,4.4,19,1.1,55,3.2
Birmingham 087C,E01009075,1660,100,366,22,34,2,81,4.9,101,6.1,87,5.2,63,3.8,194,11.7,119,7.2,42,2.5,33,2,96,5.8,29,1.7,9,0.5,31,1.9,27,1.6,893,53.8,736,44.3,44,2.7,1,0.1,0,0,112,6.7,111,6.7,33,2,78,4.7
Birmingham 087E,E01009078,1535,100,276,18,7,0.5,59,3.8,106,6.9,54,3.5,50,3.3,207,13.5,135,8.8,58,3.8,14,0.9,74,4.8,21,1.4,2,0.1,24,1.6,27,1.8,854,55.6,700,45.6,22,1.4,3,0.2,5,0.3,124,8.1,124,8.1,57,3.7,67,4.4
Birmingham 087F,E01033562,2550,100,723,28.4,29,1.1,165,6.5,255,10,183,7.2,91,3.6,263,10.3,173,6.8,76,3,14,0.5,134,5.3,31,1.2,13,0.5,48,1.9,42,1.6,1286,50.4,1055,41.4,48,1.9,1,0,0,0,182,7.1,144,5.6,85,3.3,59,2.3
Birmingham 088C,E01009183,1659,100,778,46.9,9,0.5,14,0.8,286,17.2,390,23.5,79,4.8,46,2.8,13,0.8,27,1.6,6,0.4,76,4.6,45,2.7,3,0.2,7,0.4,21,1.3,673,40.6,574,34.6,19,1.1,0,0,0,0,80,4.8,86,5.2,32,1.9,54,3.3
Birmingham 088D,E01009186,1785,100,487,27.3,26,1.5,24,1.3,155,8.7,243,13.6,39,2.2,98,5.5,24,1.3,41,2.3,33,1.8,134,7.5,36,2,11,0.6,52,2.9,35,2,973,54.5,856,48,36,2,0,0,0,0,81,4.5,93,5.2,29,1.6,64,3.6
Birmingham 088F,E01034938,1943,100,1087,55.9,100,5.1,8,0.4,58,3,800,41.2,121,6.2,156,8,57,2.9,67,3.4,32,1.6,60,3.1,12,0.6,6,0.3,20,1,22,1.1,302,15.5,203,10.4,16,0.8,0,0,2,0.1,81,4.2,338,17.4,204,10.5,134,6.9
Birmingham 088G,E01034939,1681,100,867,51.6,19,1.1,10,0.6,52,3.1,733,43.6,53,3.2,124,7.4,66,3.9,47,2.8,11,0.7,57,3.4,10,0.6,1,0.1,13,0.8,33,2,299,17.8,243,14.5,8,0.5,0,0,2,0.1,46,2.7,334,19.9,242,14.4,92,5.5
Birmingham 089A,E01008890,1851,100,626,33.8,35,1.9,11,0.6,123,6.6,403,21.8,54,2.9,151,8.2,60,3.2,64,3.5,27,1.5,90,4.9,26,1.4,2,0.1,37,2,25,1.4,884,47.8,739,39.9,54,2.9,1,0.1,4,0.2,86,4.6,100,5.4,19,1,81,4.4
Birmingham 089B,E01008891,1580,100,231,14.6,36,2.3,0,0,53,3.4,124,7.8,18,1.1,50,3.2,11,0.7,33,2.1,6,0.4,63,4,14,0.9,1,0.1,38,2.4,10,0.6,1193,75.5,1109,70.2,47,3,0,0,1,0.1,36,2.3,43,2.7,20,1.3,23,1.5
Birmingham 089C,E01008892,1485,100,604,40.7,31,2.1,1,0.1,88,5.9,460,31,24,1.6,115,7.7,43,2.9,58,3.9,14,0.9,103,6.9,36,2.4,3,0.2,55,3.7,9,0.6,607,40.9,463,31.2,38,2.6,1,0.1,2,0.1,103,6.9,56,3.8,4,0.3,52,3.5
Birmingham 089D,E01008893,1705,100,423,24.8,48,2.8,9,0.5,165,9.7,184,10.8,17,1,67,3.9,19,1.1,38,2.2,10,0.6,87,5.1,31,1.8,4,0.2,34,2,18,1.1,1067,62.6,871,51.1,70,4.1,6,0.4,5,0.3,115,6.7,61,3.6,14,0.8,47,2.8
Birmingham 089E,E01008894,1602,100,405,25.3,42,2.6,9,0.6,123,7.7,193,12,38,2.4,95,5.9,61,3.8,32,2,2,0.1,106,6.6,35,2.2,5,0.3,46,2.9,20,1.2,945,59,776,48.4,62,3.9,0,0,3,0.2,104,6.5,51,3.2,8,0.5,43,2.7
Birmingham 089F,E01008895,1894,100,403,21.3,47,2.5,10,0.5,142,7.5,173,9.1,31,1.6,77,4.1,30,1.6,34,1.8,13,0.7,90,4.8,35,1.8,2,0.1,40,2.1,13,0.7,1290,68.1,1135,59.9,50,2.6,6,0.3,0,0,99,5.2,34,1.8,25,1.3,9,0.5
Birmingham 089G,E01009015,1850,100,526,28.4,56,3,40,2.2,155,8.4,235,12.7,40,2.2,122,6.6,66,3.6,50,2.7,6,0.3,75,4.1,28,1.5,1,0.1,22,1.2,24,1.3,1010,54.6,773,41.8,57,3.1,1,0.1,1,0.1,178,9.6,117,6.3,35,1.9,82,4.4
Birmingham 090A,E01009014,2611,100,1654,63.3,162,6.2,4,0.2,207,7.9,1126,43.1,155,5.9,193,7.4,99,3.8,78,3,16,0.6,102,3.9,25,1,7,0.3,39,1.5,31,1.2,558,21.4,402,15.4,29,1.1,0,0,3,0.1,124,4.7,104,4,49,1.9,55,2.1
Birmingham 090B,E01009018,1858,100,702,37.8,83,4.5,21,1.1,152,8.2,353,19,93,5,82,4.4,38,2,37,2,7,0.4,95,5.1,51,2.7,5,0.3,28,1.5,11,0.6,889,47.8,726,39.1,73,3.9,2,0.1,1,0.1,87,4.7,90,4.8,9,0.5,81,4.4
Birmingham 090C,E01009026,1984,100,1004,50.6,116,5.8,9,0.5,127,6.4,698,35.2,54,2.7,126,6.4,94,4.7,22,1.1,10,0.5,87,4.4,35,1.8,8,0.4,29,1.5,15,0.8,680,34.3,562,28.3,30,1.5,6,0.3,2,0.1,80,4,87,4.4,57,2.9,30,1.5
Birmingham 090D,E01009028,1867,100,857,45.9,93,5,0,0,55,2.9,658,35.2,51,2.7,119,6.4,84,4.5,17,0.9,18,1,91,4.9,32,1.7,3,0.2,38,2,18,1,712,38.1,604,32.4,33,1.8,0,0,2,0.1,73,3.9,88,4.7,53,2.8,35,1.9
Birmingham 090E,E01009029,1569,100,765,48.8,107,6.8,3,0.2,98,6.2,499,31.8,58,3.7,62,4,29,1.8,26,1.7,7,0.4,61,3.9,24,1.5,8,0.5,14,0.9,15,1,593,37.8,497,31.7,39,2.5,3,0.2,2,0.1,52,3.3,88,5.6,33,2.1,55,3.5
Birmingham 092A,E01009182,1609,100,584,36.3,17,1.1,5,0.3,38,2.4,444,27.6,80,5,240,14.9,99,6.2,90,5.6,51,3.2,90,5.6,18,1.1,8,0.5,36,2.2,28,1.7,516,32.1,416,25.9,16,1,3,0.2,3,0.2,78,4.8,179,11.1,118,7.3,61,3.8
Birmingham 092B,E01009184,1535,100,229,14.9,10,0.7,13,0.8,52,3.4,140,9.1,14,0.9,85,5.5,28,1.8,53,3.5,4,0.3,99,6.4,34,2.2,8,0.5,39,2.5,18,1.2,1067,69.5,880,57.3,72,4.7,2,0.1,3,0.2,110,7.2,55,3.6,26,1.7,29,1.9
Birmingham 092C,E01009187,1491,100,215,14.4,1,0.1,8,0.5,59,4,125,8.4,22,1.5,72,4.8,30,2,29,1.9,13,0.9,56,3.8,25,1.7,1,0.1,18,1.2,12,0.8,1103,74,979,65.7,56,3.8,0,0,3,0.2,65,4.4,45,3,11,0.7,34,2.3
Birmingham 092D,E01009188,1477,100,281,19,4,0.3,20,1.4,85,5.8,143,9.7,29,2,41,2.8,6,0.4,30,2,5,0.3,80,5.4,32,2.2,3,0.2,30,2,15,1,1039,70.3,927,62.8,33,2.2,1,0.1,0,0,78,5.3,36,2.4,0,0,36,2.4
Birmingham 092E,E01009384,1354,100,255,18.8,32,2.4,13,1,56,4.1,133,9.8,21,1.6,224,16.5,88,6.5,106,7.8,30,2.2,97,7.2,31,2.3,7,0.5,44,3.2,15,1.1,669,49.4,549,40.5,37,2.7,0,0,2,0.1,81,6,109,8.1,65,4.8,44,3.2
Birmingham 092F,E01009385,1184,100,337,28.5,20,1.7,14,1.2,50,4.2,235,19.8,18,1.5,69,5.8,23,1.9,37,3.1,9,0.8,74,6.2,10,0.8,9,0.8,27,2.3,28,2.4,637,53.8,536,45.3,30,2.5,0,0,1,0.1,70,5.9,67,5.7,30,2.5,37,3.1
Birmingham 093A,E01009185,1726,100,552,32,18,1,15,0.9,169,9.8,324,18.8,26,1.5,59,3.4,23,1.3,30,1.7,6,0.3,79,4.6,34,2,1,0.1,20,1.2,24,1.4,964,55.9,835,48.4,37,2.1,0,0,2,0.1,90,5.2,72,4.2,21,1.2,51,3
Birmingham 093B,E01009389,1877,100,1368,72.9,52,2.8,5,0.3,92,4.9,1099,58.6,120,6.4,75,4,42,2.2,29,1.5,4,0.2,59,3.1,18,1,2,0.1,26,1.4,13,0.7,177,9.4,129,6.9,11,0.6,1,0.1,0,0,36,1.9,198,10.5,72,3.8,126,6.7
Birmingham 093C,E01009390,1579,100,713,45.2,37,2.3,9,0.6,82,5.2,551,34.9,34,2.2,112,7.1,69,4.4,31,2,12,0.8,57,3.6,17,1.1,4,0.3,21,1.3,15,0.9,634,40.2,500,31.7,34,2.2,0,0,4,0.3,96,6.1,63,4,28,1.8,35,2.2
Birmingham 093D,E01009394,1753,100,862,49.2,30,1.7,0,0,120,6.8,656,37.4,56,3.2,65,3.7,19,1.1,41,2.3,5,0.3,84,4.8,27,1.5,3,0.2,18,1,36,2.1,590,33.7,512,29.2,31,1.8,1,0.1,2,0.1,44,2.5,152,8.7,86,4.9,66,3.8
Birmingham 094A,E01008918,1750,100,207,11.8,22,1.3,0,0,14,0.8,65,3.7,106,6.1,185,10.6,101,5.8,55,3.1,29,1.7,138,7.9,22,1.3,10,0.6,81,4.6,25,1.4,1112,63.5,1047,59.8,20,1.1,0,0,0,0,45,2.6,108,6.2,46,2.6,62,3.5
Birmingham 094B,E01008920,1314,100,78,5.9,0,0,7,0.5,22,1.7,13,1,36,2.7,92,7,44,3.3,32,2.4,16,1.2,52,4,6,0.5,7,0.5,26,2,13,1,1067,81.2,1013,77.1,18,1.4,0,0,0,0,36,2.7,25,1.9,7,0.5,18,1.4
Birmingham 094C,E01008921,1446,100,114,7.9,7,0.5,11,0.8,38,2.6,26,1.8,32,2.2,131,9.1,52,3.6,67,4.6,12,0.8,70,4.8,9,0.6,4,0.3,51,3.5,6,0.4,1106,76.5,1044,72.2,14,1,0,0,8,0.6,40,2.8,25,1.7,8,0.6,17,1.2
Birmingham 094D,E01008931,1452,100,219,15.1,16,1.1,17,1.2,31,2.1,40,2.8,115,7.9,189,13,111,7.6,56,3.9,22,1.5,124,8.5,18,1.2,10,0.7,78,5.4,18,1.2,876,60.3,813,56,12,0.8,0,0,0,0,51,3.5,44,3,19,1.3,25,1.7
Birmingham 094E,E01009259,1700,100,145,8.5,20,1.2,10,0.6,20,1.2,26,1.5,69,4.1,337,19.8,135,7.9,149,8.8,53,3.1,114,6.7,21,1.2,10,0.6,63,3.7,20,1.2,1038,61.1,934,54.9,30,1.8,0,0,0,0,74,4.4,66,3.9,30,1.8,36,2.1
Birmingham 095A,E01008919,1639,100,234,14.3,2,0.1,37,2.3,89,5.4,60,3.7,46,2.8,159,9.7,89,5.4,51,3.1,19,1.2,152,9.3,15,0.9,80,4.9,35,2.1,22,1.3,1013,61.8,957,58.4,8,0.5,1,0.1,0,0,47,2.9,81,4.9,49,3,32,2
Birmingham 095B,E01009064,1500,100,228,15.2,12,0.8,25,1.7,68,4.5,78,5.2,45,3,188,12.5,83,5.5,74,4.9,31,2.1,115,7.7,26,1.7,12,0.8,62,4.1,15,1,869,57.9,747,49.8,16,1.1,2,0.1,1,0.1,103,6.9,100,6.7,44,2.9,56,3.7
Birmingham 095C,E01009077,1609,100,329,20.4,11,0.7,42,2.6,139,8.6,72,4.5,65,4,112,7,45,2.8,42,2.6,25,1.6,124,7.7,31,1.9,8,0.5,38,2.4,47,2.9,951,59.1,835,51.9,34,2.1,0,0,0,0,82,5.1,93,5.8,52,3.2,41,2.5
Birmingham 095D,E01009291,1476,100,165,11.2,5,0.3,16,1.1,36,2.4,41,2.8,67,4.5,87,5.9,54,3.7,26,1.8,7,0.5,82,5.6,20,1.4,9,0.6,42,2.8,11,0.7,1100,74.5,942,63.8,25,1.7,0,0,1,0.1,132,8.9,42,2.8,16,1.1,26,1.8
Birmingham 095E,E01009500,1513,100,194,12.8,15,1,27,1.8,51,3.4,33,2.2,68,4.5,178,11.8,95,6.3,47,3.1,36,2.4,83,5.5,14,0.9,3,0.2,47,3.1,19,1.3,980,64.8,888,58.7,13,0.9,2,0.1,0,0,77,5.1,78,5.2,25,1.7,53,3.5
Birmingham 096A,E01009284,4344,100,1016,23.4,46,1.1,359,8.3,314,7.2,130,3,167,3.8,518,11.9,353,8.1,139,3.2,26,0.6,259,6,79,1.8,37,0.9,90,2.1,53,1.2,2402,55.3,2099,48.3,45,1,2,0,5,0.1,251,5.8,149,3.4,41,0.9,108,2.5
Birmingham 096C,E01009286,2405,100,289,12,17,0.7,35,1.5,145,6,53,2.2,39,1.6,104,4.3,72,3,25,1,7,0.3,147,6.1,65,2.7,15,0.6,35,1.5,32,1.3,1820,75.7,1661,69.1,33,1.4,3,0.1,2,0.1,121,5,45,1.9,16,0.7,29,1.2
Birmingham 096E,E01009289,2519,100,391,15.5,63,2.5,69,2.7,157,6.2,44,1.7,58,2.3,134,5.3,94,3.7,33,1.3,7,0.3,145,5.8,71,2.8,9,0.4,45,1.8,20,0.8,1759,69.8,1610,63.9,30,1.2,1,0,1,0,117,4.6,90,3.6,43,1.7,47,1.9
Birmingham 096F,E01009290,2428,100,238,9.8,9,0.4,43,1.8,101,4.2,31,1.3,54,2.2,130,5.4,101,4.2,28,1.2,1,0,123,5.1,53,2.2,6,0.2,36,1.5,28,1.2,1857,76.5,1661,68.4,26,1.1,1,0,2,0.1,167,6.9,80,3.3,5,0.2,75,3.1
Birmingham 096H,E01034940,2182,100,689,31.6,35,1.6,398,18.2,121,5.5,81,3.7,54,2.5,180,8.2,104,4.8,49,2.2,27,1.2,108,4.9,37,1.7,6,0.3,53,2.4,12,0.5,1104,50.6,1016,46.6,10,0.5,0,0,3,0.1,75,3.4,101,4.6,57,2.6,44,2
Birmingham 096I,E01034941,2101,100,199,9.5,9,0.4,54,2.6,74,3.5,25,1.2,37,1.8,56,2.7,35,1.7,18,0.9,3,0.1,102,4.9,51,2.4,7,0.3,24,1.1,20,1,1697,80.8,1591,75.7,21,1,1,0,0,0,84,4,47,2.2,13,0.6,34,1.6
Birmingham 097A,E01009017,1800,100,1416,78.7,80,4.4,5,0.3,183,10.2,1015,56.4,133,7.4,35,1.9,15,0.8,13,0.7,7,0.4,19,1.1,11,0.6,0,0,4,0.2,4,0.2,245,13.6,163,9.1,24,1.3,0,0,9,0.5,49,2.7,85,4.7,24,1.3,61,3.4
Birmingham 097B,E01009043,1993,100,1316,66,99,5,3,0.2,163,8.2,966,48.5,85,4.3,45,2.3,16,0.8,22,1.1,7,0.4,58,2.9,22,1.1,9,0.5,14,0.7,13,0.7,436,21.9,333,16.7,35,1.8,1,0.1,1,0.1,66,3.3,138,6.9,63,3.2,75,3.8
Birmingham 097C,E01009044,1760,100,1366,77.6,35,2,4,0.2,67,3.8,1172,66.6,88,5,63,3.6,38,2.2,14,0.8,11,0.6,36,2,11,0.6,0,0,14,0.8,11,0.6,201,11.4,135,7.7,25,1.4,1,0.1,0,0,40,2.3,94,5.3,39,2.2,55,3.1
Birmingham 097D,E01009045,2047,100,1245,60.8,68,3.3,3,0.1,252,12.3,840,41,82,4,108,5.3,45,2.2,48,2.3,15,0.7,86,4.2,30,1.5,8,0.4,21,1,27,1.3,507,24.8,410,20,45,2.2,0,0,2,0.1,50,2.4,101,4.9,37,1.8,64,3.1
Birmingham 097E,E01009046,1820,100,1013,55.7,77,4.2,9,0.5,143,7.9,666,36.6,118,6.5,31,1.7,10,0.5,21,1.2,0,0,77,4.2,43,2.4,0,0,14,0.8,20,1.1,598,32.9,491,27,74,4.1,0,0,2,0.1,31,1.7,101,5.5,21,1.2,80,4.4
Birmingham 097F,E01009395,1700,100,1119,65.8,59,3.5,3,0.2,111,6.5,891,52.4,55,3.2,132,7.8,56,3.3,69,4.1,7,0.4,54,3.2,11,0.6,2,0.1,17,1,24,1.4,306,18,243,14.3,14,0.8,1,0.1,6,0.4,42,2.5,89,5.2,51,3,38,2.2
Birmingham 098A,E01009016,1649,100,560,34,45,2.7,3,0.2,104,6.3,372,22.6,36,2.2,106,6.4,40,2.4,58,3.5,8,0.5,46,2.8,22,1.3,1,0.1,15,0.9,8,0.5,885,53.7,752,45.6,58,3.5,1,0.1,0,0,74,4.5,52,3.2,23,1.4,29,1.8
Birmingham 098B,E01009022,1832,100,881,48.1,61,3.3,3,0.2,170,9.3,597,32.6,50,2.7,103,5.6,25,1.4,60,3.3,18,1,91,5,28,1.5,2,0.1,40,2.2,21,1.1,671,36.6,567,30.9,35,1.9,0,0,0,0,69,3.8,86,4.7,42,2.3,44,2.4
Birmingham 098C,E01009023,1710,100,864,50.5,78,4.6,11,0.6,208,12.2,516,30.2,51,3,52,3,14,0.8,28,1.6,10,0.6,63,3.7,16,0.9,5,0.3,21,1.2,21,1.2,631,36.9,560,32.7,40,2.3,0,0,0,0,31,1.8,100,5.8,28,1.6,72,4.2
Birmingham 098D,E01009030,1885,100,1157,61.4,103,5.5,6,0.3,228,12.1,754,40,66,3.5,86,4.6,39,2.1,39,2.1,8,0.4,79,4.2,21,1.1,11,0.6,31,1.6,16,0.8,469,24.9,408,21.6,32,1.7,0,0,2,0.1,27,1.4,94,5,12,0.6,82,4.4
Birmingham 099A,E01009281,1544,100,150,9.7,5,0.3,42,2.7,33,2.1,5,0.3,65,4.2,43,2.8,7,0.5,31,2,5,0.3,87,5.6,27,1.7,6,0.4,30,1.9,24,1.6,1240,80.3,1155,74.8,21,1.4,1,0.1,3,0.2,60,3.9,24,1.6,3,0.2,21,1.4
Birmingham 099B,E01009292,1573,100,321,20.4,3,0.2,71,4.5,131,8.3,51,3.2,65,4.1,90,5.7,51,3.2,28,1.8,11,0.7,88,5.6,38,2.4,5,0.3,23,1.5,22,1.4,1002,63.7,841,53.5,22,1.4,1,0.1,2,0.1,136,8.6,72,4.6,34,2.2,38,2.4
Birmingham 099C,E01009294,1932,100,248,12.8,5,0.3,52,2.7,96,5,44,2.3,51,2.6,146,7.6,77,4,52,2.7,17,0.9,101,5.2,51,2.6,7,0.4,29,1.5,14,0.7,1368,70.8,1201,62.2,29,1.5,3,0.2,2,0.1,133,6.9,69,3.6,26,1.3,43,2.2
Birmingham 099D,E01009295,1691,100,427,25.3,34,2,86,5.1,156,9.2,106,6.3,45,2.7,137,8.1,80,4.7,45,2.7,12,0.7,76,4.5,25,1.5,7,0.4,25,1.5,19,1.1,973,57.5,838,49.6,27,1.6,5,0.3,7,0.4,96,5.7,78,4.6,33,2,45,2.7
Birmingham 100A,E01009280,1724,100,240,13.9,23,1.3,40,2.3,85,4.9,54,3.1,38,2.2,73,4.2,35,2,31,1.8,7,0.4,110,6.4,23,1.3,7,0.4,45,2.6,35,2,1266,73.4,1126,65.3,48,2.8,0,0,0,0,92,5.3,35,2,4,0.2,31,1.8
Birmingham 100B,E01009282,1714,100,291,17,54,3.2,25,1.5,45,2.6,144,8.4,23,1.3,161,9.4,38,2.2,65,3.8,58,3.4,118,6.9,16,0.9,2,0.1,62,3.6,38,2.2,1120,65.3,983,57.4,58,3.4,4,0.2,4,0.2,71,4.1,24,1.4,3,0.2,21,1.2
Birmingham 100C,E01009288,1347,100,372,27.6,15,1.1,79,5.9,159,11.8,90,6.7,29,2.2,45,3.3,17,1.3,24,1.8,4,0.3,63,4.7,11,0.8,9,0.7,28,2.1,15,1.1,811,60.2,671,49.8,61,4.5,0,0,1,0.1,78,5.8,56,4.2,20,1.5,36,2.7
Birmingham 100D,E01009293,1545,100,360,23.3,79,5.1,7,0.5,52,3.4,179,11.6,43,2.8,107,6.9,72,4.7,25,1.6,10,0.6,94,6.1,21,1.4,16,1,34,2.2,23,1.5,929,60.1,794,51.4,31,2,0,0,3,0.2,101,6.5,55,3.6,26,1.7,29,1.9
