2021 super output area - lower layer,Geog_Code,Total: All usual residents,%,"Asian, Asian British or Asian Welsh",% ,"Asian, Asian British or Asian Welsh: Bangladeshi",%,"Asian, Asian British or Asian Welsh: Chinese",%,"Asian, Asian British or Asian Welsh: Indian",%,"Asian, Asian British or Asian Welsh: Pakistani",%,"Asian, Asian British or Asian Welsh: Other Asian",%,"Black, Black British, Black Welsh, Caribbean or African",%,"Black, Black British, Black Welsh, Caribbean or African: African",%,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",%,"Black, Black British, Black Welsh, Caribbean or African: Other Black",%,Mixed or Multiple ethnic groups,%,Mixed or Multiple ethnic groups: White and Asian,%,Mixed or Multiple ethnic groups: White and Black African,%,Mixed or Multiple ethnic groups: White and Black Caribbean,%,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,%,White,%,"White: English, Welsh, Scottish, Northern Irish or British","% White: English, Welsh, Scottish, Northern Irish or British",White: Irish,%,White: Gypsy or Irish Traveller,%,White: Roma,%,White: Other White,%,Other ethnic group,%,Other ethnic group: Arab,%,Other ethnic group: Any other ethnic group,%
Birmingham 055D,E01009490,2162,100,1404,64.9,123,5.7,5,0.2,38,1.8,1134,52.5,104,4.8,211,9.8,167,7.7,27,1.2,17,0.8,49,2.3,5,0.2,5,0.2,23,1.1,16,0.7,379,17.5,285,13.2,17,0.8,0,0,9,0.4,68,3.1,119,5.5,20,0.9,99,4.6
Birmingham 055E,E01009492,2024,100,1421,70.2,108,5.3,5,0.2,38,1.9,1202,59.4,68,3.4,144,7.1,113,5.6,25,1.2,6,0.3,55,2.7,20,1,9,0.4,16,0.8,10,0.5,254,12.5,191,9.4,5,0.2,3,0.1,4,0.2,51,2.5,150,7.4,15,0.7,135,6.7
Birmingham 056A,E01009095,1840,100,922,50.1,37,2,6,0.3,55,3,741,40.3,83,4.5,149,8.1,32,1.7,94,5.1,23,1.2,85,4.6,12,0.7,0,0,38,2.1,35,1.9,607,33,522,28.4,22,1.2,3,0.2,2,0.1,58,3.2,77,4.2,23,1.2,54,2.9
Birmingham 056B,E01009507,1621,100,719,44.4,9,0.6,3,0.2,24,1.5,616,38,67,4.1,135,8.3,60,3.7,59,3.6,16,1,90,5.6,26,1.6,4,0.2,44,2.7,16,1,603,37.2,526,32.4,41,2.5,0,0,0,0,36,2.2,74,4.6,22,1.4,52,3.2
Birmingham 056C,E01009508,1649,100,692,42,30,1.8,11,0.7,55,3.3,544,33,52,3.2,129,7.8,50,3,57,3.5,22,1.3,87,5.3,20,1.2,4,0.2,45,2.7,18,1.1,691,41.9,612,37.1,28,1.7,1,0.1,0,0,50,3,50,3,23,1.4,27,1.6
Birmingham 056D,E01009509,2053,100,1157,56.4,45,2.2,17,0.8,59,2.9,915,44.6,121,5.9,229,11.2,161,7.8,57,2.8,11,0.5,83,4,30,1.5,16,0.8,21,1,16,0.8,476,23.2,404,19.7,20,1,1,0,6,0.3,45,2.2,108,5.3,22,1.1,86,4.2
Birmingham 056E,E01009510,1753,100,557,31.8,20,1.1,5,0.3,50,2.9,410,23.4,72,4.1,155,8.8,93,5.3,39,2.2,23,1.3,102,5.8,22,1.3,3,0.2,62,3.5,15,0.9,884,50.4,835,47.6,19,1.1,0,0,0,0,30,1.7,55,3.1,15,0.9,40,2.3
Birmingham 057A,E01009297,1822,100,115,6.3,9,0.5,0,0,11,0.6,71,3.9,24,1.3,107,5.9,35,1.9,50,2.7,22,1.2,158,8.7,34,1.9,7,0.4,94,5.2,23,1.3,1410,77.4,1308,71.8,32,1.8,0,0,0,0,70,3.8,32,1.8,19,1,13,0.7
Birmingham 057B,E01009299,1582,100,319,20.2,16,1,1,0.1,23,1.5,195,12.3,84,5.3,136,8.6,51,3.2,67,4.2,18,1.1,111,7,27,1.7,5,0.3,64,4,15,0.9,979,61.9,914,57.8,12,0.8,1,0.1,0,0,52,3.3,37,2.3,15,0.9,22,1.4
Birmingham 057C,E01009300,1935,100,424,21.9,17,0.9,9,0.5,32,1.7,284,14.7,82,4.2,175,9,80,4.1,57,2.9,38,2,169,8.7,27,1.4,13,0.7,114,5.9,15,0.8,1126,58.2,1001,51.7,21,1.1,11,0.6,2,0.1,91,4.7,41,2.1,12,0.6,29,1.5
