2021 super output area - lower layer,mnemonic,Total: All usual residents aged 16 years and over,%,No qualifications,%,Level 1 and entry level qualifications,%,Level 2 qualifications,%,Apprenticeship,%,Level 3 qualifications,%,Level 4 qualifications or above,% Level 4 qualifications or above  ,Other qualifications,%
Birmingham 062A,E01009512,1451,100,379,26.1,187,12.9,262,18.1,53,3.7,257,17.7,273,18.8,40,2.8
Birmingham 062B,E01009514,1282,100,415,32.4,162,12.6,181,14.1,51,4,193,15.1,243,19,37,2.9
Birmingham 062C,E01009516,1089,100,282,25.9,111,10.2,160,14.7,46,4.2,178,16.3,279,25.6,33,3
Birmingham 062D,E01009517,1500,100,466,31.1,164,10.9,217,14.5,66,4.4,233,15.5,312,20.8,42,2.8
Birmingham 063A,E01009325,1412,100,486,34.4,167,11.8,202,14.3,34,2.4,213,15.1,263,18.6,47,3.3
Birmingham 063D,E01009342,1403,100,507,36.1,154,11,188,13.4,33,2.4,175,12.5,309,22,37,2.6
Birmingham 063E,E01009343,1276,100,481,37.7,190,14.9,163,12.8,28,2.2,133,10.4,243,19,38,3
Birmingham 063F,E01033642,2385,100,780,32.7,313,13.1,315,13.2,26,1.1,351,14.7,505,21.2,95,4
Birmingham 064A,E01008986,1311,100,184,14,85,6.5,90,6.9,48,3.7,160,12.2,701,53.5,43,3.3
Birmingham 064B,E01008987,1407,100,270,19.2,111,7.9,119,8.5,31,2.2,388,27.6,452,32.1,36,2.6
Birmingham 064C,E01008988,1874,100,271,14.5,119,6.4,187,10,42,2.2,267,14.2,960,51.2,28,1.5
Birmingham 064D,E01008989,1518,100,236,15.5,121,8,111,7.3,54,3.6,210,13.8,737,48.6,49,3.2
Birmingham 064E,E01008990,992,100,72,7.3,39,3.9,70,7.1,19,1.9,94,9.5,667,67.2,31,3.1
Birmingham 064F,E01008991,1402,100,191,13.6,69,4.9,133,9.5,31,2.2,122,8.7,814,58.1,42,3
Birmingham 066A,E01008882,1442,100,472,32.7,186,12.9,177,12.3,63,4.4,215,14.9,271,18.8,58,4
Birmingham 066B,E01008896,1283,100,398,31,170,13.3,193,15,39,3,214,16.7,231,18,38,3
Birmingham 066C,E01008898,1248,100,450,36.1,137,11,153,12.3,50,4,184,14.7,225,18,49,3.9
Birmingham 066D,E01009326,1478,100,456,30.9,190,12.9,178,12,46,3.1,242,16.4,321,21.7,45,3
Birmingham 066E,E01009341,1162,100,362,31.2,157,13.5,154,13.3,33,2.8,141,12.1,272,23.4,43,3.7
Birmingham 066F,E01009513,1365,100,402,29.5,157,11.5,195,14.3,32,2.3,195,14.3,336,24.6,48,3.5
Birmingham 067A,E01008881,1320,100,369,28,159,12,171,13,41,3.1,193,14.6,342,25.9,45,3.4
Birmingham 067B,E01008897,1425,100,384,26.9,164,11.5,198,13.9,50,3.5,232,16.3,334,23.4,63,4.4
Birmingham 067C,E01009515,1363,100,415,30.4,135,9.9,164,12,60,4.4,170,12.5,375,27.5,44,3.2
Birmingham 067D,E01009518,1417,100,355,25.1,151,10.7,173,12.2,65,4.6,209,14.7,413,29.1,51,3.6
Birmingham 067E,E01009521,1355,100,264,19.5,157,11.6,203,15,63,4.6,249,18.4,385,28.4,34,2.5
Birmingham 069A,E01009302,1244,100,349,28.1,152,12.2,185,14.9,86,6.9,195,15.7,227,18.2,50,4
Birmingham 069B,E01009314,1512,100,407,26.9,189,12.5,241,15.9,93,6.2,266,17.6,269,17.8,47,3.1
Birmingham 069C,E01009321,1471,100,499,33.9,185,12.6,232,15.8,62,4.2,212,14.4,241,16.4,40,2.7
Birmingham 069D,E01009322,1342,100,421,31.4,171,12.7,214,15.9,60,4.5,185,13.8,255,19,36,2.7
Birmingham 069E,E01009323,1345,100,368,27.4,159,11.8,216,16.1,54,4,232,17.2,271,20.1,45,3.3
Birmingham 070A,E01009329,1906,100,650,34.1,241,12.6,244,12.8,37,1.9,264,13.9,394,20.7,76,4
Birmingham 070B,E01009334,1408,100,504,35.8,138,9.8,179,12.7,14,1,222,15.8,310,22,41,2.9
Birmingham 070C,E01009337,1361,100,459,33.7,171,12.6,197,14.5,19,1.4,180,13.2,281,20.6,54,4
Birmingham 070D,E01009338,1281,100,449,35.1,184,14.4,154,12,25,2,171,13.3,250,19.5,48,3.7
Birmingham 070E,E01009380,1255,100,442,35.2,175,13.9,154,12.3,27,2.2,167,13.3,217,17.3,73,5.8
Birmingham 071A,E01009362,997,100,306,30.7,111,11.1,122,12.2,29,2.9,137,13.7,224,22.5,68,6.8
Birmingham 071B,E01009363,1326,100,424,32,201,15.2,185,14,42,3.2,195,14.7,246,18.6,33,2.5
Birmingham 071C,E01009364,1127,100,302,26.8,181,16.1,150,13.3,31,2.8,211,18.7,212,18.8,40,3.5
Birmingham 071D,E01009365,1387,100,469,33.8,176,12.7,163,11.8,33,2.4,179,12.9,289,20.8,78,5.6
Birmingham 071E,E01009379,1431,100,581,40.6,177,12.4,153,10.7,39,2.7,181,12.6,237,16.6,63,4.4
Birmingham 072A,E01009312,1286,100,279,21.7,161,12.5,189,14.7,71,5.5,222,17.3,342,26.6,22,1.7
Birmingham 072B,E01009324,1413,100,377,26.7,165,11.7,187,13.2,76,5.4,255,18,307,21.7,46,3.3
Birmingham 072C,E01009519,1188,100,237,19.9,155,13,178,15,66,5.6,247,20.8,275,23.1,30,2.5
Birmingham 072D,E01009520,1445,100,302,20.9,154,10.7,214,14.8,76,5.3,255,17.6,400,27.7,44,3
Birmingham 073A,E01009066,1608,100,274,17,83,5.2,152,9.5,50,3.1,149,9.3,863,53.7,37,2.3
Birmingham 073B,E01009070,1291,100,170,13.2,85,6.6,133,10.3,27,2.1,132,10.2,715,55.4,29,2.2
Birmingham 073C,E01009252,1307,100,133,10.2,75,5.7,86,6.6,22,1.7,144,11,816,62.4,31,2.4
Birmingham 073D,E01009260,1331,100,220,16.5,68,5.1,130,9.8,39,2.9,131,9.8,711,53.4,32,2.4
Birmingham 073E,E01009261,1423,100,248,17.4,105,7.4,170,11.9,48,3.4,176,12.4,645,45.3,31,2.2
Birmingham 074A,E01008984,1427,100,356,24.9,130,9.1,125,8.8,51,3.6,199,13.9,501,35.1,65,4.6
Birmingham 074B,E01008994,1349,100,148,11,52,3.9,111,8.2,36,2.7,242,17.9,721,53.4,39,2.9
Birmingham 074C,E01008996,1376,100,416,30.2,144,10.5,168,12.2,45,3.3,174,12.6,396,28.8,33,2.4
Birmingham 074D,E01008997,1239,100,161,13,70,5.6,100,8.1,25,2,177,14.3,692,55.9,14,1.1
Birmingham 075A,E01009065,1318,100,140,10.6,53,4,89,6.8,24,1.8,108,8.2,897,68.1,7,0.5
Birmingham 075B,E01009067,1232,100,106,8.6,43,3.5,114,9.3,22,1.8,102,8.3,823,66.8,22,1.8
Birmingham 075C,E01009068,1324,100,109,8.2,40,3,70,5.3,21,1.6,192,14.5,874,66,18,1.4
Birmingham 075D,E01009069,1413,100,151,10.7,64,4.5,72,5.1,32,2.3,188,13.3,888,62.8,18,1.3
Birmingham 075E,E01009072,1511,100,154,10.2,88,5.8,139,9.2,29,1.9,173,11.4,901,59.6,27,1.8
Birmingham 076A,E01008885,1063,100,235,22.1,115,10.8,179,16.8,49,4.6,173,16.3,270,25.4,42,4
