2021 super output area - lower layer,mnemonic,Total: All usual residents aged 16 years and over,%,No qualifications,%,Level 1 and entry level qualifications,%,Level 2 qualifications,%,Apprenticeship,%,Level 3 qualifications,%,Level 4 qualifications or above,% Level 4 qualifications or above  ,Other qualifications,%
Birmingham 139C,E01009328,1810,100,695,38.4,231,12.8,254,14,14,0.8,250,13.8,309,17.1,57,3.1
Birmingham 139D,E01009331,1717,100,628,36.6,184,10.7,256,14.9,24,1.4,208,12.1,349,20.3,68,4
Birmingham 139E,E01009332,1373,100,459,33.4,178,13,186,13.5,48,3.5,194,14.1,255,18.6,53,3.9
Birmingham 139F,E01009333,1068,100,401,37.5,117,11,146,13.7,22,2.1,158,14.8,185,17.3,39,3.7
Birmingham 139G,E01009335,1443,100,468,32.4,196,13.6,194,13.4,42,2.9,213,14.8,270,18.7,60,4.2
Birmingham 139H,E01009344,1251,100,408,32.6,208,16.6,169,13.5,25,2,178,14.2,214,17.1,49,3.9
Birmingham 141A,E01009008,1212,100,255,21,142,11.7,151,12.5,70,5.8,210,17.3,345,28.5,39,3.2
Birmingham 141B,E01009011,1428,100,387,27.1,163,11.4,189,13.2,68,4.8,251,17.6,337,23.6,33,2.3
Birmingham 141C,E01009012,1222,100,231,18.9,128,10.5,182,14.9,71,5.8,216,17.7,367,30,27,2.2
Birmingham 141D,E01009104,1240,100,345,27.8,164,13.2,180,14.5,54,4.4,165,13.3,292,23.5,40,3.2
Birmingham 141E,E01009102,1205,100,404,33.5,153,12.7,150,12.4,44,3.7,169,14,247,20.5,38,3.2
Birmingham 141F,E01009080,857,100,228,26.6,145,16.9,141,16.5,26,3,135,15.8,155,18.1,27,3.2
Birmingham 141G,E01009079,1004,100,291,29,127,12.6,129,12.8,46,4.6,163,16.2,220,21.9,28,2.8
Birmingham 141H,E01009081,996,100,304,30.5,177,17.8,132,13.3,45,4.5,118,11.8,181,18.2,39,3.9
Birmingham 141I,E01009083,1126,100,324,28.8,88,7.8,159,14.1,60,5.3,183,16.3,275,24.4,37,3.3
Birmingham 142A,E01009339,1171,100,425,36.3,129,11,179,15.3,27,2.3,136,11.6,243,20.8,32,2.7
Birmingham 142B,E01034952,889,100,257,28.9,98,11,140,15.7,32,3.6,144,16.2,183,20.6,35,3.9
Birmingham 142C,E01034953,1133,100,418,36.9,131,11.6,132,11.7,33,2.9,139,12.3,244,21.5,36,3.2
Birmingham 142D,E01009382,1494,100,506,33.9,178,11.9,164,11,40,2.7,212,14.2,345,23.1,49,3.3
Birmingham 142E,E01009392,1307,100,429,32.8,168,12.9,150,11.5,21,1.6,188,14.4,298,22.8,53,4.1
Birmingham 143A,E01034954,1237,100,325,26.3,144,11.6,189,15.3,36,2.9,202,16.3,278,22.5,63,5.1
Birmingham 143B,E01034955,1453,100,432,29.7,190,13.1,188,12.9,25,1.7,231,15.9,337,23.2,50,3.4
Birmingham 143C,E01009391,1263,100,409,32.4,159,12.6,178,14.1,36,2.9,181,14.3,236,18.7,64,5.1
Birmingham 143D,E01009393,1248,100,423,33.9,174,13.9,154,12.3,31,2.5,152,12.2,247,19.8,67,5.4
