"Code","White_British","Low_Occupancy","Unemployed","Qualification"
"E01009169",87.7,2.6,3.9,25.5
"E01009170",90.5,3.8,2.4,24.5
"E01009171",85,5.7,4.2,26
"E01009172",69.5,6.6,5,22.6
"E01009173",68.2,9.9,5.1,24
"E01009174",82,7.5,4.2,16.5
"E01009175",62.3,2.9,3.3,55.3
"E01009176",34.2,6.8,4.3,40.3
"E01009177",57.2,3.2,4.1,53.7
"E01009178",59.1,4,3.5,50.7
"E01009179",54.9,2.5,3.5,48.1
"E01009182",25.9,14,5.6,35.1
"E01009183",34.6,1.9,2.4,64
"E01009184",57.3,5.8,3.9,58.6
"E01009185",48.4,6.8,3.6,52.6
"E01009186",48,2.3,3.8,55.3
"E01009187",65.7,3.4,3.9,59.8
"E01009188",62.8,5.9,3.2,57.5
"E01009189",60.4,3.4,2.7,58.9
"E01009192",1.2,13.9,6,20.2
"E01009195",4.9,17.4,6.5,18.1
"E01009197",6.5,10.9,6.3,22.8
"E01009199",13.6,14.5,6.8,33.8
"E01009200",11.1,17.5,5.9,29.5
"E01009201",20.4,17.3,8,19.8
"E01009202",15,14.8,5.7,22.3
"E01009204",14.4,15.1,6.9,22
"E01009205",81.2,2.3,2.9,37.6
"E01009206",79.6,2.6,2.8,33.6
"E01009207",82.6,1.7,2.3,30.6
"E01009208",81.4,2.6,1.9,30.8
"E01009209",77.1,5,3.2,26.6
"E01009210",78.5,7.2,5,25.6
"E01009211",81.3,6.3,3.7,30
"E01009212",74.1,9.1,5.1,19.5
"E01009213",76.7,5,3.9,22.5
"E01009214",76.8,8.4,5.3,19.8
"E01009215",70.9,8.1,7.1,21.2
"E01009216",76,5,3.7,24.4
"E01009217",90.4,3.3,1.9,24.1
"E01009218",77.6,1.2,1.6,47
"E01009219",70.1,4.4,3.4,29.5
"E01009220",73.9,6.8,3.7,21.1
"E01009221",74.5,5.9,3.4,21.9
"E01009222",69.9,6.5,5.2,21.5
"E01009223",70.3,3.5,3.4,23.7
"E01009224",76.2,1.9,3.1,21.9
"E01009225",69.6,5.8,4.3,19.6
"E01009226",71.5,5.2,4.6,23.6
"E01009227",64.4,3,3.4,23.3
"E01009228",71.1,3.4,3.4,24.6
"E01009229",65.6,3.5,3.5,21.5
"E01009230",70.9,8.3,4.3,20.2
"E01009231",61.8,2.4,3.6,21.3
"E01009232",49.8,3.7,4.1,25.9
"E01009233",80.2,8.1,5.1,18.8
"E01009234",64.7,1,3,24.8
"E01009235",38.3,3.3,3.9,30.9
"E01009236",51.8,1.2,4.2,27.3
"E01009237",31.4,5.9,5.2,28.1
"E01009238",33.4,5.4,3.7,29.7
"E01009239",25,13.4,5.7,26.7
"E01009240",29.6,2.4,4.7,33.4
"E01009241",19.3,3,4.5,32.4
"E01009242",12.7,8.8,5.2,30.4
"E01009243",49.7,3.1,2.6,31.2
"E01009244",59.5,2.9,4.2,30.4
"E01009245",43.8,2.5,2.1,29.2
"E01009246",53.1,1.4,4.4,30.2
"E01009247",45.5,1.4,4.6,29.8
"E01009248",65.5,1.8,3.4,24.2
