2021 super output area - lower layer,Geog_Code,Total: All households,%,Occupancy rating of rooms: +2 or more,%,Occupancy rating of rooms: +1,%,Occupancy rating of rooms: 0,%,Occupancy rating of rooms: -1,% Occupancy rating of rooms: -1 or less,Occupancy rating of rooms: -2 or less,%
Birmingham 066C,E01008898,557,100,145,26,139,25,174,31.2,69,12.4,30,5.4
Birmingham 066D,E01009326,559,100,148,26.5,95,17,164,29.3,89,15.9,63,11.3
Birmingham 066E,E01009341,523,100,81,15.5,104,19.9,230,44,75,14.3,33,6.3
Birmingham 066F,E01009513,592,100,175,29.6,146,24.7,179,30.2,61,10.3,31,5.2
Birmingham 067A,E01008881,584,100,229,39.2,133,22.8,148,25.3,50,8.6,24,4.1
Birmingham 067B,E01008897,618,100,269,43.5,143,23.1,125,20.2,55,8.9,26,4.2
Birmingham 067C,E01009515,635,100,225,35.4,178,28,182,28.7,38,6,12,1.9
Birmingham 067D,E01009518,707,100,324,45.8,192,27.2,148,20.9,28,4,15,2.1
Birmingham 067E,E01009521,615,100,357,58,142,23.1,78,12.7,31,5,7,1.1
Birmingham 069A,E01009302,611,100,350,57.3,139,22.7,95,15.5,26,4.3,1,0.2
Birmingham 069B,E01009314,749,100,302,40.3,224,29.9,162,21.6,44,5.9,17,2.3
Birmingham 069C,E01009321,816,100,122,15,243,29.8,336,41.2,85,10.4,30,3.7
Birmingham 069D,E01009322,725,100,168,23.2,181,25,290,40,75,10.3,11,1.5
Birmingham 069E,E01009323,636,100,254,39.9,173,27.2,149,23.4,47,7.4,13,2
Birmingham 070A,E01009329,711,100,214,30.1,138,19.4,169,23.8,117,16.5,73,10.3
Birmingham 070B,E01009334,432,100,155,35.9,91,21.1,100,23.1,42,9.7,44,10.2
Birmingham 070C,E01009337,493,100,142,28.8,125,25.4,115,23.3,68,13.8,43,8.7
Birmingham 070D,E01009338,428,100,146,34.1,104,24.3,83,19.4,58,13.6,37,8.6
Birmingham 070E,E01009380,504,100,166,32.9,113,22.4,143,28.4,55,10.9,27,5.4
Birmingham 071A,E01009362,492,100,57,11.6,97,19.7,205,41.7,98,19.9,35,7.1
Birmingham 071B,E01009363,572,100,103,18,111,19.4,233,40.7,80,14,45,7.9
Birmingham 071C,E01009364,555,100,75,13.5,106,19.1,235,42.3,88,15.9,51,9.2
Birmingham 071D,E01009365,588,100,122,20.7,112,19,228,38.8,85,14.5,41,7
Birmingham 071E,E01009379,678,100,113,16.7,149,22,259,38.2,105,15.5,52,7.7
Birmingham 072A,E01009312,614,100,383,62.4,119,19.4,89,14.5,18,2.9,5,0.8
Birmingham 072B,E01009324,716,100,444,62,201,28.1,55,7.7,12,1.7,4,0.6
Birmingham 072C,E01009519,595,100,403,67.7,131,22,45,7.6,11,1.8,5,0.8
Birmingham 072D,E01009520,711,100,397,55.8,137,19.3,150,21.1,20,2.8,7,1
Birmingham 073A,E01009066,878,100,429,48.9,215,24.5,216,24.6,14,1.6,4,0.5
Birmingham 073B,E01009070,677,100,378,55.8,161,23.8,101,14.9,34,5,3,0.4
Birmingham 073C,E01009252,642,100,493,76.8,95,14.8,44,6.9,5,0.8,5,0.8
Birmingham 073D,E01009260,626,100,379,60.5,154,24.6,79,12.6,8,1.3,6,1
Birmingham 073E,E01009261,726,100,489,67.4,120,16.5,91,12.5,22,3,4,0.6
Birmingham 074A,E01008984,781,100,127,16.3,190,24.3,373,47.8,85,10.9,6,0.8
Birmingham 074B,E01008994,648,100,286,44.1,146,22.5,168,25.9,45,6.9,3,0.5
Birmingham 074C,E01008996,680,100,176,25.9,158,23.2,249,36.6,77,11.3,20,2.9
Birmingham 074D,E01008997,630,100,298,47.3,170,27,119,18.9,33,5.2,10,1.6
Birmingham 075A,E01009065,632,100,411,65,128,20.3,78,12.3,11,1.7,4,0.6
Birmingham 075B,E01009067,686,100,394,57.4,207,30.2,69,10.1,15,2.2,1,0.1
Birmingham 075C,E01009068,727,100,312,42.9,208,28.6,183,25.2,20,2.8,4,0.6
Birmingham 075D,E01009069,857,100,354,41.3,236,27.5,234,27.3,30,3.5,3,0.4
Birmingham 075E,E01009072,846,100,431,50.9,210,24.8,172,20.3,23,2.7,10,1.2
Birmingham 076A,E01008885,505,100,328,65,117,23.2,45,8.9,11,2.2,4,0.8
