2021 super output area - lower layer,Geog_Code,Total: All usual residents aged 16 years and over,%,Economically active (excluding full-time students),%,Economically active (excluding full-time students):In employment,%,Economically active (excluding full-time students):In employment:Employee,%,Economically active (excluding full-time students): In employment: Employee: Part-time,%,Economically active (excluding full-time students): In employment: Employee: Full-time,%,Economically active (excluding full-time students):In employment:Self-employed with employees,%,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,%,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,%,Economically active (excluding full-time students):In employment:Self-employed without employees,%,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,%,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,%,Economically active (excluding full-time students): Unemployed,% Economically active (excluding full-time students): Unemployed  ,Economically active and a full-time student,%,Economically active and a full-time student:In employment,%,Economically active and a full-time student:In employment:Employee,%,Economically active and a full-time student: In employment: Employee: Part-time,%,Economically active and a full-time student: In employment: Employee: Full-time,%,Economically active and a full-time student:In employment:Self-employed with employees,%,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,%,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,%,Economically active and a full-time student:In employment:Self-employed without employees,%,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,%,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,%,Economically active and a full-time student: Unemployed,%,Economically inactive,%,Economically inactive: Retired,%,Economically inactive: Student,%,Economically inactive: Looking after home or family,%,Economically inactive: Long-term sick or disabled,%,Economically inactive: Other,%
Birmingham 029D,E01009101,1195,100,635,53.1,582,48.7,532,44.5,159,13.3,373,31.2,9,0.8,2,0.2,7,0.6,41,3.4,15,1.3,26,2.2,53,4.4,24,2,20,1.7,20,1.7,15,1.3,5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,4,0.3,536,44.9,270,22.6,50,4.2,73,6.1,101,8.5,42,3.5
Birmingham 029E,E01009103,1223,100,574,46.9,507,41.5,466,38.1,138,11.3,328,26.8,11,0.9,2,0.2,9,0.7,30,2.5,13,1.1,17,1.4,67,5.5,27,2.2,20,1.6,19,1.6,11,0.9,8,0.7,0,0,0,0,0,0,1,0.1,0,0,1,0.1,7,0.6,622,50.9,244,20,93,7.6,77,6.3,132,10.8,76,6.2
Birmingham 029F,E01009106,1117,100,649,58.1,599,53.6,519,46.5,133,11.9,386,34.6,10,0.9,3,0.3,7,0.6,70,6.3,27,2.4,43,3.8,50,4.5,9,0.8,4,0.4,4,0.4,3,0.3,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.4,459,41.1,260,23.3,34,3,64,5.7,62,5.6,39,3.5
Birmingham 030A,E01008915,1166,100,619,53.1,540,46.3,429,36.8,174,14.9,255,21.9,28,2.4,11,0.9,17,1.5,83,7.1,39,3.3,44,3.8,79,6.8,35,3,26,2.2,26,2.2,21,1.8,5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,9,0.8,512,43.9,90,7.7,120,10.3,156,13.4,42,3.6,104,8.9
Birmingham 030B,E01009411,1524,100,964,63.3,893,58.6,799,52.4,178,11.7,621,40.7,9,0.6,1,0.1,8,0.5,85,5.6,39,2.6,46,3,71,4.7,43,2.8,35,2.3,35,2.3,18,1.2,17,1.1,0,0,0,0,0,0,0,0,0,0,0,0,8,0.5,517,33.9,236,15.5,78,5.1,85,5.6,50,3.3,68,4.5
Birmingham 030C,E01009412,1426,100,719,50.4,603,42.3,508,35.6,148,10.4,360,25.2,16,1.1,5,0.4,11,0.8,79,5.5,35,2.5,44,3.1,116,8.1,36,2.5,27,1.9,23,1.6,13,0.9,10,0.7,0,0,0,0,0,0,4,0.3,1,0.1,3,0.2,9,0.6,671,47.1,180,12.6,111,7.8,110,7.7,113,7.9,157,11
Birmingham 030D,E01009413,1432,100,810,56.6,719,50.2,601,42,167,11.7,434,30.3,23,1.6,8,0.6,15,1,95,6.6,51,3.6,44,3.1,91,6.4,46,3.2,27,1.9,23,1.6,17,1.2,6,0.4,0,0,0,0,0,0,4,0.3,2,0.1,2,0.1,19,1.3,576,40.2,167,11.7,121,8.4,120,8.4,73,5.1,95,6.6
Birmingham 030E,E01009414,1787,100,1039,58.1,950,53.2,776,43.4,220,12.3,556,31.1,35,2,11,0.6,24,1.3,139,7.8,68,3.8,71,4,89,5,60,3.4,41,2.3,36,2,22,1.2,14,0.8,0,0,0,0,0,0,5,0.3,4,0.2,1,0.1,19,1.1,688,38.5,162,9.1,138,7.7,144,8.1,129,7.2,115,6.4
Birmingham 031A,E01008998,1426,100,677,47.5,594,41.7,489,34.3,161,11.3,328,23,11,0.8,3,0.2,8,0.6,94,6.6,51,3.6,43,3,83,5.8,64,4.5,47,3.3,45,3.2,33,2.3,12,0.8,0,0,0,0,0,0,2,0.1,1,0.1,1,0.1,17,1.2,685,48,167,11.7,129,9,157,11,98,6.9,134,9.4
Birmingham 031B,E01008999,1243,100,651,52.4,606,48.8,500,40.2,151,12.1,349,28.1,23,1.9,8,0.6,15,1.2,83,6.7,46,3.7,37,3,45,3.6,39,3.1,34,2.7,34,2.7,21,1.7,13,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.4,553,44.5,165,13.3,103,8.3,112,9,93,7.5,80,6.4
Birmingham 031C,E01009000,1494,100,786,52.6,704,47.1,612,41,151,10.1,461,30.9,11,0.7,5,0.3,6,0.4,81,5.4,28,1.9,53,3.5,82,5.5,41,2.7,28,1.9,28,1.9,18,1.2,10,0.7,0,0,0,0,0,0,0,0,0,0,0,0,13,0.9,667,44.6,250,16.7,79,5.3,77,5.2,166,11.1,95,6.4
Birmingham 031D,E01009013,1692,100,941,55.6,840,49.6,722,42.7,147,8.7,575,34,14,0.8,5,0.3,9,0.5,104,6.1,46,2.7,58,3.4,101,6,52,3.1,41,2.4,36,2.1,27,1.6,9,0.5,1,0.1,1,0.1,0,0,4,0.2,2,0.1,2,0.1,11,0.7,699,41.3,219,12.9,108,6.4,96,5.7,169,10,107,6.3
Birmingham 031E,E01009400,1325,100,653,49.3,567,42.8,464,35,135,10.2,329,24.8,13,1,6,0.5,7,0.5,90,6.8,44,3.3,46,3.5,86,6.5,40,3,29,2.2,26,2,16,1.2,10,0.8,0,0,0,0,0,0,3,0.2,1,0.1,2,0.2,11,0.8,632,47.7,153,11.5,109,8.2,95,7.2,147,11.1,128,9.7
Birmingham 031F,E01009401,1429,100,731,51.2,635,44.4,535,37.4,170,11.9,365,25.5,15,1,6,0.4,9,0.6,85,5.9,38,2.7,47,3.3,96,6.7,51,3.6,42,2.9,40,2.8,25,1.7,15,1,0,0,0,0,0,0,2,0.1,2,0.1,0,0,9,0.6,647,45.3,142,9.9,115,8,134,9.4,107,7.5,149,10.4
Birmingham 031H,E01033630,1000,100,640,64,586,58.6,523,52.3,98,9.8,425,42.5,8,0.8,3,0.3,5,0.5,55,5.5,24,2.4,31,3.1,54,5.4,30,3,25,2.5,24,2.4,10,1,14,1.4,0,0,0,0,0,0,1,0.1,1,0.1,0,0,5,0.5,330,33,53,5.3,54,5.4,49,4.9,91,9.1,83,8.3
Birmingham 031I,E01033646,1524,100,855,56.1,714,46.9,628,41.2,138,9.1,490,32.2,8,0.5,2,0.1,6,0.4,78,5.1,26,1.7,52,3.4,141,9.3,49,3.2,36,2.4,33,2.2,19,1.2,14,0.9,1,0.1,1,0.1,0,0,2,0.1,2,0.1,0,0,13,0.9,620,40.7,145,9.5,86,5.6,99,6.5,187,12.3,103,6.8
Birmingham 032A,E01009049,1337,100,706,52.8,621,46.4,512,38.3,150,11.2,362,27.1,17,1.3,7,0.5,10,0.7,92,6.9,50,3.7,42,3.1,85,6.4,29,2.2,23,1.7,20,1.5,18,1.3,2,0.1,0,0,0,0,0,0,3,0.2,3,0.2,0,0,6,0.4,602,45,213,15.9,135,10.1,132,9.9,56,4.2,66,4.9
Birmingham 032B,E01009056,1644,100,822,50,718,43.7,573,34.9,203,12.3,370,22.5,35,2.1,14,0.9,21,1.3,110,6.7,50,3,60,3.6,104,6.3,61,3.7,27,1.6,25,1.5,17,1,8,0.5,0,0,0,0,0,0,2,0.1,2,0.1,0,0,34,2.1,761,46.3,178,10.8,130,7.9,173,10.5,97,5.9,183,11.1
Birmingham 032C,E01009263,1308,100,671,51.3,583,44.6,466,35.6,147,11.2,319,24.4,20,1.5,5,0.4,15,1.1,97,7.4,52,4,45,3.4,88,6.7,44,3.4,30,2.3,29,2.2,19,1.5,10,0.8,0,0,0,0,0,0,1,0.1,1,0.1,0,0,14,1.1,593,45.3,162,12.4,126,9.6,96,7.3,122,9.3,87,6.7
Birmingham 032D,E01009264,1631,100,695,42.6,632,38.7,568,34.8,86,5.3,482,29.6,7,0.4,2,0.1,5,0.3,57,3.5,29,1.8,28,1.7,63,3.9,451,27.7,374,22.9,366,22.4,86,5.3,280,17.2,0,0,0,0,0,0,8,0.5,8,0.5,0,0,77,4.7,485,29.7,96,5.9,251,15.4,37,2.3,48,2.9,53,3.2
Birmingham 032E,E01009265,1465,100,724,49.4,652,44.5,521,35.6,153,10.4,368,25.1,38,2.6,8,0.5,30,2,93,6.3,41,2.8,52,3.5,72,4.9,30,2,21,1.4,19,1.3,14,1,5,0.3,0,0,0,0,0,0,2,0.1,2,0.1,0,0,9,0.6,711,48.5,211,14.4,133,9.1,140,9.6,126,8.6,101,6.9
Birmingham 033A,E01009051,1338,100,602,45,529,39.5,439,32.8,191,14.3,248,18.5,9,0.7,2,0.1,7,0.5,81,6.1,50,3.7,31,2.3,73,5.5,56,4.2,32,2.4,29,2.2,22,1.6,7,0.5,1,0.1,1,0.1,0,0,2,0.1,1,0.1,1,0.1,24,1.8,680,50.8,149,11.1,131,9.8,182,13.6,71,5.3,147,11
Birmingham 033B,E01009053,1109,100,480,43.3,417,37.6,362,32.6,183,16.5,179,16.1,5,0.5,4,0.4,1,0.1,50,4.5,27,2.4,23,2.1,63,5.7,31,2.8,16,1.4,16,1.4,15,1.4,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,15,1.4,598,53.9,93,8.4,117,10.6,211,19,71,6.4,106,9.6
Birmingham 033C,E01009054,1274,100,613,48.1,558,43.8,469,36.8,172,13.5,297,23.3,26,2,8,0.6,18,1.4,63,4.9,35,2.7,28,2.2,55,4.3,43,3.4,32,2.5,29,2.3,27,2.1,2,0.2,0,0,0,0,0,0,3,0.2,3,0.2,0,0,11,0.9,618,48.5,165,13,145,11.4,179,14.1,46,3.6,83,6.5
Birmingham 033D,E01009058,1378,100,675,49,593,43,477,34.6,193,14,284,20.6,20,1.5,8,0.6,12,0.9,96,7,64,4.6,32,2.3,82,6,54,3.9,34,2.5,34,2.5,33,2.4,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,20,1.5,649,47.1,103,7.5,160,11.6,212,15.4,55,4,119,8.6
Birmingham 033E,E01009061,1362,100,624,45.8,523,38.4,447,32.8,213,15.6,234,17.2,14,1,4,0.3,10,0.7,62,4.6,32,2.3,30,2.2,101,7.4,64,4.7,37,2.7,35,2.6,24,1.8,11,0.8,0,0,0,0,0,0,2,0.1,0,0,2,0.1,27,2,674,49.5,131,9.6,146,10.7,236,17.3,66,4.8,95,7
Birmingham 033F,E01009239,1203,100,611,50.8,542,45.1,458,38.1,101,8.4,357,29.7,8,0.7,1,0.1,7,0.6,76,6.3,35,2.9,41,3.4,69,5.7,48,4,37,3.1,31,2.6,21,1.7,10,0.8,0,0,0,0,0,0,6,0.5,3,0.2,3,0.2,11,0.9,544,45.2,131,10.9,101,8.4,85,7.1,109,9.1,118,9.8
Birmingham 034A,E01009266,1340,100,664,49.6,614,45.8,523,39,156,11.6,367,27.4,17,1.3,11,0.8,6,0.4,74,5.5,30,2.2,44,3.3,50,3.7,44,3.3,20,1.5,19,1.4,14,1,5,0.4,1,0.1,1,0.1,0,0,0,0,0,0,0,0,24,1.8,632,47.2,141,10.5,122,9.1,190,14.2,63,4.7,116,8.7
Birmingham 034B,E01009269,1077,100,532,49.4,465,43.2,391,36.3,145,13.5,246,22.8,12,1.1,5,0.5,7,0.6,62,5.8,30,2.8,32,3,67,6.2,35,3.2,25,2.3,24,2.2,16,1.5,8,0.7,0,0,0,0,0,0,1,0.1,1,0.1,0,0,10,0.9,510,47.4,120,11.1,106,9.8,114,10.6,55,5.1,115,10.7
Birmingham 034C,E01009270,1464,100,726,49.6,610,41.7,503,34.4,196,13.4,307,21,23,1.6,14,1,9,0.6,84,5.7,42,2.9,42,2.9,116,7.9,57,3.9,41,2.8,39,2.7,27,1.8,12,0.8,1,0.1,1,0.1,0,0,1,0.1,1,0.1,0,0,16,1.1,681,46.5,140,9.6,160,10.9,176,12,92,6.3,113,7.7
Birmingham 034D,E01009271,1208,100,572,47.4,498,41.2,415,34.4,141,11.7,274,22.7,19,1.6,5,0.4,14,1.2,64,5.3,36,3,28,2.3,74,6.1,41,3.4,28,2.3,21,1.7,16,1.3,5,0.4,3,0.2,3,0.2,0,0,4,0.3,4,0.3,0,0,13,1.1,595,49.3,122,10.1,134,11.1,179,14.8,68,5.6,92,7.6
Birmingham 034E,E01009273,1248,100,599,48,525,42.1,421,33.7,156,12.5,265,21.2,23,1.8,8,0.6,15,1.2,81,6.5,46,3.7,35,2.8,74,5.9,50,4,33,2.6,31,2.5,25,2,6,0.5,1,0.1,1,0.1,0,0,1,0.1,1,0.1,0,0,17,1.4,599,48,189,15.1,105,8.4,140,11.2,62,5,103,8.3
Birmingham 035A,E01009050,1599,100,898,56.2,794,49.7,670,41.9,219,13.7,451,28.2,21,1.3,8,0.5,13,0.8,103,6.4,54,3.4,49,3.1,104,6.5,41,2.6,30,1.9,29,1.8,20,1.3,9,0.6,0,0,0,0,0,0,1,0.1,1,0.1,0,0,11,0.7,660,41.3,154,9.6,154,9.6,167,10.4,77,4.8,108,6.8
Birmingham 035D,E01009057,1458,100,665,45.6,551,37.8,434,29.8,173,11.9,261,17.9,31,2.1,19,1.3,12,0.8,86,5.9,47,3.2,39,2.7,114,7.8,60,4.1,37,2.5,35,2.4,24,1.6,11,0.8,1,0.1,1,0.1,0,0,1,0.1,1,0.1,0,0,23,1.6,733,50.3,140,9.6,189,13,172,11.8,131,9,101,6.9
Birmingham 035E,E01009059,1364,100,612,44.9,521,38.2,424,31.1,155,11.4,269,19.7,18,1.3,9,0.7,9,0.7,79,5.8,47,3.4,32,2.3,91,6.7,41,3,26,1.9,23,1.7,19,1.4,4,0.3,0,0,0,0,0,0,3,0.2,0,0,3,0.2,15,1.1,711,52.1,103,7.6,170,12.5,174,12.8,114,8.4,150,11
Birmingham 035F,E01009060,1290,100,550,42.6,480,37.2,386,29.9,156,12.1,230,17.8,13,1,7,0.5,6,0.5,81,6.3,43,3.3,38,2.9,70,5.4,41,3.2,28,2.2,26,2,17,1.3,9,0.7,0,0,0,0,0,0,2,0.2,0,0,2,0.2,13,1,699,54.2,115,8.9,138,10.7,209,16.2,82,6.4,155,12
Birmingham 035H,E01034917,1253,100,591,47.2,516,41.2,417,33.3,144,11.5,273,21.8,16,1.3,9,0.7,7,0.6,83,6.6,42,3.4,41,3.3,75,6,39,3.1,24,1.9,22,1.8,13,1,9,0.7,0,0,0,0,0,0,2,0.2,2,0.2,0,0,15,1.2,623,49.7,109,8.7,172,13.7,157,12.5,79,6.3,106,8.5
Birmingham 035I,E01034918,1333,100,606,45.5,515,38.6,421,31.6,161,12.1,260,19.5,25,1.9,12,0.9,13,1,69,5.2,49,3.7,20,1.5,91,6.8,56,4.2,27,2,27,2,21,1.6,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,29,2.2,671,50.3,142,10.7,155,11.6,178,13.4,79,5.9,117,8.8
Birmingham 036A,E01009268,1171,100,654,55.8,620,52.9,499,42.6,139,11.9,360,30.7,29,2.5,4,0.3,25,2.1,92,7.9,38,3.2,54,4.6,34,2.9,31,2.6,17,1.5,17,1.5,14,1.2,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,14,1.2,486,41.5,179,15.3,116,9.9,85,7.3,39,3.3,67,5.7
Birmingham 036B,E01009272,1062,100,554,52.2,488,46,420,39.5,118,11.1,302,28.4,13,1.2,5,0.5,8,0.8,55,5.2,28,2.6,27,2.5,66,6.2,33,3.1,14,1.3,14,1.3,10,0.9,4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,19,1.8,475,44.7,121,11.4,102,9.6,105,9.9,74,7,73,6.9
Birmingham 036C,E01009274,1638,100,888,54.2,753,46,625,38.2,195,11.9,430,26.3,26,1.6,8,0.5,18,1.1,102,6.2,55,3.4,47,2.9,135,8.2,53,3.2,25,1.5,23,1.4,16,1,7,0.4,1,0.1,1,0.1,0,0,1,0.1,1,0.1,0,0,28,1.7,697,42.6,203,12.4,135,8.2,166,10.1,85,5.2,108,6.6
Birmingham 036D,E01009349,1180,100,598,50.7,491,41.6,426,36.1,179,15.2,247,20.9,11,0.9,4,0.3,7,0.6,54,4.6,32,2.7,22,1.9,107,9.1,57,4.8,33,2.8,32,2.7,18,1.5,14,1.2,0,0,0,0,0,0,1,0.1,1,0.1,0,0,24,2,525,44.5,97,8.2,121,10.3,158,13.4,66,5.6,83,7
Birmingham 036E,E01009351,1251,100,619,49.5,539,43.1,456,36.5,158,12.6,298,23.8,23,1.8,13,1,10,0.8,60,4.8,38,3,22,1.8,80,6.4,61,4.9,31,2.5,30,2.4,18,1.4,12,1,0,0,0,0,0,0,1,0.1,1,0.1,0,0,30,2.4,571,45.6,88,7,141,11.3,172,13.7,60,4.8,110,8.8
Birmingham 036F,E01009354,1206,100,559,46.4,479,39.7,406,33.7,139,11.5,267,22.1,19,1.6,10,0.8,9,0.7,54,4.5,29,2.4,25,2.1,80,6.6,31,2.6,18,1.5,17,1.4,13,1.1,4,0.3,0,0,0,0,0,0,1,0.1,1,0.1,0,0,13,1.1,616,51.1,188,15.6,108,9,133,11,83,6.9,104,8.6
Birmingham 037A,E01008899,965,100,408,42.3,338,35,285,29.5,102,10.6,183,19,11,1.1,4,0.4,7,0.7,42,4.4,25,2.6,17,1.8,70,7.3,44,4.6,26,2.7,22,2.3,17,1.8,5,0.5,1,0.1,1,0.1,0,0,3,0.3,3,0.3,0,0,18,1.9,513,53.2,113,11.7,161,16.7,108,11.2,56,5.8,75,7.8
Birmingham 037C,E01008901,1372,100,606,44.2,510,37.2,423,30.8,159,11.6,264,19.2,18,1.3,4,0.3,14,1,69,5,35,2.6,34,2.5,96,7,58,4.2,31,2.3,28,2,16,1.2,12,0.9,1,0.1,0,0,1,0.1,2,0.1,2,0.1,0,0,27,2,708,51.6,171,12.5,139,10.1,197,14.4,111,8.1,90,6.6
Birmingham 037E,E01008916,1197,100,538,44.9,465,38.8,401,33.5,179,15,222,18.5,14,1.2,8,0.7,6,0.5,50,4.2,28,2.3,22,1.8,73,6.1,52,4.3,25,2.1,23,1.9,16,1.3,7,0.6,0,0,0,0,0,0,2,0.2,2,0.2,0,0,27,2.3,607,50.7,74,6.2,138,11.5,187,15.6,97,8.1,111,9.3
Birmingham 037G,E01034919,1254,100,583,46.5,466,37.2,383,30.5,177,14.1,206,16.4,17,1.4,10,0.8,7,0.6,66,5.3,37,3,29,2.3,117,9.3,52,4.1,38,3,37,3,30,2.4,7,0.6,0,0,0,0,0,0,1,0.1,1,0.1,0,0,14,1.1,619,49.4,135,10.8,118,9.4,169,13.5,73,5.8,124,9.9
Birmingham 037H,E01034920,1378,100,604,43.8,496,36,395,28.7,176,12.8,219,15.9,24,1.7,9,0.7,15,1.1,77,5.6,39,2.8,38,2.8,108,7.8,44,3.2,29,2.1,29,2.1,25,1.8,4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,15,1.1,730,53,107,7.8,182,13.2,223,16.2,109,7.9,109,7.9
Birmingham 039A,E01009275,1324,100,599,45.2,502,37.9,428,32.3,167,12.6,261,19.7,13,1,11,0.8,2,0.2,61,4.6,33,2.5,28,2.1,97,7.3,65,4.9,39,2.9,34,2.6,28,2.1,6,0.5,0,0,0,0,0,0,5,0.4,4,0.3,1,0.1,26,2,660,49.8,121,9.1,196,14.8,160,12.1,73,5.5,110,8.3
Birmingham 039B,E01009350,1181,100,516,43.7,425,36,357,30.2,137,11.6,220,18.6,12,1,6,0.5,6,0.5,56,4.7,30,2.5,26,2.2,91,7.7,51,4.3,32,2.7,31,2.6,24,2,7,0.6,0,0,0,0,0,0,1,0.1,1,0.1,0,0,19,1.6,614,52,119,10.1,125,10.6,166,14.1,58,4.9,146,12.4
Birmingham 039C,E01009352,1448,100,675,46.6,532,36.7,453,31.3,187,12.9,266,18.4,17,1.2,4,0.3,13,0.9,62,4.3,31,2.1,31,2.1,143,9.9,38,2.6,25,1.7,23,1.6,21,1.5,2,0.1,0,0,0,0,0,0,2,0.1,2,0.1,0,0,13,0.9,735,50.8,163,11.3,181,12.5,162,11.2,86,5.9,143,9.9
Birmingham 039D,E01009353,1262,100,611,48.4,501,39.7,419,33.2,154,12.2,265,21,25,2,16,1.3,9,0.7,57,4.5,23,1.8,34,2.7,110,8.7,40,3.2,25,2,23,1.8,17,1.3,6,0.5,0,0,0,0,0,0,2,0.2,2,0.2,0,0,15,1.2,611,48.4,120,9.5,139,11,179,14.2,60,4.8,113,9
Birmingham 039E,E01009355,1125,100,531,47.2,461,41,369,32.8,126,11.2,243,21.6,21,1.9,11,1,10,0.9,71,6.3,32,2.8,39,3.5,70,6.2,32,2.8,29,2.6,26,2.3,20,1.8,6,0.5,2,0.2,2,0.2,0,0,1,0.1,1,0.1,0,0,3,0.3,562,50,110,9.8,130,11.6,139,12.4,71,6.3,112,10
Birmingham 039I,E01034921,1048,100,498,47.5,435,41.5,357,34.1,135,12.9,222,21.2,12,1.1,4,0.4,8,0.8,66,6.3,33,3.1,33,3.1,63,6,26,2.5,11,1,10,1,7,0.7,3,0.3,0,0,0,0,0,0,1,0.1,0,0,1,0.1,15,1.4,524,50,104,9.9,104,9.9,166,15.8,50,4.8,100,9.5
Birmingham 039J,E01034922,1199,100,634,52.9,538,44.9,462,38.5,167,13.9,295,24.6,25,2.1,5,0.4,20,1.7,51,4.3,19,1.6,32,2.7,96,8,50,4.2,38,3.2,33,2.8,24,2,9,0.8,3,0.3,3,0.3,0,0,2,0.2,1,0.1,1,0.1,12,1,515,43,102,8.5,129,10.8,139,11.6,61,5.1,84,7
Birmingham 040A,E01008905,1387,100,622,44.8,501,36.1,410,29.6,185,13.3,225,16.2,17,1.2,8,0.6,9,0.6,74,5.3,42,3,32,2.3,121,8.7,42,3,28,2,25,1.8,22,1.6,3,0.2,1,0.1,0,0,1,0.1,2,0.1,2,0.1,0,0,14,1,723,52.1,107,7.7,159,11.5,238,17.2,97,7,122,8.8
Birmingham 040B,E01008907,1353,100,569,42.1,440,32.5,346,25.6,158,11.7,188,13.9,10,0.7,7,0.5,3,0.2,84,6.2,54,4,30,2.2,129,9.5,71,5.2,45,3.3,43,3.2,33,2.4,10,0.7,0,0,0,0,0,0,2,0.1,1,0.1,1,0.1,26,1.9,713,52.7,129,9.5,165,12.2,171,12.6,124,9.2,124,9.2
Birmingham 040C,E01009047,1411,100,665,47.1,532,37.7,404,28.6,151,10.7,253,17.9,26,1.8,8,0.6,18,1.3,102,7.2,69,4.9,33,2.3,133,9.4,50,3.5,41,2.9,41,2.9,34,2.4,7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,9,0.6,696,49.3,123,8.7,149,10.6,188,13.3,125,8.9,111,7.9
Birmingham 040D,E01009048,1620,100,735,45.4,596,36.8,471,29.1,185,11.4,286,17.7,30,1.9,9,0.6,21,1.3,95,5.9,49,3,46,2.8,139,8.6,41,2.5,28,1.7,25,1.5,22,1.4,3,0.2,0,0,0,0,0,0,3,0.2,2,0.1,1,0.1,13,0.8,844,52.1,142,8.8,158,9.8,151,9.3,153,9.4,240,14.8
Birmingham 040E,E01009062,1392,100,685,49.2,562,40.4,456,32.8,182,13.1,274,19.7,20,1.4,14,1,6,0.4,86,6.2,61,4.4,25,1.8,123,8.8,52,3.7,36,2.6,31,2.2,28,2,3,0.2,1,0.1,1,0.1,0,0,4,0.3,1,0.1,3,0.2,16,1.1,655,47.1,98,7,150,10.8,200,14.4,82,5.9,125,9
Birmingham 041D,E01008909,1433,100,642,44.8,549,38.3,469,32.7,191,13.3,278,19.4,16,1.1,10,0.7,6,0.4,64,4.5,46,3.2,18,1.3,93,6.5,82,5.7,48,3.3,45,3.1,38,2.7,7,0.5,1,0.1,1,0.1,0,0,2,0.1,0,0,2,0.1,34,2.4,709,49.5,86,6,220,15.4,210,14.7,62,4.3,131,9.1
Birmingham 041H,E01034923,1298,100,561,43.2,455,35.1,384,29.6,170,13.1,214,16.5,16,1.2,6,0.5,10,0.8,55,4.2,37,2.9,18,1.4,106,8.2,58,4.5,43,3.3,43,3.3,38,2.9,5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,15,1.2,679,52.3,134,10.3,147,11.3,165,12.7,112,8.6,121,9.3
Birmingham 041I,E01034924,1211,100,533,44,446,36.8,367,30.3,159,13.1,208,17.2,16,1.3,10,0.8,6,0.5,63,5.2,38,3.1,25,2.1,87,7.2,34,2.8,26,2.1,25,2.1,19,1.6,6,0.5,0,0,0,0,0,0,1,0.1,0,0,1,0.1,8,0.7,644,53.2,101,8.3,170,14,173,14.3,86,7.1,114,9.4
Birmingham 041J,E01034925,1119,100,538,48.1,488,43.6,413,36.9,153,13.7,260,23.2,19,1.7,14,1.3,5,0.4,56,5,35,3.1,21,1.9,50,4.5,47,4.2,28,2.5,26,2.3,22,2,4,0.4,0,0,0,0,0,0,2,0.2,0,0,2,0.2,19,1.7,534,47.7,105,9.4,117,10.5,177,15.8,53,4.7,82,7.3
Birmingham 041K,E01034926,1161,100,490,42.2,397,34.2,344,29.6,152,13.1,192,16.5,9,0.8,6,0.5,3,0.3,44,3.8,20,1.7,24,2.1,93,8,33,2.8,19,1.6,18,1.6,15,1.3,3,0.3,0,0,0,0,0,0,1,0.1,0,0,1,0.1,14,1.2,638,55,153,13.2,139,12,166,14.3,85,7.3,95,8.2
Birmingham 042A,E01009084,1465,100,743,50.7,682,46.6,539,36.8,171,11.7,368,25.1,32,2.2,10,0.7,22,1.5,111,7.6,58,4,53,3.6,61,4.2,60,4.1,42,2.9,39,2.7,35,2.4,4,0.3,1,0.1,1,0.1,0,0,2,0.1,2,0.1,0,0,18,1.2,662,45.2,180,12.3,176,12,177,12.1,67,4.6,62,4.2
Birmingham 042B,E01009085,1602,100,810,50.6,726,45.3,564,35.2,182,11.4,382,23.8,39,2.4,17,1.1,22,1.4,123,7.7,64,4,59,3.7,84,5.2,68,4.2,49,3.1,47,2.9,42,2.6,5,0.3,0,0,0,0,0,0,2,0.1,2,0.1,0,0,19,1.2,724,45.2,199,12.4,179,11.2,208,13,45,2.8,93,5.8
Birmingham 042C,E01009087,1266,100,704,55.6,632,49.9,513,40.5,180,14.2,333,26.3,20,1.6,6,0.5,14,1.1,99,7.8,57,4.5,42,3.3,72,5.7,36,2.8,26,2.1,26,2.1,21,1.7,5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,10,0.8,526,41.5,231,18.2,96,7.6,123,9.7,29,2.3,47,3.7
Birmingham 042D,E01009089,1275,100,656,51.5,601,47.1,497,39,160,12.5,337,26.4,17,1.3,6,0.5,11,0.9,87,6.8,48,3.8,39,3.1,55,4.3,29,2.3,18,1.4,17,1.3,13,1,4,0.3,0,0,0,0,0,0,1,0.1,1,0.1,0,0,11,0.9,590,46.3,191,15,145,11.4,148,11.6,55,4.3,51,4
