﻿Geography Name,Geography Code,Attribute Tier 1,Attribute Tier 2,Attribute Tier 3,Value,Value as a Percentage of Geography Total,geom,centroid
Nechells,E05011155,Economically active (excluding full-time students),In employment,Employee,2933,23.59,"{""coordinates"": [[[[-1.862367822, 52.509430617], [-1.860478497, 52.508672393], [-1.852532269, 52.50611684], [-1.848370735, 52.505122712], [-1.846225478, 52.504764858], [-1.843255845, 52.504647638], [-1.836190481, 52.50494015], [-1.834122908, 52.505110821], [-1.831677266, 52.505513691], [-1.831375967, 52.504954069], [-1.8489849, 52.501710905], [-1.851122653, 52.501230809], [-1.853971649, 52.500338043], [-1.857371907, 52.498851718], [-1.860839091, 52.49663533], [-1.862771003, 52.494936633], [-1.86389424, 52.493670349], [-1.864983302, 52.491565224], [-1.865530826, 52.488299833], [-1.866934113, 52.484916679], [-1.866905683, 52.482141432], [-1.871846423, 52.481946457], [-1.876287037, 52.481538563], [-1.879053967, 52.481501782], [-1.881898546, 52.48102733], [-1.885620384, 52.480621961], [-1.892054655, 52.478964786], [-1.892804879, 52.479222596], [-1.890161911, 52.482199497], [-1.891563162, 52.48305297], [-1.892035133, 52.485120229], [-1.892563202, 52.485955007], [-1.89174475, 52.486441469], [-1.890685317, 52.488475869], [-1.889355054, 52.490390384], [-1.886104525, 52.498484476], [-1.885520338, 52.499938518], [-1.884101112, 52.501887037], [-1.879631567, 52.505678124], [-1.87772665, 52.506728954], [-1.872544304, 52.508534898], [-1.867842212, 52.50970296], [-1.865313192, 52.509897926], [-1.862367822, 52.509430617]]]], ""type"": ""MultiPolygon""}","52.495678699, -1.872054672"
Nechells,E05011155,Economically active and a full-time student,Unemployed,,688,5.53,"{""coordinates"": [[[[-1.862367822, 52.509430617], [-1.860478497, 52.508672393], [-1.852532269, 52.50611684], [-1.848370735, 52.505122712], [-1.846225478, 52.504764858], [-1.843255845, 52.504647638], [-1.836190481, 52.50494015], [-1.834122908, 52.505110821], [-1.831677266, 52.505513691], [-1.831375967, 52.504954069], [-1.8489849, 52.501710905], [-1.851122653, 52.501230809], [-1.853971649, 52.500338043], [-1.857371907, 52.498851718], [-1.860839091, 52.49663533], [-1.862771003, 52.494936633], [-1.86389424, 52.493670349], [-1.864983302, 52.491565224], [-1.865530826, 52.488299833], [-1.866934113, 52.484916679], [-1.866905683, 52.482141432], [-1.871846423, 52.481946457], [-1.876287037, 52.481538563], [-1.879053967, 52.481501782], [-1.881898546, 52.48102733], [-1.885620384, 52.480621961], [-1.892054655, 52.478964786], [-1.892804879, 52.479222596], [-1.890161911, 52.482199497], [-1.891563162, 52.48305297], [-1.892035133, 52.485120229], [-1.892563202, 52.485955007], [-1.89174475, 52.486441469], [-1.890685317, 52.488475869], [-1.889355054, 52.490390384], [-1.886104525, 52.498484476], [-1.885520338, 52.499938518], [-1.884101112, 52.501887037], [-1.879631567, 52.505678124], [-1.87772665, 52.506728954], [-1.872544304, 52.508534898], [-1.867842212, 52.50970296], [-1.865313192, 52.509897926], [-1.862367822, 52.509430617]]]], ""type"": ""MultiPolygon""}","52.495678699, -1.872054672"
Nechells,E05011155,Economically inactive,Other,,613,4.93,"{""coordinates"": [[[[-1.862367822, 52.509430617], [-1.860478497, 52.508672393], [-1.852532269, 52.50611684], [-1.848370735, 52.505122712], [-1.846225478, 52.504764858], [-1.843255845, 52.504647638], [-1.836190481, 52.50494015], [-1.834122908, 52.505110821], [-1.831677266, 52.505513691], [-1.831375967, 52.504954069], [-1.8489849, 52.501710905], [-1.851122653, 52.501230809], [-1.853971649, 52.500338043], [-1.857371907, 52.498851718], [-1.860839091, 52.49663533], [-1.862771003, 52.494936633], [-1.86389424, 52.493670349], [-1.864983302, 52.491565224], [-1.865530826, 52.488299833], [-1.866934113, 52.484916679], [-1.866905683, 52.482141432], [-1.871846423, 52.481946457], [-1.876287037, 52.481538563], [-1.879053967, 52.481501782], [-1.881898546, 52.48102733], [-1.885620384, 52.480621961], [-1.892054655, 52.478964786], [-1.892804879, 52.479222596], [-1.890161911, 52.482199497], [-1.891563162, 52.48305297], [-1.892035133, 52.485120229], [-1.892563202, 52.485955007], [-1.89174475, 52.486441469], [-1.890685317, 52.488475869], [-1.889355054, 52.490390384], [-1.886104525, 52.498484476], [-1.885520338, 52.499938518], [-1.884101112, 52.501887037], [-1.879631567, 52.505678124], [-1.87772665, 52.506728954], [-1.872544304, 52.508534898], [-1.867842212, 52.50970296], [-1.865313192, 52.509897926], [-1.862367822, 52.509430617]]]], ""type"": ""MultiPolygon""}","52.495678699, -1.872054672"
Nechells,E05011155,Economically inactive,Retired,,821,6.6,"{""coordinates"": [[[[-1.862367822, 52.509430617], [-1.860478497, 52.508672393], [-1.852532269, 52.50611684], [-1.848370735, 52.505122712], [-1.846225478, 52.504764858], [-1.843255845, 52.504647638], [-1.836190481, 52.50494015], [-1.834122908, 52.505110821], [-1.831677266, 52.505513691], [-1.831375967, 52.504954069], [-1.8489849, 52.501710905], [-1.851122653, 52.501230809], [-1.853971649, 52.500338043], [-1.857371907, 52.498851718], [-1.860839091, 52.49663533], [-1.862771003, 52.494936633], [-1.86389424, 52.493670349], [-1.864983302, 52.491565224], [-1.865530826, 52.488299833], [-1.866934113, 52.484916679], [-1.866905683, 52.482141432], [-1.871846423, 52.481946457], [-1.876287037, 52.481538563], [-1.879053967, 52.481501782], [-1.881898546, 52.48102733], [-1.885620384, 52.480621961], [-1.892054655, 52.478964786], [-1.892804879, 52.479222596], [-1.890161911, 52.482199497], [-1.891563162, 52.48305297], [-1.892035133, 52.485120229], [-1.892563202, 52.485955007], [-1.89174475, 52.486441469], [-1.890685317, 52.488475869], [-1.889355054, 52.490390384], [-1.886104525, 52.498484476], [-1.885520338, 52.499938518], [-1.884101112, 52.501887037], [-1.879631567, 52.505678124], [-1.87772665, 52.506728954], [-1.872544304, 52.508534898], [-1.867842212, 52.50970296], [-1.865313192, 52.509897926], [-1.862367822, 52.509430617]]]], ""type"": ""MultiPolygon""}","52.495678699, -1.872054672"
Newtown,E05011156,Economically active (excluding full-time students),Unemployed,,746,6.01,"{""coordinates"": [[[[-1.896160174, 52.500023803], [-1.894923783, 52.499601117], [-1.892929488, 52.499501372], [-1.891130248, 52.499159922], [-1.886104525, 52.498484476], [-1.889355054, 52.490390384], [-1.890685317, 52.488475869], [-1.89174475, 52.486441469], [-1.892563202, 52.485955007], [-1.893489746, 52.4858515], [-1.895381422, 52.486110312], [-1.896836949, 52.485863445], [-1.898247669, 52.485242557], [-1.899913775, 52.484956288], [-1.900987311, 52.486263415], [-1.902249496, 52.486903734], [-1.906712841, 52.488370831], [-1.911040856, 52.4914029], [-1.915791367, 52.495638786], [-1.915084013, 52.495861258], [-1.91514844, 52.496842095], [-1.905537529, 52.500157552], [-1.903021226, 52.500251687], [-1.903284525, 52.49909487], [-1.89930329, 52.498927089], [-1.897816752, 52.499010299], [-1.897250754, 52.499804562], [-1.896160174, 52.500023803]]]], ""type"": ""MultiPolygon""}","52.493471874, -1.899949195"
Newtown,E05011156,Economically active and a full-time student,In employment,Employee,839,6.76,"{""coordinates"": [[[[-1.896160174, 52.500023803], [-1.894923783, 52.499601117], [-1.892929488, 52.499501372], [-1.891130248, 52.499159922], [-1.886104525, 52.498484476], [-1.889355054, 52.490390384], [-1.890685317, 52.488475869], [-1.89174475, 52.486441469], [-1.892563202, 52.485955007], [-1.893489746, 52.4858515], [-1.895381422, 52.486110312], [-1.896836949, 52.485863445], [-1.898247669, 52.485242557], [-1.899913775, 52.484956288], [-1.900987311, 52.486263415], [-1.902249496, 52.486903734], [-1.906712841, 52.488370831], [-1.911040856, 52.4914029], [-1.915791367, 52.495638786], [-1.915084013, 52.495861258], [-1.91514844, 52.496842095], [-1.905537529, 52.500157552], [-1.903021226, 52.500251687], [-1.903284525, 52.49909487], [-1.89930329, 52.498927089], [-1.897816752, 52.499010299], [-1.897250754, 52.499804562], [-1.896160174, 52.500023803]]]], ""type"": ""MultiPolygon""}","52.493471874, -1.899949195"
Newtown,E05011156,Economically inactive,Other,,724,5.83,"{""coordinates"": [[[[-1.896160174, 52.500023803], [-1.894923783, 52.499601117], [-1.892929488, 52.499501372], [-1.891130248, 52.499159922], [-1.886104525, 52.498484476], [-1.889355054, 52.490390384], [-1.890685317, 52.488475869], [-1.89174475, 52.486441469], [-1.892563202, 52.485955007], [-1.893489746, 52.4858515], [-1.895381422, 52.486110312], [-1.896836949, 52.485863445], [-1.898247669, 52.485242557], [-1.899913775, 52.484956288], [-1.900987311, 52.486263415], [-1.902249496, 52.486903734], [-1.906712841, 52.488370831], [-1.911040856, 52.4914029], [-1.915791367, 52.495638786], [-1.915084013, 52.495861258], [-1.91514844, 52.496842095], [-1.905537529, 52.500157552], [-1.903021226, 52.500251687], [-1.903284525, 52.49909487], [-1.89930329, 52.498927089], [-1.897816752, 52.499010299], [-1.897250754, 52.499804562], [-1.896160174, 52.500023803]]]], ""type"": ""MultiPolygon""}","52.493471874, -1.899949195"
North Edgbaston,E05011157,Economically active (excluding full-time students),In employment,Self-employed with employees,284,1.56,"{""coordinates"": [[[[-1.927694138, 52.486630681], [-1.927385105, 52.48560737], [-1.928345314, 52.484678387], [-1.930186302, 52.483531526], [-1.931235592, 52.482087416], [-1.932570562, 52.48146248], [-1.932826257, 52.480812657], [-1.932101022, 52.480396937], [-1.932538025, 52.479630293], [-1.934839805, 52.47836939], [-1.935493799, 52.477181254], [-1.932456528, 52.476072948], [-1.932430954, 52.475490371], [-1.929528562, 52.474949261], [-1.930922592, 52.473146759], [-1.931534086, 52.471831807], [-1.93612974, 52.472072623], [-1.938668117, 52.472882197], [-1.938918826, 52.472577563], [-1.943313475, 52.472340587], [-1.944093386, 52.472593591], [-1.945896099, 52.472024445], [-1.946633136, 52.472408629], [-1.947827038, 52.472402868], [-1.94971365, 52.47304646], [-1.951731858, 52.473166019], [-1.952651596, 52.473485531], [-1.953060257, 52.472716102], [-1.957836862, 52.473337302], [-1.96036771, 52.473181791], [-1.965751375, 52.47334703], [-1.967135977, 52.474182619], [-1.965380237, 52.475307612], [-1.967197874, 52.476172084], [-1.969030449, 52.476778504], [-1.968698417, 52.477847378], [-1.966846793, 52.479127041], [-1.965657385, 52.48062616], [-1.964695181, 52.481498824], [-1.964013109, 52.481970637], [-1.96180663, 52.482719678], [-1.958474278, 52.482773386], [-1.956129135, 52.482293427], [-1.952492342, 52.483345622], [-1.951572635, 52.482811221], [-1.95078289, 52.483231686], [-1.949524647, 52.485212516], [-1.950726, 52.485479136], [-1.949710913, 52.487127445], [-1.94843434, 52.486984898], [-1.948031586, 52.487608627], [-1.947081836, 52.487494877], [-1.94595199, 52.490196782], [-1.943943415, 52.489920749], [-1.943034195, 52.491497151], [-1.933780366, 52.486738484], [-1.931319358, 52.486942987], [-1.927694138, 52.486630681]]]], ""type"": ""MultiPolygon""}","52.479808196, -1.946620997"
North Edgbaston,E05011157,Economically active (excluding full-time students),Unemployed,,1053,5.8,"{""coordinates"": [[[[-1.927694138, 52.486630681], [-1.927385105, 52.48560737], [-1.928345314, 52.484678387], [-1.930186302, 52.483531526], [-1.931235592, 52.482087416], [-1.932570562, 52.48146248], [-1.932826257, 52.480812657], [-1.932101022, 52.480396937], [-1.932538025, 52.479630293], [-1.934839805, 52.47836939], [-1.935493799, 52.477181254], [-1.932456528, 52.476072948], [-1.932430954, 52.475490371], [-1.929528562, 52.474949261], [-1.930922592, 52.473146759], [-1.931534086, 52.471831807], [-1.93612974, 52.472072623], [-1.938668117, 52.472882197], [-1.938918826, 52.472577563], [-1.943313475, 52.472340587], [-1.944093386, 52.472593591], [-1.945896099, 52.472024445], [-1.946633136, 52.472408629], [-1.947827038, 52.472402868], [-1.94971365, 52.47304646], [-1.951731858, 52.473166019], [-1.952651596, 52.473485531], [-1.953060257, 52.472716102], [-1.957836862, 52.473337302], [-1.96036771, 52.473181791], [-1.965751375, 52.47334703], [-1.967135977, 52.474182619], [-1.965380237, 52.475307612], [-1.967197874, 52.476172084], [-1.969030449, 52.476778504], [-1.968698417, 52.477847378], [-1.966846793, 52.479127041], [-1.965657385, 52.48062616], [-1.964695181, 52.481498824], [-1.964013109, 52.481970637], [-1.96180663, 52.482719678], [-1.958474278, 52.482773386], [-1.956129135, 52.482293427], [-1.952492342, 52.483345622], [-1.951572635, 52.482811221], [-1.95078289, 52.483231686], [-1.949524647, 52.485212516], [-1.950726, 52.485479136], [-1.949710913, 52.487127445], [-1.94843434, 52.486984898], [-1.948031586, 52.487608627], [-1.947081836, 52.487494877], [-1.94595199, 52.490196782], [-1.943943415, 52.489920749], [-1.943034195, 52.491497151], [-1.933780366, 52.486738484], [-1.931319358, 52.486942987], [-1.927694138, 52.486630681]]]], ""type"": ""MultiPolygon""}","52.479808196, -1.946620997"
North Edgbaston,E05011157,Economically active and a full-time student,In employment,Employee,504,2.77,"{""coordinates"": [[[[-1.927694138, 52.486630681], [-1.927385105, 52.48560737], [-1.928345314, 52.484678387], [-1.930186302, 52.483531526], [-1.931235592, 52.482087416], [-1.932570562, 52.48146248], [-1.932826257, 52.480812657], [-1.932101022, 52.480396937], [-1.932538025, 52.479630293], [-1.934839805, 52.47836939], [-1.935493799, 52.477181254], [-1.932456528, 52.476072948], [-1.932430954, 52.475490371], [-1.929528562, 52.474949261], [-1.930922592, 52.473146759], [-1.931534086, 52.471831807], [-1.93612974, 52.472072623], [-1.938668117, 52.472882197], [-1.938918826, 52.472577563], [-1.943313475, 52.472340587], [-1.944093386, 52.472593591], [-1.945896099, 52.472024445], [-1.946633136, 52.472408629], [-1.947827038, 52.472402868], [-1.94971365, 52.47304646], [-1.951731858, 52.473166019], [-1.952651596, 52.473485531], [-1.953060257, 52.472716102], [-1.957836862, 52.473337302], [-1.96036771, 52.473181791], [-1.965751375, 52.47334703], [-1.967135977, 52.474182619], [-1.965380237, 52.475307612], [-1.967197874, 52.476172084], [-1.969030449, 52.476778504], [-1.968698417, 52.477847378], [-1.966846793, 52.479127041], [-1.965657385, 52.48062616], [-1.964695181, 52.481498824], [-1.964013109, 52.481970637], [-1.96180663, 52.482719678], [-1.958474278, 52.482773386], [-1.956129135, 52.482293427], [-1.952492342, 52.483345622], [-1.951572635, 52.482811221], [-1.95078289, 52.483231686], [-1.949524647, 52.485212516], [-1.950726, 52.485479136], [-1.949710913, 52.487127445], [-1.94843434, 52.486984898], [-1.948031586, 52.487608627], [-1.947081836, 52.487494877], [-1.94595199, 52.490196782], [-1.943943415, 52.489920749], [-1.943034195, 52.491497151], [-1.933780366, 52.486738484], [-1.931319358, 52.486942987], [-1.927694138, 52.486630681]]]], ""type"": ""MultiPolygon""}","52.479808196, -1.946620997"
North Edgbaston,E05011157,Economically active and a full-time student,Unemployed,,279,1.54,"{""coordinates"": [[[[-1.927694138, 52.486630681], [-1.927385105, 52.48560737], [-1.928345314, 52.484678387], [-1.930186302, 52.483531526], [-1.931235592, 52.482087416], [-1.932570562, 52.48146248], [-1.932826257, 52.480812657], [-1.932101022, 52.480396937], [-1.932538025, 52.479630293], [-1.934839805, 52.47836939], [-1.935493799, 52.477181254], [-1.932456528, 52.476072948], [-1.932430954, 52.475490371], [-1.929528562, 52.474949261], [-1.930922592, 52.473146759], [-1.931534086, 52.471831807], [-1.93612974, 52.472072623], [-1.938668117, 52.472882197], [-1.938918826, 52.472577563], [-1.943313475, 52.472340587], [-1.944093386, 52.472593591], [-1.945896099, 52.472024445], [-1.946633136, 52.472408629], [-1.947827038, 52.472402868], [-1.94971365, 52.47304646], [-1.951731858, 52.473166019], [-1.952651596, 52.473485531], [-1.953060257, 52.472716102], [-1.957836862, 52.473337302], [-1.96036771, 52.473181791], [-1.965751375, 52.47334703], [-1.967135977, 52.474182619], [-1.965380237, 52.475307612], [-1.967197874, 52.476172084], [-1.969030449, 52.476778504], [-1.968698417, 52.477847378], [-1.966846793, 52.479127041], [-1.965657385, 52.48062616], [-1.964695181, 52.481498824], [-1.964013109, 52.481970637], [-1.96180663, 52.482719678], [-1.958474278, 52.482773386], [-1.956129135, 52.482293427], [-1.952492342, 52.483345622], [-1.951572635, 52.482811221], [-1.95078289, 52.483231686], [-1.949524647, 52.485212516], [-1.950726, 52.485479136], [-1.949710913, 52.487127445], [-1.94843434, 52.486984898], [-1.948031586, 52.487608627], [-1.947081836, 52.487494877], [-1.94595199, 52.490196782], [-1.943943415, 52.489920749], [-1.943034195, 52.491497151], [-1.933780366, 52.486738484], [-1.931319358, 52.486942987], [-1.927694138, 52.486630681]]]], ""type"": ""MultiPolygon""}","52.479808196, -1.946620997"
North Edgbaston,E05011157,Economically inactive,Long-term sick or disabled,,1049,5.77,"{""coordinates"": [[[[-1.927694138, 52.486630681], [-1.927385105, 52.48560737], [-1.928345314, 52.484678387], [-1.930186302, 52.483531526], [-1.931235592, 52.482087416], [-1.932570562, 52.48146248], [-1.932826257, 52.480812657], [-1.932101022, 52.480396937], [-1.932538025, 52.479630293], [-1.934839805, 52.47836939], [-1.935493799, 52.477181254], [-1.932456528, 52.476072948], [-1.932430954, 52.475490371], [-1.929528562, 52.474949261], [-1.930922592, 52.473146759], [-1.931534086, 52.471831807], [-1.93612974, 52.472072623], [-1.938668117, 52.472882197], [-1.938918826, 52.472577563], [-1.943313475, 52.472340587], [-1.944093386, 52.472593591], [-1.945896099, 52.472024445], [-1.946633136, 52.472408629], [-1.947827038, 52.472402868], [-1.94971365, 52.47304646], [-1.951731858, 52.473166019], [-1.952651596, 52.473485531], [-1.953060257, 52.472716102], [-1.957836862, 52.473337302], [-1.96036771, 52.473181791], [-1.965751375, 52.47334703], [-1.967135977, 52.474182619], [-1.965380237, 52.475307612], [-1.967197874, 52.476172084], [-1.969030449, 52.476778504], [-1.968698417, 52.477847378], [-1.966846793, 52.479127041], [-1.965657385, 52.48062616], [-1.964695181, 52.481498824], [-1.964013109, 52.481970637], [-1.96180663, 52.482719678], [-1.958474278, 52.482773386], [-1.956129135, 52.482293427], [-1.952492342, 52.483345622], [-1.951572635, 52.482811221], [-1.95078289, 52.483231686], [-1.949524647, 52.485212516], [-1.950726, 52.485479136], [-1.949710913, 52.487127445], [-1.94843434, 52.486984898], [-1.948031586, 52.487608627], [-1.947081836, 52.487494877], [-1.94595199, 52.490196782], [-1.943943415, 52.489920749], [-1.943034195, 52.491497151], [-1.933780366, 52.486738484], [-1.931319358, 52.486942987], [-1.927694138, 52.486630681]]]], ""type"": ""MultiPolygon""}","52.479808196, -1.946620997"
North Edgbaston,E05011157,Economically inactive,Retired,,1951,10.74,"{""coordinates"": [[[[-1.927694138, 52.486630681], [-1.927385105, 52.48560737], [-1.928345314, 52.484678387], [-1.930186302, 52.483531526], [-1.931235592, 52.482087416], [-1.932570562, 52.48146248], [-1.932826257, 52.480812657], [-1.932101022, 52.480396937], [-1.932538025, 52.479630293], [-1.934839805, 52.47836939], [-1.935493799, 52.477181254], [-1.932456528, 52.476072948], [-1.932430954, 52.475490371], [-1.929528562, 52.474949261], [-1.930922592, 52.473146759], [-1.931534086, 52.471831807], [-1.93612974, 52.472072623], [-1.938668117, 52.472882197], [-1.938918826, 52.472577563], [-1.943313475, 52.472340587], [-1.944093386, 52.472593591], [-1.945896099, 52.472024445], [-1.946633136, 52.472408629], [-1.947827038, 52.472402868], [-1.94971365, 52.47304646], [-1.951731858, 52.473166019], [-1.952651596, 52.473485531], [-1.953060257, 52.472716102], [-1.957836862, 52.473337302], [-1.96036771, 52.473181791], [-1.965751375, 52.47334703], [-1.967135977, 52.474182619], [-1.965380237, 52.475307612], [-1.967197874, 52.476172084], [-1.969030449, 52.476778504], [-1.968698417, 52.477847378], [-1.966846793, 52.479127041], [-1.965657385, 52.48062616], [-1.964695181, 52.481498824], [-1.964013109, 52.481970637], [-1.96180663, 52.482719678], [-1.958474278, 52.482773386], [-1.956129135, 52.482293427], [-1.952492342, 52.483345622], [-1.951572635, 52.482811221], [-1.95078289, 52.483231686], [-1.949524647, 52.485212516], [-1.950726, 52.485479136], [-1.949710913, 52.487127445], [-1.94843434, 52.486984898], [-1.948031586, 52.487608627], [-1.947081836, 52.487494877], [-1.94595199, 52.490196782], [-1.943943415, 52.489920749], [-1.943034195, 52.491497151], [-1.933780366, 52.486738484], [-1.931319358, 52.486942987], [-1.927694138, 52.486630681]]]], ""type"": ""MultiPolygon""}","52.479808196, -1.946620997"
Northfield,E05011158,Economically active and a full-time student,In employment,Employee,89,1.05,"{""coordinates"": [[[[-1.959576807, 52.410455455], [-1.963620783, 52.408916753], [-1.967598614, 52.40711447], [-1.969408835, 52.406106282], [-1.972011647, 52.404428505], [-1.977351027, 52.400208745], [-1.979865201, 52.401260193], [-1.981025398, 52.400180623], [-1.981916062, 52.400236484], [-1.982624065, 52.401339714], [-1.98637752, 52.397764878], [-1.988989631, 52.395534623], [-1.990695659, 52.396297176], [-1.992047629, 52.396634394], [-1.994080158, 52.396744156], [-1.99717959, 52.397427494], [-1.9983523, 52.397905829], [-2.00133438, 52.399763186], [-2.000223285, 52.400900475], [-1.998381653, 52.400958886], [-1.996188655, 52.401586348], [-1.994505727, 52.401779518], [-1.993566456, 52.402321598], [-1.992612713, 52.401546642], [-1.991679386, 52.401295741], [-1.990665055, 52.401954631], [-1.989849113, 52.402997386], [-1.992053743, 52.403995432], [-1.990923247, 52.404672382], [-1.988104088, 52.404441968], [-1.987677276, 52.406103265], [-1.985736399, 52.408047586], [-1.98491905, 52.407906383], [-1.984067737, 52.408541868], [-1.983523409, 52.409524397], [-1.981162444, 52.409727258], [-1.98128786, 52.40864752], [-1.975854998, 52.407906696], [-1.973548634, 52.410347032], [-1.972963929, 52.412131367], [-1.973427844, 52.413105086], [-1.973471369, 52.414112953], [-1.972301548, 52.415750656], [-1.97117761, 52.416789612], [-1.969589149, 52.417526462], [-1.96672591, 52.418233191], [-1.961818255, 52.421161548], [-1.960523568, 52.4219469], [-1.959049984, 52.420645465], [-1.960141064, 52.41895574], [-1.959541823, 52.418137408], [-1.957201896, 52.418815413], [-1.95552484, 52.419582509], [-1.954743085, 52.417706887], [-1.95472849, 52.416205522], [-1.956468537, 52.415492385], [-1.957158841, 52.414678999], [-1.959045709, 52.414095387], [-1.959069922, 52.411757031], [-1.959762983, 52.410994948], [-1.959576807, 52.410455455]]]], ""type"": ""MultiPolygon""}","52.407918425, -1.975665536"
Northfield,E05011158,Economically active and a full-time student,Unemployed,,43,0.51,"{""coordinates"": [[[[-1.959576807, 52.410455455], [-1.963620783, 52.408916753], [-1.967598614, 52.40711447], [-1.969408835, 52.406106282], [-1.972011647, 52.404428505], [-1.977351027, 52.400208745], [-1.979865201, 52.401260193], [-1.981025398, 52.400180623], [-1.981916062, 52.400236484], [-1.982624065, 52.401339714], [-1.98637752, 52.397764878], [-1.988989631, 52.395534623], [-1.990695659, 52.396297176], [-1.992047629, 52.396634394], [-1.994080158, 52.396744156], [-1.99717959, 52.397427494], [-1.9983523, 52.397905829], [-2.00133438, 52.399763186], [-2.000223285, 52.400900475], [-1.998381653, 52.400958886], [-1.996188655, 52.401586348], [-1.994505727, 52.401779518], [-1.993566456, 52.402321598], [-1.992612713, 52.401546642], [-1.991679386, 52.401295741], [-1.990665055, 52.401954631], [-1.989849113, 52.402997386], [-1.992053743, 52.403995432], [-1.990923247, 52.404672382], [-1.988104088, 52.404441968], [-1.987677276, 52.406103265], [-1.985736399, 52.408047586], [-1.98491905, 52.407906383], [-1.984067737, 52.408541868], [-1.983523409, 52.409524397], [-1.981162444, 52.409727258], [-1.98128786, 52.40864752], [-1.975854998, 52.407906696], [-1.973548634, 52.410347032], [-1.972963929, 52.412131367], [-1.973427844, 52.413105086], [-1.973471369, 52.414112953], [-1.972301548, 52.415750656], [-1.97117761, 52.416789612], [-1.969589149, 52.417526462], [-1.96672591, 52.418233191], [-1.961818255, 52.421161548], [-1.960523568, 52.4219469], [-1.959049984, 52.420645465], [-1.960141064, 52.41895574], [-1.959541823, 52.418137408], [-1.957201896, 52.418815413], [-1.95552484, 52.419582509], [-1.954743085, 52.417706887], [-1.95472849, 52.416205522], [-1.956468537, 52.415492385], [-1.957158841, 52.414678999], [-1.959045709, 52.414095387], [-1.959069922, 52.411757031], [-1.959762983, 52.410994948], [-1.959576807, 52.410455455]]]], ""type"": ""MultiPolygon""}","52.407918425, -1.975665536"
Northfield,E05011158,Economically inactive,Long-term sick or disabled,,326,3.83,"{""coordinates"": [[[[-1.959576807, 52.410455455], [-1.963620783, 52.408916753], [-1.967598614, 52.40711447], [-1.969408835, 52.406106282], [-1.972011647, 52.404428505], [-1.977351027, 52.400208745], [-1.979865201, 52.401260193], [-1.981025398, 52.400180623], [-1.981916062, 52.400236484], [-1.982624065, 52.401339714], [-1.98637752, 52.397764878], [-1.988989631, 52.395534623], [-1.990695659, 52.396297176], [-1.992047629, 52.396634394], [-1.994080158, 52.396744156], [-1.99717959, 52.397427494], [-1.9983523, 52.397905829], [-2.00133438, 52.399763186], [-2.000223285, 52.400900475], [-1.998381653, 52.400958886], [-1.996188655, 52.401586348], [-1.994505727, 52.401779518], [-1.993566456, 52.402321598], [-1.992612713, 52.401546642], [-1.991679386, 52.401295741], [-1.990665055, 52.401954631], [-1.989849113, 52.402997386], [-1.992053743, 52.403995432], [-1.990923247, 52.404672382], [-1.988104088, 52.404441968], [-1.987677276, 52.406103265], [-1.985736399, 52.408047586], [-1.98491905, 52.407906383], [-1.984067737, 52.408541868], [-1.983523409, 52.409524397], [-1.981162444, 52.409727258], [-1.98128786, 52.40864752], [-1.975854998, 52.407906696], [-1.973548634, 52.410347032], [-1.972963929, 52.412131367], [-1.973427844, 52.413105086], [-1.973471369, 52.414112953], [-1.972301548, 52.415750656], [-1.97117761, 52.416789612], [-1.969589149, 52.417526462], [-1.96672591, 52.418233191], [-1.961818255, 52.421161548], [-1.960523568, 52.4219469], [-1.959049984, 52.420645465], [-1.960141064, 52.41895574], [-1.959541823, 52.418137408], [-1.957201896, 52.418815413], [-1.95552484, 52.419582509], [-1.954743085, 52.417706887], [-1.95472849, 52.416205522], [-1.956468537, 52.415492385], [-1.957158841, 52.414678999], [-1.959045709, 52.414095387], [-1.959069922, 52.411757031], [-1.959762983, 52.410994948], [-1.959576807, 52.410455455]]]], ""type"": ""MultiPolygon""}","52.407918425, -1.975665536"
