"wz11cd","lsoa11cd","msoa11cd","date","Religion: All categories: Religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"E33018176","E01009119","E02001949",2011,745,440,0,6,1,17,14,5,212,50
"E33018177","E01009116","E02001953",2011,965,588,3,6,1,27,26,6,264,44
"E33018178","E01033627","E02006898",2011,3549,1763,10,170,2,221,243,21,914,205
"E33018179","E01033627","E02006898",2011,377,174,3,14,1,36,19,2,95,33
"E33018180","E01033622","E02006899",2011,1633,931,8,24,5,47,33,10,488,87
"E33018181","E01033627","E02006898",2011,373,176,0,27,0,15,12,4,112,27
"E33018182","E01033627","E02006898",2011,1013,477,6,63,0,97,91,4,217,58
"E33018183","E01033627","E02006898",2011,1158,606,10,18,7,51,39,11,336,80
"E33018184","E01009146","E02006897",2011,249,131,2,7,2,17,6,0,64,20
"E33018185","E01009146","E02006897",2011,364,184,2,7,0,31,19,0,101,20
"E33018186","E01009146","E02006897",2011,389,210,3,11,0,18,9,4,116,18
"E33018187","E01009146","E02006897",2011,2428,1148,9,103,8,292,220,19,496,133
"E33018188","E01033639","E02006897",2011,367,176,3,7,0,49,36,5,67,24
"E33018189","E01033639","E02006897",2011,377,191,2,7,1,47,12,2,95,20
"E33018190","E01033639","E02006897",2011,749,393,3,14,1,55,44,2,188,49
"E33018191","E01033639","E02006897",2011,539,257,2,14,1,46,23,2,168,26
"E33018192","E01033639","E02006897",2011,424,208,4,12,1,41,24,4,104,26
"E33018193","E01033639","E02006897",2011,588,279,2,13,0,25,24,2,211,32
"E33018194","E01033623","E02006899",2011,675,326,5,20,0,66,41,6,176,35
"E33018195","E01009159","E02001956",2011,1194,736,9,24,2,42,22,7,290,62
"E33018196","E01009159","E02001956",2011,709,416,1,1,0,8,3,1,230,49
"E33018197","E01009184","E02001918",2011,1210,726,6,24,11,76,36,11,248,72
"E33018198","E01009188","E02001918",2011,458,223,2,6,3,36,10,4,147,27
"E33018199","E01009178","E02001930",2011,539,211,8,13,3,135,12,1,127,29
"E33018200","E01009178","E02001930",2011,496,233,2,17,2,58,13,8,137,26
"E33018201","E01009178","E02001930",2011,386,210,0,11,0,43,8,1,105,8
"E33018202","E01009203","E02001869",2011,806,511,2,4,0,28,8,1,203,49
"E33018203","E01009199","E02001878",2011,850,409,0,10,1,143,31,3,203,50
"E33018204","E01009204","E02001878",2011,302,192,1,14,0,17,2,1,58,17
"E33018205","E01009204","E02001878",2011,312,199,2,5,0,13,5,4,73,11
"E33018206","E01009204","E02001878",2011,370,229,3,3,0,22,13,1,79,20
"E33018207","E01009204","E02001878",2011,255,172,0,5,0,7,4,0,51,16
"E33018208","E01033644","E02001878",2011,208,61,0,4,0,97,5,2,31,8
"E33018209","E01033644","E02001878",2011,257,114,1,1,0,74,10,1,46,10
"E33018210","E01033644","E02001878",2011,932,528,2,14,1,100,28,5,204,50
"E33018211","E01009194","E02001877",2011,327,137,0,3,0,108,3,1,56,19
"E33018212","E01009198","E02001884",2011,277,139,1,7,0,76,6,0,37,11
"E33018213","E01009198","E02001884",2011,293,118,0,0,0,116,3,0,41,15
"E33018214","E01009198","E02001884",2011,267,104,0,1,1,103,3,1,40,14
"E33018215","E01009198","E02001884",2011,327,130,3,2,0,118,10,0,51,13
"E33018216","E01009200","E02006900",2011,197,125,0,3,0,15,3,2,36,13
"E33018217","E01009200","E02006900",2011,248,104,0,2,0,45,7,0,76,14
"E33018218","E01009200","E02006900",2011,422,219,3,3,2,36,3,1,123,32
"E33018219","E01009200","E02006900",2011,745,346,1,20,0,164,51,8,115,40
"E33018220","E01009200","E02006900",2011,284,123,1,5,1,40,11,2,87,14
"E33018221","E01009200","E02006900",2011,301,156,1,5,0,24,17,1,78,19
"E33018222","E01009200","E02006900",2011,278,137,3,4,0,41,6,0,74,13
"E33018223","E01009200","E02006900",2011,965,424,3,19,2,67,30,11,334,75
"E33018224","E01009202","E02001869",2011,222,122,0,0,0,44,5,0,41,10
"E33018225","E01009202","E02001869",2011,1138,580,9,40,3,153,26,6,242,79
"E33018226","E01009202","E02001869",2011,226,131,0,1,0,10,3,2,60,19
"E33018227","E01009202","E02001869",2011,530,309,0,14,0,30,17,2,125,33
"E33018228","E01009203","E02001869",2011,275,162,0,4,0,14,16,0,66,13
"E33018229","E01009203","E02001869",2011,279,160,0,5,0,29,10,1,66,8
"E33018230","E01009203","E02001869",2011,380,223,0,7,0,36,19,2,71,22
"E33018231","E01009203","E02001869",2011,300,182,1,3,0,16,3,1,73,21
"E33018232","E01009203","E02001869",2011,242,152,0,2,1,13,3,2,48,21
"E33018233","E01009203","E02001869",2011,312,169,0,3,0,27,6,0,89,18
"E33018234","E01009203","E02001869",2011,252,146,2,5,0,7,6,0,67,19
"E33018235","E01009203","E02001869",2011,470,298,2,7,0,10,3,0,121,29
"E33018236","E01009201","E02001869",2011,258,142,0,1,0,34,7,0,59,15
"E33018237","E01009201","E02001869",2011,417,225,1,7,1,51,9,9,91,23
"E33018238","E01009201","E02001869",2011,564,286,15,8,0,48,12,2,163,30
"E33018239","E01009219","E02001946",2011,933,504,0,11,1,61,38,7,245,66
"E33018240","E01009232","E02001848",2011,452,293,1,12,0,11,12,2,102,19
"E33018241","E01009222","E02001834",2011,207,128,0,3,0,3,5,3,50,15
"E33018242","E01009222","E02001834",2011,668,439,1,8,0,16,16,2,147,39
"E33018243","E01009223","E02001839",2011,930,596,1,18,1,19,35,6,206,48
"E33018244","E01009239","E02001859",2011,339,210,0,7,0,25,10,1,71,15
"E33018245","E01009239","E02001859",2011,1179,658,4,24,0,73,80,8,259,73
"E33018246","E01009239","E02001859",2011,715,471,3,11,0,18,23,5,132,52
"E33018247","E01009239","E02001859",2011,516,300,2,11,0,28,37,4,89,45
"E33018248","E01009239","E02001859",2011,864,533,2,23,1,47,27,3,173,55
"E33018249","E01009240","E02001850",2011,316,173,2,22,0,20,20,3,61,15
"E33018250","E01009242","E02001850",2011,1210,533,3,45,0,219,129,15,203,63
"E33018251","E01009284","E02001922",2011,1423,858,6,30,1,149,36,5,250,88
"E33018252","E01009280","E02001926",2011,687,457,5,15,0,12,8,4,151,35
"E33018253","E01009281","E02001925",2011,230,134,2,5,0,9,1,2,60,17
"E33018254","E01009281","E02001925",2011,306,190,0,4,1,9,5,1,80,16
"E33018255","E01009303","E02001883",2011,633,379,1,1,0,52,12,4,149,35
"E33018256","E01009306","E02001872",2011,218,129,0,2,0,14,2,0,58,13
"E33018257","E01009315","E02001907",2011,810,458,1,25,0,67,30,3,185,41
"E33018258","E01009315","E02001907",2011,560,339,2,7,2,37,22,0,112,39
"E33018259","E01009320","E02001907",2011,252,134,1,3,0,34,5,1,54,20
"E33018260","E01009320","E02001907",2011,375,229,2,3,0,11,8,3,92,27
"E33018261","E01009320","E02001907",2011,247,152,0,7,0,19,10,2,47,10
"E33018262","E01009320","E02001907",2011,694,426,0,20,2,37,23,4,155,27
"E33018263","E01009321","E02001895",2011,739,458,1,5,0,34,16,2,179,44
"E33018264","E01009322","E02001895",2011,994,539,1,4,0,180,20,4,185,61
"E33018265","E01009322","E02001895",2011,787,502,0,9,1,24,13,3,200,35
"E33018266","E01009322","E02001895",2011,350,232,0,4,1,7,6,1,73,26
"E33018267","E01009332","E02006900",2011,308,98,1,3,0,145,9,1,36,15
"E33018268","E01009329","E02001896",2011,222,16,0,8,0,176,2,0,9,11
"E33018269","E01009329","E02001896",2011,385,38,0,14,0,275,14,0,21,23
"E33018270","E01009339","E02006901",2011,390,192,2,3,0,94,7,1,71,20
"E33018271","E01009338","E02001896",2011,1471,730,4,28,2,146,64,13,395,89
"E33018272","E01009340","E02006901",2011,741,447,1,5,2,76,21,0,159,30
"E33018273","E01009339","E02006901",2011,207,46,0,1,0,74,52,1,26,7
"E33018274","E01009339","E02006901",2011,1079,547,3,40,1,93,43,6,290,56
"E33018275","E01009341","E02001892",2011,4359,2714,15,186,10,391,81,15,744,203
"E33018276","E01009332","E02006900",2011,793,396,1,14,0,174,35,0,119,54
"E33018277","E01009332","E02006900",2011,443,69,3,5,0,286,11,1,49,19
"E33018278","E01009349","E02001862",2011,360,147,0,21,0,43,43,9,72,25
"E33018279","E01033635","E02001865",2011,276,111,1,21,0,40,40,5,37,21
"E33018280","E01033635","E02001865",2011,535,149,5,66,0,125,119,11,39,21
"E33018281","E01009354","E02001862",2011,228,86,1,19,0,26,46,7,26,17
"E33018282","E01009379","E02001897",2011,573,176,1,7,1,273,8,4,77,26
"E33018283","E01009364","E02001897",2011,448,212,0,16,0,74,21,6,86,33
"E33018284","E01009364","E02001897",2011,367,234,1,9,0,26,8,1,64,24
"E33018285","E01009364","E02001897",2011,372,177,0,12,0,72,18,2,53,38
"E33018286","E01009378","E02006896",2011,517,216,5,14,1,103,36,7,105,30
"E33018287","E01009367","E02001909",2011,195,95,0,3,2,51,7,0,26,11
"E33018288","E01009367","E02001909",2011,234,51,0,4,1,129,6,0,28,15
"E33018289","E01009367","E02001909",2011,392,145,0,6,2,94,20,5,97,23
"E33018290","E01009371","E02001903",2011,274,30,0,19,0,175,12,1,22,15
"E33018291","E01033641","E02006901",2011,423,189,0,14,1,106,24,5,63,21
"E33018292","E01009400","E02001857",2011,768,453,6,16,1,32,18,5,205,32
"E33018293","E01009400","E02001857",2011,491,311,1,1,0,13,11,6,123,25
"E33018294","E01009400","E02001857",2011,551,326,0,9,0,39,17,4,128,28
"E33018295","E01009423","E02001828",2011,759,496,1,8,0,19,18,4,162,51
"E33018296","E01009424","E02001830",2011,360,219,1,4,0,5,9,2,90,30
"E33018297","E01009424","E02001830",2011,598,414,2,0,0,6,8,1,140,27
"E33018298","E01009432","E02001832",2011,696,453,0,1,0,9,4,2,192,35
"E33018299","E01009449","E02001835",2011,343,230,1,6,0,9,5,1,65,26
"E33018300","E01009450","E02001838",2011,553,367,1,8,0,23,13,2,122,17
"E33018301","E01009443","E02001847",2011,981,628,0,5,0,39,13,6,229,61
"E33018302","E01009443","E02001847",2011,727,450,1,7,0,17,11,3,186,52
"E33018303","E01009441","E02001847",2011,445,285,1,1,1,9,2,0,128,18
"E33018304","E01009441","E02001847",2011,1078,658,3,12,1,72,10,4,259,59
"E33018305","E01009449","E02001835",2011,248,168,0,3,0,2,3,1,52,19
"E33018306","E01009449","E02001835",2011,319,160,0,23,0,19,17,0,78,22
"E33018307","E01009449","E02001835",2011,336,188,0,7,0,5,17,3,95,21
"E33018308","E01009449","E02001835",2011,744,490,1,9,1,18,19,5,167,34
"E33018309","E01009449","E02001835",2011,600,380,2,6,1,20,12,1,132,46
"E33018310","E01009449","E02001835",2011,559,334,2,9,0,12,10,0,161,31
"E33018311","E01009474","E02001836",2011,610,367,0,8,2,41,12,2,136,42
"E33018312","E01009456","E02001844",2011,315,210,1,2,0,10,4,3,74,11
"E33018313","E01009478","E02001874",2011,821,440,3,15,1,119,43,2,164,34
"E33018314","E01009483","E02001877",2011,520,300,3,2,0,67,4,1,106,37
"E33019808","E01009378","E02006896",2011,405,226,1,6,0,48,23,4,77,20
"E33019809","E01033559","E02001875",2011,266,151,2,6,1,6,10,1,72,17
"E33019810","E01033559","E02001875",2011,307,180,2,6,0,8,11,2,87,11
"E33019811","E01033559","E02001875",2011,294,177,2,7,1,9,7,0,72,19
"E33019812","E01033559","E02001875",2011,396,227,0,12,0,13,28,0,101,15
"E33019813","E01033559","E02001875",2011,225,122,1,6,0,6,18,1,51,20
"E33019814","E01033559","E02001875",2011,238,123,1,9,1,20,10,2,53,19
"E33019815","E01033559","E02001875",2011,208,100,0,5,0,15,23,2,48,15
"E33019816","E01033559","E02001875",2011,224,122,0,8,0,18,19,4,41,12
"E33019817","E01033559","E02001875",2011,307,119,4,14,0,56,52,7,39,16
"E33019818","E01033559","E02001875",2011,446,269,0,17,3,11,12,3,100,31
"E33019819","E01033561","E02001876",2011,239,97,0,6,1,56,7,2,48,22
"E33019820","E01033561","E02001876",2011,595,284,1,15,1,41,14,4,199,36
"E33019821","E01033561","E02001876",2011,236,114,3,4,0,31,17,0,52,15
"E33019822","E01033561","E02001876",2011,411,207,0,6,1,50,7,3,117,20
"E33019823","E01033561","E02001876",2011,1444,636,19,50,4,107,84,18,422,104
"E33019824","E01033561","E02001876",2011,865,449,3,11,0,39,12,5,280,66
"E33019825","E01033562","E02001913",2011,237,152,0,7,1,9,6,0,46,16
"E33019826","E01033562","E02001913",2011,459,279,1,8,1,13,10,4,111,32
"E33019827","E01033562","E02001913",2011,1615,975,15,59,1,82,47,9,335,92
"E33019828","E01033562","E02001913",2011,1687,1058,4,39,3,70,40,12,357,104
"E33019829","E01033562","E02001913",2011,4392,2636,23,153,14,242,98,31,957,238
"E33019830","E01033616","E02006896",2011,317,147,10,8,0,26,20,3,86,17
"E33019831","E01033615","E02006896",2011,292,145,0,9,4,20,15,1,86,12
"E33019832","E01033615","E02006896",2011,309,159,0,6,0,20,9,3,91,21
"E33019833","E01033615","E02006896",2011,1386,603,17,40,1,223,100,7,329,66
"E33019834","E01033615","E02006896",2011,828,375,15,12,3,98,27,0,244,54
"E33019835","E01033615","E02006896",2011,1266,625,5,40,1,49,64,15,394,73
"E33019836","E01033615","E02006896",2011,397,215,2,8,0,16,7,2,118,29
"E33019837","E01033615","E02006896",2011,287,136,2,12,0,51,8,1,59,18
"E33019838","E01033615","E02006896",2011,319,120,24,3,0,25,5,4,122,16
"E33019839","E01033615","E02006896",2011,2020,889,10,58,5,227,110,10,576,135
"E33019840","E01033615","E02006896",2011,261,135,8,9,0,16,7,4,64,18
"E33019841","E01033615","E02006896",2011,827,468,2,16,2,44,37,5,201,52
"E33019842","E01033615","E02006896",2011,320,141,5,8,0,33,4,3,108,18
"E33019843","E01033615","E02006896",2011,335,185,1,6,3,43,7,1,64,25
"E33019844","E01033557","E02006895",2011,896,475,3,26,0,52,39,3,240,58
"E33019845","E01033617","E02001876",2011,598,364,0,3,0,35,17,4,137,38
"E33019846","E01033617","E02001876",2011,349,194,3,11,2,13,19,3,84,20
"E33019847","E01033617","E02001876",2011,894,544,0,28,3,37,24,6,203,49
"E33019848","E01033617","E02001876",2011,204,100,0,6,0,28,7,1,49,13
"E33019849","E01033617","E02001876",2011,1180,641,2,42,4,39,54,5,317,76
"E33019850","E01033617","E02001876",2011,348,169,1,10,2,18,11,4,107,26
"E33019851","E01033617","E02001876",2011,1138,600,2,16,2,72,34,9,321,82
"E33019852","E01033617","E02001876",2011,2900,1675,12,113,11,139,92,14,660,184
"E33019853","E01033617","E02001876",2011,344,138,0,23,0,38,33,7,80,25
"E33019854","E01033617","E02001876",2011,2997,1842,6,52,1,84,76,18,740,178
"E33019855","E01033617","E02001876",2011,364,171,2,10,1,20,17,3,98,42
"E33019856","E01033619","E02006898",2011,207,125,0,2,0,2,5,0,64,9
"E33019857","E01033619","E02006898",2011,268,169,0,7,1,7,4,1,67,12
"E33019858","E01009378","E02006896",2011,226,139,2,3,0,12,3,5,55,7
"E33019859","E01009378","E02006896",2011,200,107,4,7,0,34,12,2,24,10
"E33019860","E01009378","E02006896",2011,384,193,2,17,1,53,23,0,78,17
"E33019861","E01009378","E02006896",2011,516,273,1,6,0,36,23,6,144,27
"E33019862","E01009378","E02006896",2011,257,128,0,17,0,37,9,1,51,14
"E33019863","E01009378","E02006896",2011,310,106,1,8,0,131,11,0,42,11
"E33019864","E01033620","E02006899",2011,426,189,3,18,1,43,22,3,118,29
"E33019865","E01033561","E02001876",2011,357,146,2,3,0,83,17,4,82,20
"E33019866","E01033561","E02001876",2011,406,198,1,10,2,30,17,5,118,25
"E33019867","E01033561","E02001876",2011,228,129,1,2,1,44,1,0,38,12
"E33019868","E01033561","E02001876",2011,1939,924,10,41,3,96,44,10,665,146
"E33019869","E01033561","E02001876",2011,254,169,0,2,0,14,8,1,52,8
"E33019870","E01033561","E02001876",2011,1577,882,4,34,2,181,70,5,304,95
"E33019871","E01033561","E02001876",2011,305,167,2,14,0,23,19,1,64,15
"E33019872","E01033561","E02001876",2011,474,261,1,9,0,63,28,3,76,33
"E33019873","E01033561","E02001876",2011,397,244,2,4,0,9,12,1,101,24
"E33019874","E01009345","E02001879",2011,1090,653,7,10,1,58,59,5,229,68
"E33019875","E01033620","E02006899",2011,310,139,0,5,0,35,18,3,83,27
"E33019876","E01033620","E02006899",2011,515,323,2,8,2,17,18,2,107,36
"E33019877","E01033620","E02006899",2011,406,215,2,7,2,33,29,2,95,21
"E33019878","E01033620","E02006899",2011,697,401,1,24,0,24,32,2,180,33
"E33019879","E01033620","E02006899",2011,1925,1109,3,33,3,129,56,16,436,140
"E33019880","E01033620","E02006899",2011,390,225,0,9,1,19,15,1,102,18
"E33019881","E01033620","E02006899",2011,1589,834,3,60,5,77,93,5,415,97
"E33019882","E01033620","E02006899",2011,1138,661,4,21,4,48,44,2,294,60
"E33019883","E01033620","E02006899",2011,294,173,1,2,0,12,12,1,80,13
"E33019884","E01033620","E02006899",2011,512,233,2,21,3,32,27,5,157,32
"E33019885","E01033620","E02006899",2011,254,148,1,4,1,7,13,2,61,17
"E33019886","E01033620","E02006899",2011,1743,1062,8,40,2,57,85,10,381,98
"E33019887","E01033620","E02006899",2011,1341,790,4,24,3,53,31,15,347,74
"E33019888","E01033620","E02006899",2011,1063,613,1,30,1,40,43,6,266,63
"E33019889","E01033620","E02006899",2011,409,216,2,12,2,10,14,1,133,19
"E33019890","E01033620","E02006899",2011,1440,740,5,39,0,101,83,9,378,85
"E33019891","E01033620","E02006899",2011,907,506,2,30,0,42,36,6,225,60
"E33019892","E01033620","E02006899",2011,1291,716,3,42,1,59,55,5,343,67
"E33019893","E01033620","E02006899",2011,769,390,1,25,0,59,46,4,197,47
"E33019894","E01033620","E02006899",2011,676,369,0,12,1,27,22,3,195,47
"E33019895","E01033620","E02006899",2011,985,450,3,38,0,117,97,12,203,65
"E33019896","E01033620","E02006899",2011,485,239,1,13,0,47,17,7,134,27
"E33019897","E01033620","E02006899",2011,198,112,1,0,1,27,2,0,47,8
"E33019898","E01033620","E02006899",2011,391,226,3,7,4,16,11,1,102,21
"E33019899","E01033620","E02006899",2011,855,485,3,18,2,25,27,4,231,60
"E33019900","E01033620","E02006899",2011,988,510,5,19,0,73,51,27,243,60
"E33019901","E01033620","E02006899",2011,273,129,0,3,3,19,18,4,72,25
"E33019902","E01033620","E02006899",2011,496,240,5,6,1,21,7,14,151,51
"E33019903","E01033620","E02006899",2011,1354,773,4,29,2,87,54,12,295,98
"E33019904","E01033620","E02006899",2011,1824,1097,3,27,1,43,46,3,487,117
"E33019905","E01033620","E02006899",2011,410,230,1,5,3,16,13,3,113,26
"E33019906","E01033620","E02006899",2011,313,175,0,3,1,1,16,0,102,15
"E33019907","E01033620","E02006899",2011,614,330,2,15,0,24,27,5,168,43
"E33019908","E01033625","E02006899",2011,1352,734,12,31,0,58,45,9,375,88
"E33019909","E01033625","E02006899",2011,2021,1091,12,41,5,70,64,8,610,120
"E33019910","E01033625","E02006899",2011,329,167,0,2,0,18,10,3,107,22
"E33019911","E01033625","E02006899",2011,282,120,4,17,2,16,10,2,97,14
"E33019912","E01033617","E02001876",2011,603,313,4,27,2,37,34,8,145,33
"E33019913","E01033625","E02006899",2011,906,513,3,18,0,66,37,10,216,43
"E33019914","E01033625","E02006899",2011,521,265,9,13,0,35,10,3,149,37
"E33019915","E01033625","E02006899",2011,268,137,1,4,2,6,10,3,80,25
"E33019916","E01033625","E02006899",2011,666,365,7,11,1,21,15,4,189,53
"E33019917","E01033617","E02001876",2011,1687,942,4,44,6,121,80,14,380,96
"E33019918","E01008899","E02001863",2011,312,178,1,2,0,28,10,2,63,28
"E33019919","E01033620","E02006899",2011,441,205,1,9,1,69,22,3,102,29
"E33019920","E01033620","E02006899",2011,1005,528,1,38,1,95,47,7,224,64
"E33019921","E01033620","E02006899",2011,309,177,6,6,0,18,10,3,59,30
"E33019922","E01033620","E02006899",2011,865,351,2,51,4,161,58,7,171,60
"E33019923","E01033620","E02006899",2011,319,131,0,6,1,75,27,4,56,19
"E33019924","E01033620","E02006899",2011,1357,803,0,39,1,70,73,13,258,100
"E33019925","E01033620","E02006899",2011,331,177,3,3,1,24,17,2,83,21
"E33019926","E01033620","E02006899",2011,348,166,1,8,0,42,18,7,79,27
"E33019927","E01033620","E02006899",2011,620,309,5,17,0,65,27,2,161,34
"E33019928","E01033620","E02006899",2011,434,201,1,18,0,57,23,1,101,32
"E33019929","E01033620","E02006899",2011,354,156,0,16,0,48,23,3,83,25
"E33019930","E01033620","E02006899",2011,368,188,2,10,3,36,23,4,73,29
"E33019931","E01033620","E02006899",2011,370,193,1,4,1,43,9,1,92,26
"E33019932","E01033620","E02006899",2011,206,91,0,7,0,42,10,2,42,12
"E33019933","E01033620","E02006899",2011,333,144,3,16,1,48,30,5,67,19
"E33019934","E01033620","E02006899",2011,523,271,6,8,1,21,37,1,152,26
"E33019935","E01033620","E02006899",2011,2606,1499,8,70,4,95,108,17,671,134
"E33019936","E01033622","E02006899",2011,233,125,0,5,1,3,6,1,78,14
"E33019937","E01033622","E02006899",2011,306,173,1,8,1,8,11,1,83,20
"E33019938","E01033622","E02006899",2011,677,342,4,18,2,34,26,2,197,52
"E33019939","E01033619","E02006898",2011,264,138,0,9,2,8,11,0,68,28
"E33019940","E01033619","E02006898",2011,420,188,0,9,2,38,8,5,130,40
"E33019941","E01033619","E02006898",2011,348,182,1,10,0,20,19,4,85,27
"E33019942","E01033623","E02006899",2011,324,176,1,3,1,22,16,2,80,23
