"wz11cd","lsoa11cd","msoa11cd","date","Distance travelled to work: All categories: Distance travelled to work; measures: Value","Distance travelled to work: Less than 2km; measures: Value","Distance travelled to work: 2km to less than 5km; measures: Value","Distance travelled to work: 5km to less than 10km; measures: Value","Distance travelled to work: 10km to less than 20km; measures: Value","Distance travelled to work: 20km to less than 30km; measures: Value","Distance travelled to work: 30km to less than 40km; measures: Value","Distance travelled to work: 40km to less than 60km; measures: Value","Distance travelled to work: 60km and over; measures: Value","Distance travelled to work: Work mainly at or from home; measures: Value","Distance travelled to work: No fixed place; measures: Value","Distance travelled to work: Total distance (km); measures: Value","Distance travelled to work: Average distance (km); measures: Value"
"E33018180","E01033622","E02006899",2011,1633,84,150,386,302,128,48,47,448,16,24,81037.3,50.9
"E33018181","E01033627","E02006898",2011,373,40,58,111,70,33,23,21,12,4,1,6069.6,16.5
"E33018182","E01033627","E02006898",2011,1013,154,165,333,214,61,27,27,32,0,0,13868.1,13.7
"E33018183","E01033627","E02006898",2011,1158,96,145,333,243,126,79,64,62,4,6,21599.4,18.8
"E33018184","E01009146","E02006897",2011,249,33,47,67,41,13,7,2,3,14,22,2073.3,9.7
"E33018185","E01009146","E02006897",2011,364,43,89,114,61,27,16,6,7,0,1,4534.3,12.5
"E33018186","E01009146","E02006897",2011,389,89,104,119,42,10,6,1,13,4,1,3678.7,9.6
"E33018187","E01009146","E02006897",2011,2428,107,432,961,617,160,50,48,53,0,0,31716.4,13.1
"E33018188","E01033639","E02006897",2011,367,17,75,141,88,16,4,5,2,12,7,3353.9,9.6
"E33018189","E01033639","E02006897",2011,377,62,109,141,38,13,3,4,6,1,0,3246.3,8.6
"E33018190","E01033639","E02006897",2011,749,30,117,203,192,99,37,25,37,3,6,14826.5,20
"E33018191","E01033639","E02006897",2011,539,106,127,186,48,14,2,3,10,24,19,3796.2,7.7
"E33018192","E01033639","E02006897",2011,424,22,74,147,82,29,21,22,20,3,4,7067.9,16.9
"E33018193","E01033639","E02006897",2011,588,54,96,186,159,41,20,12,20,0,0,8660.9,14.7
"E33018194","E01033623","E02006899",2011,675,29,119,246,147,56,22,13,25,9,9,9662,14.7
"E33018195","E01009159","E02001956",2011,1194,135,118,145,200,55,41,19,466,10,5,82057.4,69.6
"E33018196","E01009159","E02001956",2011,709,302,162,115,79,17,5,6,7,8,8,4506.8,6.5
"E33018197","E01009184","E02001918",2011,1210,115,431,376,192,42,13,6,4,18,13,9095.3,7.7
"E33018198","E01009188","E02001918",2011,458,106,124,106,59,24,4,5,1,17,12,3261.4,7.6
"E33018199","E01009178","E02001930",2011,539,110,187,131,53,12,2,3,2,25,14,3074.3,6.1
"E33018200","E01009178","E02001930",2011,496,106,171,144,49,5,2,0,0,13,6,2525,5.3
"E33018201","E01009178","E02001930",2011,386,77,131,107,53,7,1,3,2,1,4,2536.2,6.7
"E33018202","E01009203","E02001869",2011,806,24,108,347,174,79,26,20,15,6,7,10490.8,13.2
"E33018203","E01009199","E02001878",2011,850,60,186,318,115,48,15,24,63,10,11,16016.3,19.3
"E33018204","E01009204","E02001878",2011,302,17,54,130,65,21,3,2,4,5,1,3135.5,10.6
"E33018205","E01009204","E02001878",2011,312,10,45,111,82,35,11,13,5,0,0,4453,14.3
"E33018206","E01009204","E02001878",2011,370,5,69,151,101,24,11,6,3,0,0,4268.1,11.5
"E33018207","E01009204","E02001878",2011,255,4,37,125,62,21,3,0,1,0,2,2655.5,10.5
"E33018208","E01033644","E02001878",2011,208,39,66,56,29,6,2,0,4,0,6,1526,7.6
"E33018209","E01033644","E02001878",2011,257,12,69,79,47,29,3,12,6,0,0,3688.5,14.4
"E33018210","E01033644","E02001878",2011,932,43,186,388,185,61,14,27,21,1,6,11624.8,12.6
"E33018211","E01009194","E02001877",2011,327,71,71,112,36,11,0,7,3,5,11,2535.8,8.2
"E33018212","E01009198","E02001884",2011,277,46,79,93,48,5,1,3,2,0,0,2231.2,8.1
"E33018213","E01009198","E02001884",2011,293,63,79,89,39,15,2,1,5,0,0,2523.1,8.6
"E33018214","E01009198","E02001884",2011,267,46,107,75,22,5,1,0,2,2,7,1609.2,6.2
"E33018215","E01009198","E02001884",2011,327,50,101,103,37,14,7,4,4,3,4,2820.2,8.8
"E33018216","E01009200","E02006900",2011,197,6,27,86,33,23,6,11,5,0,0,2947,15
"E33018217","E01009200","E02006900",2011,248,16,65,89,37,15,12,4,6,4,0,2942.5,12.1
"E33018218","E01009200","E02006900",2011,422,16,77,118,80,51,15,23,42,0,0,9709,23
"E33018219","E01009200","E02006900",2011,745,43,196,361,115,18,5,2,4,1,0,6149.7,8.3
"E33018220","E01009200","E02006900",2011,284,23,52,123,46,13,11,1,8,5,2,3401.2,12.3
"E33018221","E01009200","E02006900",2011,301,12,66,148,39,23,6,2,4,1,0,3137.5,10.5
"E33018222","E01009200","E02006900",2011,278,8,56,131,50,6,11,1,1,4,10,2474.2,9.4
"E33018223","E01009200","E02006900",2011,965,48,221,338,156,82,25,40,54,1,0,17375.6,18
"E33018224","E01009202","E02001869",2011,222,14,55,65,44,8,4,2,0,13,17,1760.3,9.2
"E33018225","E01009202","E02001869",2011,1138,103,312,384,206,76,12,13,32,0,0,12865,11.3
"E33018226","E01009202","E02001869",2011,226,9,52,77,49,13,3,4,16,1,2,3932.4,17.6
"E33018227","E01009202","E02001869",2011,530,21,100,166,153,39,12,10,25,3,1,8448.5,16.1
"E33018228","E01009203","E02001869",2011,275,11,56,87,77,22,8,8,6,0,0,3916.9,14.2
"E33018229","E01009203","E02001869",2011,279,14,56,113,59,9,3,3,7,5,10,3070.8,11.6
"E33018230","E01009203","E02001869",2011,380,12,82,153,87,22,7,7,10,0,0,4963.3,13.1
"E33018231","E01009203","E02001869",2011,300,3,45,102,65,30,13,23,19,0,0,5998.2,20
"E33018232","E01009203","E02001869",2011,242,8,64,85,62,19,0,3,1,0,0,2339.2,9.7
"E33018233","E01009203","E02001869",2011,312,8,46,139,80,21,8,4,3,2,1,3597,11.6
"E33018234","E01009203","E02001869",2011,252,10,49,95,51,21,13,7,6,0,0,3507.3,13.9
"E33018235","E01009203","E02001869",2011,470,6,39,128,119,74,34,20,45,1,4,12471.6,26.8
"E33018236","E01009201","E02001869",2011,258,35,58,82,42,11,13,4,7,2,4,3495.7,13.9
"E33018237","E01009201","E02001869",2011,417,22,85,152,87,37,8,4,3,6,13,4370.7,11
"E33018238","E01009201","E02001869",2011,564,32,99,229,132,31,10,6,10,8,7,6414.6,11.7
"E33018239","E01009219","E02001946",2011,933,231,337,145,171,18,5,1,3,11,11,5833.9,6.4
"E33018240","E01009232","E02001848",2011,452,62,128,131,89,16,5,3,5,8,5,4038.8,9.2
"E33018241","E01009222","E02001834",2011,207,48,28,48,60,9,6,4,4,0,0,2552.6,12.3
"E33018242","E01009222","E02001834",2011,668,169,147,143,120,29,14,12,14,7,13,6593.2,10.2
"E33018243","E01009223","E02001839",2011,930,338,212,198,108,19,21,10,14,5,5,7618.8,8.3
"E33018244","E01009239","E02001859",2011,339,50,108,90,48,14,13,3,6,5,2,3068.4,9.2
"E33018245","E01009239","E02001859",2011,1179,114,345,303,276,58,19,21,43,0,0,15481.6,13.1
"E33018246","E01009239","E02001859",2011,715,78,205,183,167,49,8,10,8,5,2,7058.9,10
"E33018247","E01009239","E02001859",2011,516,63,177,140,88,13,8,11,2,7,7,4387.9,8.7
"E33018248","E01009239","E02001859",2011,864,89,328,237,138,26,10,8,28,0,0,9430.7,10.9
"E33018249","E01009240","E02001850",2011,316,50,65,106,51,18,2,3,4,7,10,3100.6,10.4
"E33018250","E01009242","E02001850",2011,1210,279,466,292,114,14,8,6,7,13,11,7191.8,6.1
"E33018251","E01009284","E02001922",2011,1423,129,504,391,236,39,19,15,73,10,7,19594,13.9
"E33018252","E01009280","E02001926",2011,687,76,237,183,121,23,13,7,10,12,5,5961.2,8.9
"E33018253","E01009281","E02001925",2011,230,52,69,35,29,3,4,4,3,21,10,1767.4,8.9
"E33018254","E01009281","E02001925",2011,306,70,96,63,42,6,3,5,0,18,3,1895.7,6.7
"E33018255","E01009303","E02001883",2011,633,90,152,130,155,57,11,4,16,3,15,7834.7,12.7
"E33018256","E01009306","E02001872",2011,218,43,81,42,26,9,2,1,0,9,5,1352.7,6.6
"E33018257","E01009315","E02001907",2011,810,228,207,212,115,33,9,2,2,0,2,5395.4,6.7
"E33018258","E01009315","E02001907",2011,560,135,155,107,93,31,10,7,6,8,8,4671.7,8.6
"E33018259","E01009320","E02001907",2011,252,55,71,72,34,10,2,3,1,3,1,1779,7.2
"E33018260","E01009320","E02001907",2011,375,30,88,95,48,22,15,22,53,2,0,8845.3,23.7
"E33018261","E01009320","E02001907",2011,247,39,66,50,50,14,6,5,3,5,9,2319.4,10
"E33018262","E01009320","E02001907",2011,694,70,136,161,160,85,20,19,26,6,11,11086.2,16.4
"E33018263","E01009321","E02001895",2011,739,89,157,165,197,67,23,10,24,5,2,9952.4,13.6
"E33018264","E01009322","E02001895",2011,994,119,355,216,199,49,20,19,17,0,0,10669.4,10.7
"E33018265","E01009322","E02001895",2011,787,91,196,155,180,77,20,14,50,0,4,14325.6,18.3
"E33018266","E01009322","E02001895",2011,350,46,93,99,76,19,5,3,3,4,2,3377,9.8
"E33018267","E01009332","E02006900",2011,308,72,106,68,17,9,3,1,5,13,14,2138.3,7.6
"E33018268","E01009329","E02001896",2011,222,75,57,36,14,4,1,1,1,15,18,1003,5.3
"E33018269","E01009329","E02001896",2011,385,126,131,57,32,5,0,2,1,18,13,1697.6,4.8
"E33018270","E01009339","E02006901",2011,390,37,89,129,66,29,12,6,1,8,13,3685.8,10
"E33018271","E01009338","E02001896",2011,1471,72,260,541,299,155,41,41,43,12,7,21333,14.7
"E33018272","E01009340","E02006901",2011,741,73,179,257,137,57,10,3,11,3,11,7377,10.1
"E33018273","E01009339","E02006901",2011,207,43,60,62,22,8,0,0,2,7,3,1561.7,7.9
"E33018274","E01009339","E02006901",2011,1079,63,220,264,203,90,30,42,159,4,4,32724.3,30.6
"E33018275","E01009341","E02001892",2011,4359,450,1097,1646,717,281,51,42,55,9,11,43040.3,9.9
"E33018276","E01009332","E02006900",2011,793,80,195,295,137,50,1,3,9,10,13,7690.7,10
"E33018277","E01009332","E02006900",2011,443,125,141,119,21,7,1,1,3,16,9,2330.9,5.6
"E33018278","E01009349","E02001862",2011,360,70,103,105,40,5,1,2,3,13,18,2440,7.4
"E33018279","E01033635","E02001865",2011,276,68,60,82,50,4,2,0,0,2,8,1705.9,6.4
"E33018280","E01033635","E02001865",2011,535,150,132,150,67,7,7,3,7,5,7,4322.8,8.3
"E33018281","E01009354","E02001862",2011,228,29,43,57,38,6,6,1,19,20,9,3539.7,17.8
"E33018282","E01009379","E02001897",2011,573,119,191,160,41,20,5,2,5,15,15,3772.2,6.9
"E33018283","E01009364","E02001897",2011,448,62,101,173,67,18,5,7,5,5,5,4097.8,9.4
"E33018284","E01009364","E02001897",2011,367,17,51,164,61,23,8,5,32,3,3,7930.1,22
"E33018285","E01009364","E02001897",2011,372,30,76,149,85,5,6,3,4,7,7,3505.1,9.8
"E33018286","E01009378","E02006896",2011,517,51,126,208,89,18,3,3,4,7,8,4381.6,8.7
"E33018287","E01009367","E02001909",2011,195,24,55,65,36,5,4,5,1,0,0,1731.6,8.9
"E33018288","E01009367","E02001909",2011,234,63,57,60,12,6,2,1,5,14,14,1677,8.1
"E33018289","E01009367","E02001909",2011,392,41,145,108,64,17,2,11,3,1,0,3696.7,9.5
"E33018290","E01009371","E02001903",2011,274,67,76,79,15,4,4,2,4,12,11,2001.9,8
"E33018291","E01033641","E02006901",2011,423,82,112,103,54,27,5,17,10,5,8,4547.4,11.1
"E33018292","E01009400","E02001857",2011,768,43,126,222,160,59,33,45,75,0,5,18569.2,24.3
"E33018293","E01009400","E02001857",2011,491,31,80,156,115,72,11,13,4,5,4,6105.2,12.7
"E33018294","E01009400","E02001857",2011,551,30,117,187,124,47,8,17,17,2,2,7198.5,13.2
"E33018295","E01009423","E02001828",2011,759,187,174,166,156,23,4,10,1,28,10,5313.4,7.4
"E33018296","E01009424","E02001830",2011,360,40,96,97,79,18,4,3,18,5,0,5525.5,15.6
"E33018297","E01009424","E02001830",2011,598,49,142,114,201,54,13,11,7,5,2,7242.9,12.3
"E33018298","E01009432","E02001832",2011,696,126,144,123,154,43,13,22,59,3,9,16081.5,23.5
"E33018299","E01009449","E02001835",2011,343,44,128,69,65,13,3,3,2,14,2,2642.8,8.1
"E33018300","E01009450","E02001838",2011,553,27,85,135,159,48,13,7,11,54,14,6796.7,14
"E33018301","E01009443","E02001847",2011,981,172,391,216,113,34,12,5,9,16,13,7068.3,7.4
"E33018302","E01009443","E02001847",2011,727,59,157,184,165,84,16,20,19,6,17,10445.7,14.8
"E33018303","E01009441","E02001847",2011,445,27,101,100,106,42,15,18,36,0,0,10199.5,22.9
"E33018304","E01009441","E02001847",2011,1078,73,172,276,337,96,36,27,39,8,14,17052.8,16.1
"E33018305","E01009449","E02001835",2011,248,37,68,43,64,16,11,0,8,0,1,3435.2,13.9
"E33018306","E01009449","E02001835",2011,319,44,104,75,62,9,2,1,0,10,12,2118.6,7.1
"E33018307","E01009449","E02001835",2011,336,38,134,61,68,9,2,8,9,6,1,3662.2,11.1
"E33018308","E01009449","E02001835",2011,744,89,250,151,186,31,9,7,20,0,1,8558.2,11.5
"E33018309","E01009449","E02001835",2011,600,55,219,164,127,23,2,2,5,3,0,5231.3,8.8
"E33018310","E01009449","E02001835",2011,559,63,147,97,150,34,13,24,20,6,5,7816.9,14.3
"E33018311","E01009474","E02001836",2011,610,162,217,93,98,14,9,1,7,4,5,4420.5,7.4
"E33018312","E01009456","E02001844",2011,315,69,97,45,44,16,7,4,5,17,11,2978.4,10.4
"E33018313","E01009478","E02001874",2011,821,73,193,246,145,62,9,10,54,16,13,13375.8,16.9
"E33018314","E01009483","E02001877",2011,520,32,130,169,79,23,10,10,38,14,15,9018.7,18.4
"E33019808","E01009378","E02006896",2011,405,23,105,199,44,11,7,4,5,6,1,3745.8,9.4
"E33019809","E01033559","E02001875",2011,266,25,30,82,83,20,15,6,5,0,0,3672,13.8
"E33019810","E01033559","E02001875",2011,307,14,38,129,75,24,7,7,10,3,0,4417.5,14.5
"E33019811","E01033559","E02001875",2011,294,23,37,119,75,18,6,6,10,0,0,4436.3,15.1
"E33019812","E01033559","E02001875",2011,396,30,46,146,125,21,10,4,7,4,3,4898,12.6
"E33019813","E01033559","E02001875",2011,225,11,49,105,38,12,5,0,5,0,0,2615.7,11.6
"E33019814","E01033559","E02001875",2011,238,27,33,93,55,14,8,2,5,0,1,2984.4,12.6
"E33019815","E01033559","E02001875",2011,208,19,27,85,44,11,10,5,3,4,0,2354.8,11.5
"E33019816","E01033559","E02001875",2011,224,23,49,87,47,13,3,0,2,0,0,2068.4,9.2
"E33019817","E01033559","E02001875",2011,307,22,81,92,69,15,7,6,9,4,2,3622.3,12
"E33019818","E01033559","E02001875",2011,446,23,60,175,113,45,13,12,4,0,1,5560.3,12.5
"E33019819","E01033561","E02001876",2011,239,8,63,103,39,15,3,2,5,1,0,2780.4,11.7
"E33019820","E01033561","E02001876",2011,595,22,104,218,119,58,24,28,22,0,0,9373.6,15.8
"E33019821","E01033561","E02001876",2011,236,6,51,109,43,12,4,4,6,1,0,3177.7,13.5
"E33019822","E01033561","E02001876",2011,411,11,86,166,86,33,5,7,10,5,2,5109.2,12.6
"E33019823","E01033561","E02001876",2011,1444,180,262,539,247,130,22,20,44,0,0,18449,12.8
"E33019824","E01033561","E02001876",2011,865,48,143,334,174,65,17,16,38,11,19,12934.5,15.5
"E33019825","E01033562","E02001913",2011,237,14,78,72,37,10,6,7,13,0,0,3456.4,14.6
"E33019826","E01033562","E02001913",2011,459,37,146,132,88,23,11,6,3,8,5,4243,9.5
"E33019827","E01033562","E02001913",2011,1615,176,594,447,273,57,27,16,23,1,1,14389.5,8.9
"E33019828","E01033562","E02001913",2011,1687,117,532,507,291,104,50,33,44,9,0,19734.3,11.8
"E33019829","E01033562","E02001913",2011,4392,446,1422,1327,771,187,82,55,102,0,0,49082.3,11.2
"E33019830","E01033616","E02006896",2011,317,28,46,112,61,27,12,7,11,6,7,4704.3,15.5
"E33019831","E01033615","E02006896",2011,292,23,51,83,68,30,9,9,15,1,3,4884.2,17
"E33019832","E01033615","E02006896",2011,309,38,57,91,53,24,7,9,30,0,0,6523.1,21.1
"E33019833","E01033615","E02006896",2011,1386,126,359,559,230,56,9,15,32,0,0,14626.3,10.6
"E33019834","E01033615","E02006896",2011,828,95,192,320,134,47,15,6,18,0,1,8953.3,10.8
"E33019835","E01033615","E02006896",2011,1266,75,127,441,323,138,42,51,66,1,2,24149.2,19.1
"E33019836","E01033615","E02006896",2011,397,21,34,91,81,51,21,20,78,0,0,14240.1,35.9
"E33019837","E01033615","E02006896",2011,287,17,51,135,54,17,3,2,5,1,2,3143.6,11.1
"E33019838","E01033615","E02006896",2011,319,47,73,114,52,16,2,2,12,1,0,3282.1,10.3
"E33019839","E01033615","E02006896",2011,2020,239,548,796,291,81,8,20,37,0,0,19582,9.7
"E33019840","E01033615","E02006896",2011,261,29,60,129,26,10,2,1,4,0,0,2391.6,9.2
"E33019841","E01033615","E02006896",2011,827,42,98,379,180,54,23,22,29,0,0,11572.1,14
"E33019842","E01033615","E02006896",2011,320,34,73,116,49,23,7,6,12,0,0,4359.9,13.6
"E33019843","E01033615","E02006896",2011,335,7,63,172,60,18,6,3,4,2,0,3547.4,10.7
"E33019844","E01033557","E02006895",2011,896,70,129,307,218,57,27,37,32,12,7,12796.4,14.6
"E33019845","E01033617","E02001876",2011,598,13,68,266,168,48,15,13,7,0,0,7513.8,12.6
"E33019846","E01033617","E02001876",2011,349,12,35,136,82,37,13,17,16,0,1,5728.2,16.5
"E33019847","E01033617","E02001876",2011,894,33,108,355,232,90,28,23,25,0,0,12920.6,14.5
"E33019848","E01033617","E02001876",2011,204,3,44,88,48,9,3,1,2,1,5,2032.1,10.3
"E33019849","E01033617","E02001876",2011,1180,141,122,330,300,122,62,60,43,0,0,19166.4,16.2
"E33019850","E01033617","E02001876",2011,348,22,50,160,66,38,4,5,3,0,0,3767.5,10.8
"E33019851","E01033617","E02001876",2011,1138,35,152,403,238,100,55,38,117,0,0,28839.6,25.3
"E33019852","E01033617","E02001876",2011,2900,150,416,1101,725,246,100,81,70,10,1,40435.8,14
"E33019853","E01033617","E02001876",2011,344,27,58,154,68,20,1,8,8,0,0,4139.9,12
"E33019854","E01033617","E02001876",2011,2997,97,186,753,960,528,200,144,129,0,0,60133.2,20.1
"E33019855","E01033617","E02001876",2011,364,16,67,129,65,30,19,13,10,9,6,5048.3,14.5
