"wz11cd","lsoa11cd","msoa11cd","date","Distance travelled to work: All categories: Distance travelled to work; measures: Value","Distance travelled to work: Less than 2km; measures: Value","Distance travelled to work: 2km to less than 5km; measures: Value","Distance travelled to work: 5km to less than 10km; measures: Value","Distance travelled to work: 10km to less than 20km; measures: Value","Distance travelled to work: 20km to less than 30km; measures: Value","Distance travelled to work: 30km to less than 40km; measures: Value","Distance travelled to work: 40km to less than 60km; measures: Value","Distance travelled to work: 60km and over; measures: Value","Distance travelled to work: Work mainly at or from home; measures: Value","Distance travelled to work: No fixed place; measures: Value","Distance travelled to work: Total distance (km); measures: Value","Distance travelled to work: Average distance (km); measures: Value"
"E33020049","E01009248","E02001845",2011,347,39,55,64,71,15,4,0,3,48,48,2724.8,10.9
"E33020049","E01009244","E02001845",2011,347,39,55,64,71,15,4,0,3,48,48,2724.8,10.9
"E33020050","E01009405","E02001846",2011,297,42,40,33,31,6,1,0,4,61,79,1703.5,10.9
"E33020050","E01009406","E02001846",2011,297,42,40,33,31,6,1,0,4,61,79,1703.5,10.9
"E33020051","E01009407","E02001846",2011,358,59,60,64,26,13,3,4,5,58,66,2425.6,10.4
"E33020051","E01009405","E02001846",2011,358,59,60,64,26,13,3,4,5,58,66,2425.6,10.4
"E33020052","E01009403","E02001846",2011,387,82,48,28,28,0,0,0,0,76,125,797.9,4.3
"E33020052","E01009406","E02001846",2011,387,82,48,28,28,0,0,0,0,76,125,797.9,4.3
"E33020052","E01009404","E02001846",2011,387,82,48,28,28,0,0,0,0,76,125,797.9,4.3
"E33020053","E01009439","E02001847",2011,301,43,63,28,11,4,3,3,1,75,70,1178.1,7.6
"E33020053","E01009442","E02001847",2011,301,43,63,28,11,4,3,3,1,75,70,1178.1,7.6
"E33020054","E01009441","E02001847",2011,340,21,41,60,71,21,6,0,4,58,58,2608.3,11.6
"E33020055","E01009443","E02001847",2011,579,52,83,101,109,42,15,13,25,77,62,8384.2,19.1
"E33020055","E01009442","E02001847",2011,579,52,83,101,109,42,15,13,25,77,62,8384.2,19.1
"E33020056","E01009123","E02001848",2011,449,78,117,105,74,11,3,3,4,18,36,2981.6,7.5
"E33020057","E01009124","E02001848",2011,303,59,44,20,20,4,1,2,0,64,89,822.5,5.5
"E33020057","E01009125","E02001848",2011,303,59,44,20,20,4,1,2,0,64,89,822.5,5.5
"E33020057","E01009123","E02001848",2011,303,59,44,20,20,4,1,2,0,64,89,822.5,5.5
"E33020058","E01009232","E02001848",2011,549,108,141,126,54,17,9,2,5,45,42,3409,7.4
"E33020059","E01033632","E02001849",2011,309,74,77,66,38,9,0,2,1,17,25,1882.2,7
"E33020059","E01009007","E02001849",2011,309,74,77,66,38,9,0,2,1,17,25,1882.2,7
"E33020060","E01009002","E02001849",2011,293,29,15,18,25,18,3,0,2,91,92,1521.3,13.8
"E33020060","E01009006","E02001849",2011,293,29,15,18,25,18,3,0,2,91,92,1521.3,13.8
"E33020060","E01009007","E02001849",2011,293,29,15,18,25,18,3,0,2,91,92,1521.3,13.8
"E33020061","E01033632","E02001849",2011,335,54,61,53,48,11,4,3,3,53,45,2270.1,9.6
"E33020062","E01009007","E02001849",2011,335,73,72,84,48,9,1,1,3,18,26,2359.4,8.1
"E33020062","E01009006","E02001849",2011,335,73,72,84,48,9,1,1,3,18,26,2359.4,8.1
"E33020063","E01009237","E02001850",2011,339,90,59,78,38,2,5,0,1,28,38,1713.9,6.3
"E33020063","E01009240","E02001850",2011,339,90,59,78,38,2,5,0,1,28,38,1713.9,6.3
"E33020064","E01009237","E02001850",2011,320,81,45,45,30,8,4,4,9,50,44,2847,12.6
"E33020064","E01009238","E02001850",2011,320,81,45,45,30,8,4,4,9,50,44,2847,12.6
"E33020065","E01009238","E02001850",2011,647,88,160,118,99,7,6,3,4,78,84,3867.2,8
"E33020065","E01009241","E02001850",2011,647,88,160,118,99,7,6,3,4,78,84,3867.2,8
"E33020065","E01009240","E02001850",2011,647,88,160,118,99,7,6,3,4,78,84,3867.2,8
"E33020066","E01009242","E02001850",2011,483,71,130,112,60,7,2,1,5,48,47,3065.6,7.9
"E33020066","E01009241","E02001850",2011,483,71,130,112,60,7,2,1,5,48,47,3065.6,7.9
"E33020067","E01009100","E02001851",2011,449,89,95,48,36,8,0,0,1,83,89,1651.2,6
"E33020067","E01009098","E02001851",2011,449,89,95,48,36,8,0,0,1,83,89,1651.2,6
"E33020067","E01009105","E02001851",2011,449,89,95,48,36,8,0,0,1,83,89,1651.2,6
"E33020068","E01009005","E02001851",2011,362,50,46,23,11,3,0,0,0,108,121,576.3,4.3
"E33020068","E01009009","E02001851",2011,362,50,46,23,11,3,0,0,0,108,121,576.3,4.3
"E33020068","E01009100","E02001851",2011,362,50,46,23,11,3,0,0,0,108,121,576.3,4.3
"E33020069","E01009105","E02001851",2011,495,50,98,108,111,25,2,5,2,50,44,3886.8,9.7
"E33020070","E01009100","E02001851",2011,452,53,99,105,69,25,4,7,2,41,47,3488.3,9.6
"E33020070","E01009098","E02001851",2011,452,53,99,105,69,25,4,7,2,41,47,3488.3,9.6
"E33020071","E01009409","E02001852",2011,293,49,35,62,22,3,0,0,1,54,67,1114.6,6.5
"E33020071","E01009408","E02001852",2011,293,49,35,62,22,3,0,0,1,54,67,1114.6,6.5
"E33020072","E01009408","E02001852",2011,386,77,106,87,61,8,3,4,3,18,19,2846.3,8.2
"E33020072","E01009410","E02001852",2011,386,77,106,87,61,8,3,4,3,18,19,2846.3,8.2
"E33020073","E01009410","E02001852",2011,777,48,86,107,144,58,34,49,197,26,28,36134.5,50
"E33020074","E01009410","E02001852",2011,463,69,65,76,36,9,0,4,2,90,112,2133.6,8.2
"E33020074","E01009408","E02001852",2011,463,69,65,76,36,9,0,4,2,90,112,2133.6,8.2
"E33020074","E01009126","E02001852",2011,463,69,65,76,36,9,0,4,2,90,112,2133.6,8.2
"E33020075","E01009011","E02001854",2011,309,49,47,48,44,3,2,1,0,45,70,1343.7,6.9
"E33020076","E01009008","E02001854",2011,310,47,41,49,26,8,2,6,3,69,59,1617.3,8.9
"E33020076","E01009012","E02001854",2011,310,47,41,49,26,8,2,6,3,69,59,1617.3,8.9
"E33020076","E01009011","E02001854",2011,310,47,41,49,26,8,2,6,3,69,59,1617.3,8.9
"E33020077","E01009104","E02001854",2011,575,67,99,123,127,29,8,3,5,43,71,4887.6,10.6
"E33020077","E01009102","E02001854",2011,575,67,99,123,127,29,8,3,5,43,71,4887.6,10.6
"E33020078","E01009012","E02001854",2011,269,65,40,32,17,5,0,0,3,46,61,1084.7,6.7
"E33020078","E01009102","E02001854",2011,269,65,40,32,17,5,0,0,3,46,61,1084.7,6.7
"E33020079","E01009099","E02001855",2011,366,75,76,64,66,13,5,1,1,26,39,2384.5,7.9
"E33020079","E01009097","E02001855",2011,366,75,76,64,66,13,5,1,1,26,39,2384.5,7.9
"E33020080","E01009096","E02001855",2011,261,63,39,37,36,4,2,0,3,20,57,1542.9,8.4
"E33020081","E01009103","E02001855",2011,380,133,67,56,37,7,0,2,0,29,49,1493.3,4.9
"E33020081","E01009097","E02001855",2011,380,133,67,56,37,7,0,2,0,29,49,1493.3,4.9
"E33020082","E01009106","E02001855",2011,929,159,169,200,178,54,14,11,34,52,58,12235.7,14.9
"E33020082","E01009097","E02001855",2011,929,159,169,200,178,54,14,11,34,52,58,12235.7,14.9
"E33020083","E01009101","E02001855",2011,675,176,191,138,91,12,2,4,5,22,34,4487.2,7.2
"E33020083","E01009099","E02001855",2011,675,176,191,138,91,12,2,4,5,22,34,4487.2,7.2
"E33020084","E01009411","E02001856",2011,675,85,154,130,113,29,16,10,6,53,79,5678.4,10.5
"E33020084","E01009414","E02001856",2011,675,85,154,130,113,29,16,10,6,53,79,5678.4,10.5
"E33020084","E01008915","E02001856",2011,675,85,154,130,113,29,16,10,6,53,79,5678.4,10.5
"E33020085","E01009413","E02001856",2011,282,37,41,36,17,1,1,0,1,65,83,1009.8,7.5
"E33020085","E01009412","E02001856",2011,282,37,41,36,17,1,1,0,1,65,83,1009.8,7.5
"E33020085","E01009414","E02001856",2011,282,37,41,36,17,1,1,0,1,65,83,1009.8,7.5
"E33020086","E01008915","E02001856",2011,567,39,174,150,114,12,8,6,6,33,25,4760.7,9.4
"E33020087","E01009414","E02001856",2011,450,72,91,74,26,4,1,2,1,83,96,1607.7,5.9
"E33020087","E01009413","E02001856",2011,450,72,91,74,26,4,1,2,1,83,96,1607.7,5.9
"E33020088","E01008999","E02001857",2011,246,45,44,37,19,3,2,0,0,48,48,839.1,5.6
"E33020088","E01009000","E02001857",2011,246,45,44,37,19,3,2,0,0,48,48,839.1,5.6
"E33020089","E01033646","E02001857",2011,307,50,46,74,46,9,0,0,0,42,40,1602.6,7.1
"E33020089","E01009000","E02001857",2011,307,50,46,74,46,9,0,0,0,42,40,1602.6,7.1
"E33020090","E01033646","E02001857",2011,403,82,88,90,64,13,3,5,4,24,30,3285.4,9.4
"E33020091","E01008998","E02001857",2011,395,75,73,83,53,10,4,2,1,42,52,2162.4,7.2
"E33020092","E01009000","E02001857",2011,320,55,43,44,29,4,2,2,1,67,73,1240.2,6.9
"E33020092","E01008999","E02001857",2011,320,55,43,44,29,4,2,2,1,67,73,1240.2,6.9
"E33020092","E01009400","E02001857",2011,320,55,43,44,29,4,2,2,1,67,73,1240.2,6.9
"E33020093","E01009013","E02001857",2011,290,64,70,56,23,3,0,0,2,30,42,1390.5,6.4
"E33020094","E01033630","E02001857",2011,369,44,68,95,75,12,1,2,4,26,42,3144.3,10.4
"E33020095","E01009013","E02001857",2011,570,87,133,153,88,20,5,3,23,28,30,7051.4,13.8
"E33020096","E01009401","E02001857",2011,501,35,100,134,97,20,5,2,6,43,59,3993.5,10
"E33020097","E01009056","E02001858",2011,273,32,23,46,27,3,3,0,1,75,63,1083,8
"E33020098","E01009263","E02001858",2011,307,42,30,51,12,5,0,1,6,58,102,1638.6,11.1
"E33020098","E01009049","E02001858",2011,307,42,30,51,12,5,0,1,6,58,102,1638.6,11.1
"E33020099","E01009264","E02001858",2011,402,80,40,39,16,4,3,0,8,97,115,2135,11.2
"E33020099","E01009265","E02001858",2011,402,80,40,39,16,4,3,0,8,97,115,2135,11.2
"E33020100","E01009263","E02001858",2011,352,67,63,75,33,6,0,2,0,60,46,1521.3,6.2
"E33020100","E01009265","E02001858",2011,352,67,63,75,33,6,0,2,0,60,46,1521.3,6.2
"E33020101","E01009058","E02001859",2011,326,86,63,45,10,2,1,2,3,54,60,1157.3,5.5
"E33020101","E01009054","E02001859",2011,326,86,63,45,10,2,1,2,3,54,60,1157.3,5.5
"E33020101","E01009061","E02001859",2011,326,86,63,45,10,2,1,2,3,54,60,1157.3,5.5
"E33020102","E01009054","E02001859",2011,499,83,123,120,55,17,1,0,6,43,51,3380.8,8.3
"E33020102","E01009058","E02001859",2011,499,83,123,120,55,17,1,0,6,43,51,3380.8,8.3
"E33020102","E01009051","E02001859",2011,499,83,123,120,55,17,1,0,6,43,51,3380.8,8.3
"E33020103","E01009058","E02001859",2011,486,127,122,68,34,6,1,1,2,53,72,1953.4,5.4
"E33020103","E01009053","E02001859",2011,486,127,122,68,34,6,1,1,2,53,72,1953.4,5.4
"E33020104","E01009239","E02001859",2011,412,38,101,117,97,11,5,5,3,19,16,3539.3,9.4
"E33020105","E01009051","E02001859",2011,393,92,108,94,38,6,1,0,2,22,30,1927.2,5.7
"E33020105","E01009054","E02001859",2011,393,92,108,94,38,6,1,0,2,22,30,1927.2,5.7
"E33020106","E01009273","E02001860",2011,331,49,25,31,4,0,5,0,4,80,133,1037.3,8.8
"E33020106","E01009271","E02001860",2011,331,49,25,31,4,0,5,0,4,80,133,1037.3,8.8
"E33020106","E01009269","E02001860",2011,331,49,25,31,4,0,5,0,4,80,133,1037.3,8.8
"E33020106","E01009270","E02001860",2011,331,49,25,31,4,0,5,0,4,80,133,1037.3,8.8
"E33020107","E01009266","E02001860",2011,418,96,49,70,20,3,0,1,0,75,104,1091.7,4.6
"E33020107","E01009269","E02001860",2011,418,96,49,70,20,3,0,1,0,75,104,1091.7,4.6
"E33020107","E01009271","E02001860",2011,418,96,49,70,20,3,0,1,0,75,104,1091.7,4.6
"E33020108","E01009270","E02001860",2011,373,110,55,54,26,4,5,0,0,64,55,1261.2,5
"E33020108","E01009266","E02001860",2011,373,110,55,54,26,4,5,0,0,64,55,1261.2,5
"E33020109","E01009057","E02001861",2011,292,70,41,49,21,0,0,0,0,50,61,800.7,4.4
"E33020109","E01009059","E02001861",2011,292,70,41,49,21,0,0,0,0,50,61,800.7,4.4
"E33020110","E01033621","E02001861",2011,262,60,41,40,29,6,1,1,2,35,47,1304.1,7.2
"E33020111","E01033621","E02001861",2011,258,27,32,43,40,6,6,7,8,37,52,2691.2,15.9
"E33020112","E01009059","E02001861",2011,293,56,51,39,29,5,0,0,3,59,51,1333.6,7.3
"E33020112","E01009060","E02001861",2011,293,56,51,39,29,5,0,0,3,59,51,1333.6,7.3
"E33020113","E01009050","E02001861",2011,477,72,65,94,63,10,2,5,3,56,107,2656.5,8.5
"E33020113","E01009057","E02001861",2011,477,72,65,94,63,10,2,5,3,56,107,2656.5,8.5
"E33020114","E01009349","E02001862",2011,412,62,72,120,76,9,5,5,0,20,43,2799.3,8
"E33020114","E01009351","E02001862",2011,412,62,72,120,76,9,5,5,0,20,43,2799.3,8
"E33020115","E01009349","E02001862",2011,337,84,56,50,19,3,1,3,5,52,64,1771.4,8
"E33020115","E01009351","E02001862",2011,337,84,56,50,19,3,1,3,5,52,64,1771.4,8
"E33020115","E01009274","E02001862",2011,337,84,56,50,19,3,1,3,5,52,64,1771.4,8
"E33020116","E01009274","E02001862",2011,297,66,48,54,21,2,4,1,0,46,55,1045,5.3
"E33020117","E01009272","E02001862",2011,279,30,35,48,26,5,2,1,5,61,66,1796.3,11.8
"E33020117","E01009268","E02001862",2011,279,30,35,48,26,5,2,1,5,61,66,1796.3,11.8
"E33020118","E01009351","E02001862",2011,428,66,64,108,89,6,8,5,4,35,43,3354.8,9.6
"E33020118","E01009354","E02001862",2011,428,66,64,108,89,6,8,5,4,35,43,3354.8,9.6
"E33020119","E01009272","E02001862",2011,300,10,56,72,61,8,5,7,11,32,38,3316.9,14.4
"E33020119","E01009274","E02001862",2011,300,10,56,72,61,8,5,7,11,32,38,3316.9,14.4
"E33020120","E01008916","E02001863",2011,224,42,61,61,15,0,0,0,2,22,21,1015.5,5.6
"E33020121","E01008901","E02001863",2011,220,17,49,66,49,11,2,0,2,12,12,1975.9,10.1
"E33020122","E01033636","E02001863",2011,306,76,58,55,22,4,3,0,3,44,41,1623,7.3
"E33020123","E01008899","E02001863",2011,427,23,60,101,117,51,10,10,6,19,30,5177.1,13.7
"E33020123","E01008916","E02001863",2011,427,23,60,101,117,51,10,10,6,19,30,5177.1,13.7
"E33020124","E01008901","E02001863",2011,312,65,44,68,22,6,0,1,5,52,49,1700.8,8.1
"E33020124","E01033636","E02001863",2011,312,65,44,68,22,6,0,1,5,52,49,1700.8,8.1
"E33020125","E01009081","E02001864",2011,613,99,112,101,58,10,0,3,0,96,134,2328,6.1
"E33020125","E01009083","E02001864",2011,613,99,112,101,58,10,0,3,0,96,134,2328,6.1
"E33020125","E01009080","E02001864",2011,613,99,112,101,58,10,0,3,0,96,134,2328,6.1
"E33020125","E01009079","E02001864",2011,613,99,112,101,58,10,0,3,0,96,134,2328,6.1
"E33020126","E01033635","E02001865",2011,396,79,50,58,37,10,1,3,2,58,98,1967.3,8.2
"E33020127","E01009350","E02001865",2011,279,59,36,42,21,2,3,0,2,42,72,1079.2,6.5
"E33020127","E01009275","E02001865",2011,279,59,36,42,21,2,3,0,2,42,72,1079.2,6.5
"E33020128","E01009352","E02001865",2011,373,91,59,59,9,2,0,0,32,41,80,5936.4,23.6
"E33020128","E01009353","E02001865",2011,373,91,59,59,9,2,0,0,32,41,80,5936.4,23.6
"E33020129","E01009355","E02001865",2011,360,62,56,81,49,5,5,0,1,34,67,1829.3,7.1
"E33020129","E01009352","E02001865",2011,360,62,56,81,49,5,5,0,1,34,67,1829.3,7.1
"E33020130","E01009275","E02001865",2011,461,78,88,100,78,16,5,3,14,37,42,4498.4,11.8
"E33020131","E01009355","E02001865",2011,596,115,149,185,75,17,3,6,11,18,17,5059.7,9
"E33020132","E01008907","E02001866",2011,337,53,48,93,30,7,3,1,0,40,62,1592.8,6.8
"E33020132","E01009048","E02001866",2011,337,53,48,93,30,7,3,1,0,40,62,1592.8,6.8
"E33020133","E01008905","E02001866",2011,391,94,71,78,46,8,1,3,6,32,52,2303.7,7.5
"E33020133","E01008907","E02001866",2011,391,94,71,78,46,8,1,3,6,32,52,2303.7,7.5
"E33020134","E01009047","E02001866",2011,259,55,40,24,20,1,0,0,2,66,51,987.4,7
"E33020134","E01009048","E02001866",2011,259,55,40,24,20,1,0,0,2,66,51,987.4,7
"E33020135","E01009048","E02001866",2011,458,98,104,131,53,18,5,0,2,23,24,2916.5,7.1
"E33020135","E01009047","E02001866",2011,458,98,104,131,53,18,5,0,2,23,24,2916.5,7.1
"E33020136","E01009047","E02001866",2011,326,89,50,40,23,4,0,0,1,45,74,981.8,4.7
"E33020136","E01009062","E02001866",2011,326,89,50,40,23,4,0,0,1,45,74,981.8,4.7
"E33020137","E01008909","E02001867",2011,282,33,61,92,36,6,0,4,5,23,22,2311.2,9.8
"E33020138","E01033637","E02001867",2011,338,29,59,79,38,13,1,3,11,43,62,3057.3,13.1
"E33020139","E01033628","E02001867",2011,399,111,81,86,28,7,5,1,4,27,49,2201.3,6.8
"E33020139","E01033637","E02001867",2011,399,111,81,86,28,7,5,1,4,27,49,2201.3,6.8
"E33020140","E01033628","E02001867",2011,230,83,57,39,9,2,0,1,4,13,22,1545,7.9
"E33020141","E01008909","E02001867",2011,505,73,135,144,72,14,5,0,16,25,21,5306,11.6
"E33020141","E01033628","E02001867",2011,505,73,135,144,72,14,5,0,16,25,21,5306,11.6
"E33020141","E01033637","E02001867",2011,505,73,135,144,72,14,5,0,16,25,21,5306,11.6
"E33020142","E01009087","E02001868",2011,252,70,39,23,20,0,1,1,0,40,58,655.2,4.3
"E33020142","E01009089","E02001868",2011,252,70,39,23,20,0,1,1,0,40,58,655.2,4.3
"E33020143","E01009090","E02001868",2011,316,56,41,34,24,5,0,0,0,59,97,831.1,5.2
"E33020143","E01009089","E02001868",2011,316,56,41,34,24,5,0,0,0,59,97,831.1,5.2
"E33020144","E01009090","E02001868",2011,510,97,145,98,45,19,2,6,1,41,56,2819.3,6.8
"E33020144","E01009085","E02001868",2011,510,97,145,98,45,19,2,6,1,41,56,2819.3,6.8
"E33020145","E01009090","E02001868",2011,400,67,43,42,22,4,2,0,1,94,125,1050.2,5.8
"E33020145","E01009084","E02001868",2011,400,67,43,42,22,4,2,0,1,94,125,1050.2,5.8
"E33020145","E01009085","E02001868",2011,400,67,43,42,22,4,2,0,1,94,125,1050.2,5.8
"E33020146","E01009203","E02001869",2011,333,41,62,87,37,11,0,1,5,39,50,2280.5,9.3
"E33020146","E01009201","E02001869",2011,333,41,62,87,37,11,0,1,5,39,50,2280.5,9.3
"E33020147","E01009201","E02001869",2011,335,29,61,84,46,23,1,5,11,37,38,3270.1,12.6
"E33020147","E01009202","E02001869",2011,335,29,61,84,46,23,1,5,11,37,38,3270.1,12.6
"E33020148","E01009481","E02001870",2011,278,70,49,42,15,1,3,0,0,44,54,826.8,4.6
"E33020148","E01009487","E02001870",2011,278,70,49,42,15,1,3,0,0,44,54,826.8,4.6
"E33020149","E01009487","E02001870",2011,339,69,42,61,22,5,1,1,2,54,82,1289.7,6.4
"E33020149","E01009486","E02001870",2011,339,69,42,61,22,5,1,1,2,54,82,1289.7,6.4
"E33020150","E01009082","E02001870",2011,666,73,135,173,118,45,19,4,11,42,46,6291.9,10.9
"E33020150","E01009086","E02001870",2011,666,73,135,173,118,45,19,4,11,42,46,6291.9,10.9
"E33020151","E01009086","E02001870",2011,332,33,36,49,70,27,7,2,3,48,57,2677.1,11.8
"E33020152","E01009481","E02001870",2011,232,63,71,40,19,1,0,0,3,13,22,1045.9,5.3
"E33020153","E01009486","E02001870",2011,533,141,63,91,46,7,1,1,3,73,107,2263.2,6.4
"E33020153","E01009480","E02001870",2011,533,141,63,91,46,7,1,1,3,73,107,2263.2,6.4
"E33020154","E01009091","E02001871",2011,358,58,47,26,16,2,3,0,0,85,121,757.6,5
"E33020154","E01009088","E02001871",2011,358,58,47,26,16,2,3,0,0,85,121,757.6,5
"E33020154","E01009305","E02001871",2011,358,58,47,26,16,2,3,0,0,85,121,757.6,5
"E33020154","E01009307","E02001871",2011,358,58,47,26,16,2,3,0,0,85,121,757.6,5
"E33020155","E01009091","E02001871",2011,429,101,73,38,37,2,2,1,4,73,98,1588.2,6.2
"E33020155","E01009305","E02001871",2011,429,101,73,38,37,2,2,1,4,73,98,1588.2,6.2
"E33020155","E01009307","E02001871",2011,429,101,73,38,37,2,2,1,4,73,98,1588.2,6.2
"E33020155","E01009309","E02001871",2011,429,101,73,38,37,2,2,1,4,73,98,1588.2,6.2
"E33020156","E01009310","E02001872",2011,327,93,34,19,26,0,1,0,0,65,89,718,4.2
"E33020156","E01009308","E02001872",2011,327,93,34,19,26,0,1,0,0,65,89,718,4.2
"E33020156","E01009306","E02001872",2011,327,93,34,19,26,0,1,0,0,65,89,718,4.2
"E33020157","E01009306","E02001872",2011,352,95,46,27,38,14,1,0,0,43,88,1318.2,6
"E33020157","E01009310","E02001872",2011,352,95,46,27,38,14,1,0,0,43,88,1318.2,6
"E33020157","E01009304","E02001872",2011,352,95,46,27,38,14,1,0,0,43,88,1318.2,6
"E33020158","E01009304","E02001872",2011,459,200,96,41,30,5,3,3,0,33,48,1550.3,4.1
"E33020158","E01009310","E02001872",2011,459,200,96,41,30,5,3,3,0,33,48,1550.3,4.1
"E33020159","E01009358","E02001873",2011,494,77,104,164,72,6,4,6,3,20,38,3370.6,7.7
"E33020159","E01009359","E02001873",2011,494,77,104,164,72,6,4,6,3,20,38,3370.6,7.7
"E33020160","E01009359","E02001873",2011,600,133,105,151,85,12,8,2,3,53,48,3792.6,7.6
"E33020161","E01009348","E02001873",2011,687,68,111,227,121,33,17,14,9,42,45,6798.3,11.3
"E33020161","E01009360","E02001873",2011,687,68,111,227,121,33,17,14,9,42,45,6798.3,11.3
"E33020162","E01009361","E02001873",2011,473,71,62,91,51,6,1,4,3,82,102,2280.8,7.9
"E33020162","E01009360","E02001873",2011,473,71,62,91,51,6,1,4,3,82,102,2280.8,7.9
"E33020163","E01009358","E02001873",2011,417,78,84,94,65,7,3,5,7,35,39,3100.2,9
"E33020164","E01009348","E02001873",2011,4642,408,1102,1785,886,198,70,44,66,38,45,47218.4,10.4
"E33020165","E01009484","E02001874",2011,519,139,97,105,27,10,3,0,1,48,89,2044.2,5.4
"E33020165","E01009485","E02001874",2011,519,139,97,105,27,10,3,0,1,48,89,2044.2,5.4
"E33020166","E01009482","E02001874",2011,475,37,76,119,81,24,5,5,19,45,64,5200,14.2
"E33020166","E01009479","E02001874",2011,475,37,76,119,81,24,5,5,19,45,64,5200,14.2
"E33020167","E01009478","E02001874",2011,541,115,135,105,43,7,3,3,3,44,83,2721.4,6.6
"E33020167","E01009479","E02001874",2011,541,115,135,105,43,7,3,3,3,44,83,2721.4,6.6
"E33020167","E01009484","E02001874",2011,541,115,135,105,43,7,3,3,3,44,83,2721.4,6.6
"E33020168","E01009347","E02001875",2011,239,9,28,73,50,8,5,6,0,23,37,1878.5,10.5
"E33020169","E01033559","E02001875",2011,307,13,34,73,55,19,13,6,5,46,43,3597.2,16.5
"E33020170","E01009347","E02001875",2011,493,81,105,169,78,16,1,1,0,21,21,3129.7,6.9
"E33020171","E01033638","E02001875",2011,416,55,69,98,54,14,4,2,4,48,68,2739.9,9.1
"E33020171","E01008906","E02001875",2011,416,55,69,98,54,14,4,2,4,48,68,2739.9,9.1
"E33020172","E01033638","E02001875",2011,664,27,81,219,131,54,16,7,25,50,54,9407.8,16.8
"E33020172","E01033559","E02001875",2011,664,27,81,219,131,54,16,7,25,50,54,9407.8,16.8
"E33020172","E01008911","E02001875",2011,664,27,81,219,131,54,16,7,25,50,54,9407.8,16.8
"E33020173","E01008913","E02001876",2011,225,31,50,76,16,4,3,2,0,18,25,1210.1,6.6
"E33020174","E01008913","E02001876",2011,399,30,48,139,91,28,10,10,11,11,21,5064.5,13.8
"E33020175","E01008914","E02001876",2011,466,38,59,175,112,20,6,7,17,10,22,6054.5,14
"E33020176","E01008910","E02001876",2011,1790,84,295,490,410,178,81,79,100,34,39,31402.5,18.3
"E33020177","E01033617","E02001876",2011,759,28,86,262,202,96,29,21,11,11,13,10239.7,13.9
"E33020177","E01008914","E02001876",2011,759,28,86,262,202,96,29,21,11,11,13,10239.7,13.9
"E33020178","E01008914","E02001876",2011,313,33,61,121,47,7,2,1,4,16,21,2614.8,9.5
"E33020179","E01033561","E02001876",2011,1008,38,91,326,316,131,24,30,22,15,15,14921.7,15.3
"E33020180","E01008914","E02001876",2011,1101,24,164,395,306,108,26,19,30,19,10,15621.3,14.6
"E33020181","E01009194","E02001877",2011,393,93,97,79,23,6,2,1,1,23,68,1660.3,5.5
"E33020182","E01009489","E02001877",2011,498,127,139,111,22,6,0,6,3,33,51,2528.7,6.1
"E33020183","E01009194","E02001877",2011,277,68,43,36,7,2,0,4,2,42,73,1074.1,6.6
"E33020183","E01009491","E02001877",2011,277,68,43,36,7,2,0,4,2,42,73,1074.1,6.6
"E33020184","E01009483","E02001877",2011,282,84,86,40,9,1,0,1,1,24,36,975.3,4.4
"E33020184","E01009489","E02001877",2011,282,84,86,40,9,1,0,1,1,24,36,975.3,4.4
"E33020185","E01009488","E02001877",2011,307,46,60,56,22,7,1,1,3,32,79,1592.2,8.1
"E33020185","E01009491","E02001877",2011,307,46,60,56,22,7,1,1,3,32,79,1592.2,8.1
"E33020186","E01009199","E02001878",2011,643,32,90,258,112,38,6,14,28,31,34,9050.2,15.7
"E33020187","E01009192","E02001878",2011,318,18,42,75,66,27,6,3,24,21,36,6899.9,26.4
"E33020188","E01033644","E02001878",2011,466,100,129,94,33,12,1,1,1,36,59,2284.5,6.2
"E33020189","E01009192","E02001878",2011,268,79,61,31,6,0,0,0,0,36,55,513.7,2.9
"E33020189","E01033644","E02001878",2011,268,79,61,31,6,0,0,0,0,36,55,513.7,2.9
"E33020190","E01009204","E02001878",2011,474,58,90,145,61,23,3,5,9,36,44,3994.4,10.1
"E33020191","E01009346","E02001879",2011,432,111,101,94,16,1,2,0,1,45,61,1479.6,4.5
"E33020191","E01009345","E02001879",2011,432,111,101,94,16,1,2,0,1,45,61,1479.6,4.5
"E33020192","E01009345","E02001879",2011,579,67,128,210,102,17,5,2,5,19,24,4706.3,8.8
"E33020193","E01009153","E02001879",2011,380,59,79,116,63,9,0,3,4,25,22,2841.2,8.5
"E33020194","E01009152","E02001879",2011,421,83,74,91,37,6,1,1,3,62,63,2089.2,7.1
"E33020194","E01009153","E02001879",2011,421,83,74,91,37,6,1,1,3,62,63,2089.2,7.1
"E33020195","E01009152","E02001879",2011,360,55,29,48,12,0,0,0,2,71,143,943.6,6.5
"E33020195","E01009151","E02001879",2011,360,55,29,48,12,0,0,0,2,71,143,943.6,6.5
"E33020196","E01009311","E02001880",2011,293,37,35,30,32,6,4,2,1,72,74,1359.4,9.2
"E33020196","E01009298","E02001880",2011,293,37,35,30,32,6,4,2,1,72,74,1359.4,9.2
"E33020196","E01009094","E02001880",2011,293,37,35,30,32,6,4,2,1,72,74,1359.4,9.2
"E33020196","E01009093","E02001880",2011,293,37,35,30,32,6,4,2,1,72,74,1359.4,9.2
