"wz11cd","lsoa11cd","msoa11cd","date","General Health: All categories: General health; measures: Value","General Health: Very good health; measures: Value","General Health: Good health; measures: Value","General Health: Fair health; measures: Value","General Health: Bad health; measures: Value","General Health: Very bad health; measures: Value"
"E33018267","E01009332","E02006900",2011,308,129,131,42,5,1
"E33018268","E01009329","E02001896",2011,222,88,94,38,2,0
"E33018269","E01009329","E02001896",2011,385,169,168,38,8,2
"E33018270","E01009339","E02006901",2011,390,152,185,46,3,4
"E33018271","E01009338","E02001896",2011,1471,718,605,121,21,6
"E33018272","E01009340","E02006901",2011,741,318,332,83,4,4
"E33018273","E01009339","E02006901",2011,207,92,89,22,3,1
"E33018274","E01009339","E02006901",2011,1079,534,435,81,28,1
"E33018275","E01009341","E02001892",2011,4359,2353,1567,385,40,14
"E33018276","E01009332","E02006900",2011,793,321,350,103,17,2
"E33018277","E01009332","E02006900",2011,443,175,203,55,8,2
"E33018278","E01009349","E02001862",2011,360,172,133,45,7,3
"E33018279","E01033635","E02001865",2011,276,110,131,29,6,0
"E33018280","E01033635","E02001865",2011,535,228,220,68,17,2
"E33018281","E01009354","E02001862",2011,228,96,104,25,3,0
"E33018282","E01009379","E02001897",2011,573,259,230,71,12,1
"E33018283","E01009364","E02001897",2011,448,186,195,57,8,2
"E33018284","E01009364","E02001897",2011,367,164,154,42,7,0
"E33018285","E01009364","E02001897",2011,372,129,189,42,7,5
"E33018286","E01009378","E02006896",2011,517,235,212,64,5,1
"E33018287","E01009367","E02001909",2011,195,76,84,30,4,1
"E33018288","E01009367","E02001909",2011,234,102,103,24,5,0
"E33018289","E01009367","E02001909",2011,392,199,155,32,3,3
"E33018290","E01009371","E02001903",2011,274,119,117,34,3,1
"E33018291","E01033641","E02006901",2011,423,184,184,44,9,2
"E33018292","E01009400","E02001857",2011,768,370,340,48,9,1
"E33018293","E01009400","E02001857",2011,491,235,191,59,4,2
"E33018294","E01009400","E02001857",2011,551,226,248,58,18,1
"E33018295","E01009423","E02001828",2011,759,391,290,72,5,1
"E33018296","E01009424","E02001830",2011,360,164,161,25,10,0
"E33018297","E01009424","E02001830",2011,598,339,224,31,4,0
"E33018298","E01009432","E02001832",2011,696,332,297,60,6,1
"E33018299","E01009449","E02001835",2011,343,182,137,22,2,0
"E33018300","E01009450","E02001838",2011,553,272,230,41,8,2
"E33018301","E01009443","E02001847",2011,981,431,418,114,15,3
"E33018302","E01009443","E02001847",2011,727,323,315,83,3,3
"E33018303","E01009441","E02001847",2011,445,224,174,41,4,2
"E33018304","E01009441","E02001847",2011,1078,446,501,110,15,6
"E33018305","E01009449","E02001835",2011,248,127,100,19,2,0
"E33018306","E01009449","E02001835",2011,319,166,133,17,2,1
"E33018307","E01009449","E02001835",2011,336,173,143,19,0,1
"E33018308","E01009449","E02001835",2011,744,410,266,62,6,0
"E33018309","E01009449","E02001835",2011,600,307,238,47,8,0
"E33018310","E01009449","E02001835",2011,559,319,202,24,13,1
"E33018311","E01009474","E02001836",2011,610,300,248,55,6,1
"E33018312","E01009456","E02001844",2011,315,162,127,24,2,0
"E33018313","E01009478","E02001874",2011,821,356,368,79,16,2
"E33018314","E01009483","E02001877",2011,520,226,242,41,10,1
"E33019808","E01009378","E02006896",2011,405,145,175,68,14,3
"E33019809","E01033559","E02001875",2011,266,125,116,21,2,2
"E33019810","E01033559","E02001875",2011,307,156,116,26,9,0
"E33019811","E01033559","E02001875",2011,294,141,133,15,5,0
"E33019812","E01033559","E02001875",2011,396,190,154,40,10,2
"E33019813","E01033559","E02001875",2011,225,85,110,22,7,1
"E33019814","E01033559","E02001875",2011,238,123,76,33,5,1
"E33019815","E01033559","E02001875",2011,208,97,90,18,3,0
"E33019816","E01033559","E02001875",2011,224,89,94,34,6,1
"E33019817","E01033559","E02001875",2011,307,146,126,32,3,0
"E33019818","E01033559","E02001875",2011,446,211,178,49,8,0
"E33019819","E01033561","E02001876",2011,239,95,107,30,7,0
"E33019820","E01033561","E02001876",2011,595,309,221,57,7,1
"E33019821","E01033561","E02001876",2011,236,104,114,15,3,0
"E33019822","E01033561","E02001876",2011,411,205,152,47,6,1
"E33019823","E01033561","E02001876",2011,1444,841,530,65,6,2
"E33019824","E01033561","E02001876",2011,865,418,343,80,22,2
"E33019825","E01033562","E02001913",2011,237,109,101,24,2,1
"E33019826","E01033562","E02001913",2011,459,217,199,37,5,1
"E33019827","E01033562","E02001913",2011,1615,906,558,128,16,7
"E33019828","E01033562","E02001913",2011,1687,875,654,132,22,4
"E33019829","E01033562","E02001913",2011,4392,2446,1579,310,46,11
"E33019830","E01033616","E02006896",2011,317,156,139,17,4,1
"E33019831","E01033615","E02006896",2011,292,159,109,21,2,1
"E33019832","E01033615","E02006896",2011,309,148,138,21,2,0
"E33019833","E01033615","E02006896",2011,1386,820,489,68,8,1
"E33019834","E01033615","E02006896",2011,828,373,356,85,13,1
"E33019835","E01033615","E02006896",2011,1266,628,535,89,14,0
"E33019836","E01033615","E02006896",2011,397,209,163,23,1,1
"E33019837","E01033615","E02006896",2011,287,136,114,27,9,1
"E33019838","E01033615","E02006896",2011,319,131,160,22,6,0
"E33019839","E01033615","E02006896",2011,2020,1179,725,97,13,6
"E33019840","E01033615","E02006896",2011,261,123,121,12,5,0
"E33019841","E01033615","E02006896",2011,827,348,390,79,10,0
"E33019842","E01033615","E02006896",2011,320,133,131,44,9,3
"E33019843","E01033615","E02006896",2011,335,141,146,44,4,0
"E33019844","E01033557","E02006895",2011,896,428,377,76,14,1
"E33019845","E01033617","E02001876",2011,598,317,227,49,5,0
"E33019846","E01033617","E02001876",2011,349,181,138,23,6,1
"E33019847","E01033617","E02001876",2011,894,474,346,66,7,1
"E33019848","E01033617","E02001876",2011,204,71,92,36,2,3
"E33019849","E01033617","E02001876",2011,1180,726,373,70,8,3
"E33019850","E01033617","E02001876",2011,348,164,140,38,6,0
"E33019851","E01033617","E02001876",2011,1138,565,454,100,15,4
"E33019852","E01033617","E02001876",2011,2900,1614,1064,193,23,6
"E33019853","E01033617","E02001876",2011,344,153,145,37,5,4
"E33019854","E01033617","E02001876",2011,2997,1689,1102,180,24,2
"E33019855","E01033617","E02001876",2011,364,165,163,30,5,1
"E33019856","E01033619","E02006898",2011,207,109,77,18,3,0
"E33019857","E01033619","E02006898",2011,268,112,120,32,2,2
"E33019858","E01009378","E02006896",2011,226,92,101,32,0,1
"E33019859","E01009378","E02006896",2011,200,75,86,32,4,3
"E33019860","E01009378","E02006896",2011,384,148,181,39,14,2
"E33019861","E01009378","E02006896",2011,516,276,202,35,3,0
"E33019862","E01009378","E02006896",2011,257,129,106,19,2,1
"E33019863","E01009378","E02006896",2011,310,157,119,27,6,1
"E33019864","E01033620","E02006899",2011,426,202,178,44,2,0
"E33019865","E01033561","E02001876",2011,357,159,155,39,4,0
"E33019866","E01033561","E02001876",2011,406,244,133,26,2,1
"E33019867","E01033561","E02001876",2011,228,98,96,28,6,0
"E33019868","E01033561","E02001876",2011,1939,1131,668,123,14,3
"E33019869","E01033561","E02001876",2011,254,107,123,22,2,0
"E33019870","E01033561","E02001876",2011,1577,701,697,154,20,5
"E33019871","E01033561","E02001876",2011,305,147,123,32,3,0
"E33019872","E01033561","E02001876",2011,474,200,213,51,8,2
"E33019873","E01033561","E02001876",2011,397,209,150,34,4,0
"E33019874","E01009345","E02001879",2011,1090,466,475,115,27,7
"E33019875","E01033620","E02006899",2011,310,144,124,35,7,0
"E33019876","E01033620","E02006899",2011,515,300,184,27,4,0
"E33019877","E01033620","E02006899",2011,406,244,129,26,6,1
"E33019878","E01033620","E02006899",2011,697,426,232,32,3,4
"E33019879","E01033620","E02006899",2011,1925,840,811,230,35,9
"E33019880","E01033620","E02006899",2011,390,195,164,26,5,0
"E33019881","E01033620","E02006899",2011,1589,964,546,66,8,5
"E33019882","E01033620","E02006899",2011,1138,701,386,43,7,1
"E33019883","E01033620","E02006899",2011,294,170,96,24,4,0
"E33019884","E01033620","E02006899",2011,512,283,185,35,8,1
"E33019885","E01033620","E02006899",2011,254,143,89,17,5,0
"E33019886","E01033620","E02006899",2011,1743,988,652,90,13,0
"E33019887","E01033620","E02006899",2011,1341,666,542,119,12,2
"E33019888","E01033620","E02006899",2011,1063,542,437,69,9,6
"E33019889","E01033620","E02006899",2011,409,230,160,16,3,0
"E33019890","E01033620","E02006899",2011,1440,785,543,90,17,5
"E33019891","E01033620","E02006899",2011,907,513,329,57,8,0
"E33019892","E01033620","E02006899",2011,1291,707,499,76,7,2
"E33019893","E01033620","E02006899",2011,769,428,278,55,8,0
"E33019894","E01033620","E02006899",2011,676,396,230,45,5,0
"E33019895","E01033620","E02006899",2011,985,490,408,69,15,3
"E33019896","E01033620","E02006899",2011,485,271,184,26,2,2
"E33019897","E01033620","E02006899",2011,198,108,73,15,2,0
"E33019898","E01033620","E02006899",2011,391,223,145,23,0,0
"E33019899","E01033620","E02006899",2011,855,478,312,58,6,1
"E33019900","E01033620","E02006899",2011,988,436,421,106,17,8
"E33019901","E01033620","E02006899",2011,273,147,104,20,2,0
"E33019902","E01033620","E02006899",2011,496,184,245,57,10,0
"E33019903","E01033620","E02006899",2011,1354,570,564,182,30,8
"E33019904","E01033620","E02006899",2011,1824,1108,598,93,20,5
"E33019905","E01033620","E02006899",2011,410,218,164,25,2,1
"E33019906","E01033620","E02006899",2011,313,165,118,27,3,0
"E33019907","E01033620","E02006899",2011,614,265,274,59,14,2
"E33019908","E01033625","E02006899",2011,1352,720,534,81,15,2
"E33019909","E01033625","E02006899",2011,2021,1100,776,121,23,1
"E33019910","E01033625","E02006899",2011,329,172,122,29,5,1
"E33019911","E01033625","E02006899",2011,282,160,103,15,3,1
"E33019912","E01033617","E02001876",2011,603,284,255,56,6,2
"E33019913","E01033625","E02006899",2011,906,447,382,62,13,2
"E33019914","E01033625","E02006899",2011,521,245,220,50,4,2
"E33019915","E01033625","E02006899",2011,268,144,100,17,6,1
"E33019916","E01033625","E02006899",2011,666,352,237,68,8,1
"E33019917","E01033617","E02001876",2011,1687,772,730,155,26,4
"E33019918","E01008899","E02001863",2011,312,153,115,34,8,2
"E33019919","E01033620","E02006899",2011,441,228,183,26,3,1
"E33019920","E01033620","E02006899",2011,1005,498,403,89,13,2
"E33019921","E01033620","E02006899",2011,309,111,159,35,4,0
"E33019922","E01033620","E02006899",2011,865,477,321,56,11,0
"E33019923","E01033620","E02006899",2011,319,176,127,13,3,0
"E33019924","E01033620","E02006899",2011,1357,506,652,170,25,4
"E33019925","E01033620","E02006899",2011,331,158,135,32,6,0
"E33019926","E01033620","E02006899",2011,348,171,137,34,5,1
"E33019927","E01033620","E02006899",2011,620,318,248,49,5,0
"E33019928","E01033620","E02006899",2011,434,230,163,34,7,0
"E33019929","E01033620","E02006899",2011,354,179,147,24,4,0
"E33019930","E01033620","E02006899",2011,368,167,164,33,2,2
"E33019931","E01033620","E02006899",2011,370,154,164,47,4,1
"E33019932","E01033620","E02006899",2011,206,111,77,15,3,0
"E33019933","E01033620","E02006899",2011,333,156,146,27,3,1
"E33019934","E01033620","E02006899",2011,523,295,185,38,5,0
"E33019935","E01033620","E02006899",2011,2606,1477,980,126,18,5
"E33019936","E01033622","E02006899",2011,233,128,82,18,3,2
"E33019937","E01033622","E02006899",2011,306,174,104,24,3,1
"E33019938","E01033622","E02006899",2011,677,356,256,57,8,0
"E33019939","E01033619","E02006898",2011,264,139,105,16,4,0
"E33019940","E01033619","E02006898",2011,420,218,157,43,2,0
"E33019941","E01033619","E02006898",2011,348,159,142,41,4,2
"E33019942","E01033623","E02006899",2011,324,145,141,34,2,2
"E33019943","E01033623","E02006899",2011,615,337,227,45,5,1
"E33019944","E01033623","E02006899",2011,600,278,256,56,5,5
"E33019945","E01033631","E02001905",2011,233,127,85,18,3,0
"E33019946","E01033631","E02001905",2011,576,276,230,63,6,1
"E33019947","E01009143","E02006897",2011,601,287,249,58,5,2
"E33019948","E01009143","E02006897",2011,447,201,186,52,8,0
"E33019949","E01009143","E02006897",2011,1166,653,421,78,9,5
"E33019950","E01033565","E02006898",2011,1072,534,447,81,7,3
"E33019951","E01033620","E02006899",2011,559,325,200,29,4,1
"E33019952","E01033620","E02006899",2011,350,210,117,20,2,1
"E33019953","E01033620","E02006899",2011,359,189,135,28,5,2
"E33019954","E01009342","E02001889",2011,1441,688,563,157,22,11
"E33019955","E01033622","E02006899",2011,443,246,160,32,5,0
"E33019956","E01033623","E02006899",2011,212,114,85,10,3,0
"E33019957","E01009239","E02001859",2011,1563,727,670,146,20,0
"E33019958","E01009239","E02001859",2011,698,319,307,58,11,3
"E33019959","E01009239","E02001859",2011,535,228,233,66,6,2
"E33019960","E01008914","E02001876",2011,248,102,111,34,1,0
"E33019961","E01008914","E02001876",2011,215,90,89,29,5,2
"E33019962","E01008914","E02001876",2011,246,95,120,25,3,3
"E33019963","E01008914","E02001876",2011,227,122,80,20,5,0
"E33019964","E01008914","E02001876",2011,224,91,108,23,1,1
"E33019965","E01008914","E02001876",2011,444,169,195,64,13,3
"E33019966","E01009418","E02001827",2011,284,147,113,22,2,0
"E33019966","E01009433","E02001827",2011,284,147,113,22,2,0
"E33019967","E01009418","E02001827",2011,635,329,253,46,5,2
"E33019967","E01009433","E02001827",2011,635,329,253,46,5,2
"E33019967","E01009419","E02001827",2011,635,329,253,46,5,2
"E33019967","E01009417","E02001827",2011,635,329,253,46,5,2
"E33019968","E01009415","E02001828",2011,258,139,99,17,3,0
"E33019968","E01009423","E02001828",2011,258,139,99,17,3,0
"E33019969","E01009423","E02001828",2011,437,229,175,28,4,1
"E33019969","E01009425","E02001828",2011,437,229,175,28,4,1
"E33019970","E01009425","E02001828",2011,420,228,149,39,4,0
"E33019970","E01009415","E02001828",2011,420,228,149,39,4,0
"E33019970","E01009422","E02001828",2011,420,228,149,39,4,0
"E33019971","E01009425","E02001828",2011,475,282,162,27,4,0
"E33019972","E01009422","E02001828",2011,496,269,189,32,4,2
"E33019972","E01009425","E02001828",2011,496,269,189,32,4,2
"E33019973","E01009420","E02001829",2011,364,190,135,28,10,1
"E33019973","E01009426","E02001829",2011,364,190,135,28,10,1
"E33019973","E01009416","E02001829",2011,364,190,135,28,10,1
"E33019974","E01009416","E02001829",2011,324,174,117,31,2,0
"E33019975","E01009431","E02001829",2011,367,184,151,27,4,1
"E33019975","E01009429","E02001829",2011,367,184,151,27,4,1
"E33019975","E01009426","E02001829",2011,367,184,151,27,4,1
"E33019976","E01009431","E02001829",2011,412,220,162,28,2,0
"E33019976","E01009426","E02001829",2011,412,220,162,28,2,0
"E33019976","E01009429","E02001829",2011,412,220,162,28,2,0
"E33019977","E01009424","E02001830",2011,421,220,168,24,9,0
"E33019977","E01009421","E02001830",2011,421,220,168,24,9,0
"E33019978","E01009424","E02001830",2011,338,180,122,31,5,0
"E33019979","E01009424","E02001830",2011,230,118,94,15,3,0
"E33019979","E01009430","E02001830",2011,230,118,94,15,3,0
"E33019980","E01009427","E02001830",2011,333,169,132,28,3,1
"E33019980","E01009430","E02001830",2011,333,169,132,28,3,1
"E33019981","E01009430","E02001830",2011,281,145,107,25,3,1
"E33019981","E01009427","E02001830",2011,281,145,107,25,3,1
"E33019982","E01009468","E02001830",2011,278,132,118,26,2,0
"E33019983","E01009424","E02001830",2011,349,191,133,20,5,0
"E33019984","E01009424","E02001830",2011,914,493,339,70,9,3
"E33019984","E01009428","E02001830",2011,914,493,339,70,9,3
"E33019985","E01009448","E02001831",2011,321,155,127,27,10,2
"E33019985","E01009445","E02001831",2011,321,155,127,27,10,2
"E33019986","E01009447","E02001831",2011,262,128,111,16,5,2
"E33019986","E01009446","E02001831",2011,262,128,111,16,5,2
"E33019987","E01009447","E02001831",2011,704,330,304,53,15,2
"E33019987","E01009445","E02001831",2011,704,330,304,53,15,2
"E33019987","E01009446","E02001831",2011,704,330,304,53,15,2
"E33019988","E01009452","E02001831",2011,364,157,154,43,9,1
"E33019988","E01009455","E02001831",2011,364,157,154,43,9,1
"E33019989","E01009447","E02001831",2011,534,268,201,49,10,6
"E33019989","E01009452","E02001831",2011,534,268,201,49,10,6
"E33019989","E01009448","E02001831",2011,534,268,201,49,10,6
"E33019990","E01009437","E02001832",2011,213,95,87,30,1,0
"E33019991","E01009444","E02001832",2011,370,179,161,22,7,1
"E33019992","E01009454","E02001832",2011,282,150,106,22,3,1
"E33019992","E01009435","E02001832",2011,282,150,106,22,3,1
"E33019993","E01009432","E02001832",2011,3177,1665,1248,223,37,4
"E33019994","E01009437","E02001832",2011,381,208,133,35,3,2
"E33019995","E01009435","E02001832",2011,327,174,124,26,2,1
"E33019995","E01009437","E02001832",2011,327,174,124,26,2,1
"E33019996","E01009467","E02001833",2011,329,151,133,39,5,1
"E33019996","E01009465","E02001833",2011,329,151,133,39,5,1
"E33019997","E01009221","E02001833",2011,345,147,150,45,2,1
"E33019998","E01009464","E02001833",2011,292,129,138,19,6,0
"E33019998","E01009465","E02001833",2011,292,129,138,19,6,0
"E33019999","E01009221","E02001833",2011,352,161,147,32,10,2
"E33019999","E01009465","E02001833",2011,352,161,147,32,10,2
"E33020000","E01009220","E02001834",2011,576,250,258,55,11,2
"E33020000","E01009233","E02001834",2011,576,250,258,55,11,2
"E33020000","E01009224","E02001834",2011,576,250,258,55,11,2
"E33020000","E01009222","E02001834",2011,576,250,258,55,11,2
