"wz11cd","lsoa11cd","msoa11cd","date","Method of travel to work: All categories: Method of travel to work (2001 specification); measures: Value","Method of travel to work: Work mainly at or from home; measures: Value","Method of travel to work: Underground, metro, light rail or tram; measures: Value","Method of travel to work: Train; measures: Value","Method of travel to work: Bus, minibus or coach; measures: Value","Method of travel to work: Taxi; measures: Value","Method of travel to work: Motorcycle, scooter or moped; measures: Value","Method of travel to work: Driving a car or van; measures: Value","Method of travel to work: Passenger in a car or van; measures: Value","Method of travel to work: Bicycle; measures: Value","Method of travel to work: On foot; measures: Value","Method of travel to work: Other method of travel to work; measures: Value"
"E33019832","E01033615","E02006896",2011,309,0,6,55,64,0,1,129,10,6,37,1
"E33019833","E01033615","E02006896",2011,1386,0,24,290,594,4,2,273,43,7,149,0
"E33019834","E01033615","E02006896",2011,828,0,5,64,194,7,1,422,37,6,91,1
"E33019835","E01033615","E02006896",2011,1266,1,30,510,251,2,9,317,31,26,87,2
"E33019836","E01033615","E02006896",2011,397,0,8,197,40,2,3,115,7,4,18,3
"E33019837","E01033615","E02006896",2011,287,1,6,38,68,2,1,133,14,4,20,0
"E33019838","E01033615","E02006896",2011,319,1,3,31,95,0,0,126,17,5,40,1
"E33019839","E01033615","E02006896",2011,2020,0,26,458,825,5,5,388,60,20,229,4
"E33019840","E01033615","E02006896",2011,261,0,2,25,118,3,2,65,5,2,35,4
"E33019841","E01033615","E02006896",2011,827,0,13,268,198,4,5,252,30,15,40,2
"E33019842","E01033615","E02006896",2011,320,0,3,65,90,1,10,108,8,12,23,0
"E33019843","E01033615","E02006896",2011,335,2,0,23,108,2,0,162,26,0,11,1
"E33019844","E01033557","E02006895",2011,896,12,10,281,192,2,6,258,37,28,69,1
"E33019845","E01033617","E02001876",2011,598,0,16,111,171,1,5,244,22,12,15,1
"E33019846","E01033617","E02001876",2011,349,0,6,113,81,0,1,115,13,6,14,0
"E33019847","E01033617","E02001876",2011,894,0,20,206,236,3,3,346,25,13,42,0
"E33019848","E01033617","E02001876",2011,204,1,1,15,54,0,2,118,7,3,3,0
"E33019849","E01033617","E02001876",2011,1180,0,23,335,180,2,0,477,32,13,114,4
"E33019850","E01033617","E02001876",2011,348,0,10,77,83,3,3,133,11,7,19,2
"E33019851","E01033617","E02001876",2011,1138,0,20,413,273,2,10,317,31,21,46,5
"E33019852","E01033617","E02001876",2011,2900,10,65,598,760,12,14,1141,101,60,138,1
"E33019853","E01033617","E02001876",2011,344,0,3,48,124,0,0,127,22,1,19,0
"E33019854","E01033617","E02001876",2011,2997,0,41,667,290,5,51,1710,52,70,102,9
"E33019855","E01033617","E02001876",2011,364,9,4,84,88,2,0,141,11,6,19,0
"E33019856","E01033619","E02006898",2011,207,6,1,9,28,0,0,130,20,2,9,2
"E33019857","E01033619","E02006898",2011,268,3,8,17,36,4,3,166,16,9,5,1
"E33019858","E01009378","E02006896",2011,226,0,1,7,58,0,0,131,13,8,8,0
"E33019859","E01009378","E02006896",2011,200,3,0,6,42,1,0,116,12,5,9,6
"E33019860","E01009378","E02006896",2011,384,0,2,9,78,1,3,251,19,7,14,0
"E33019861","E01009378","E02006896",2011,516,0,4,99,142,1,1,215,12,27,15,0
"E33019862","E01009378","E02006896",2011,257,1,2,27,28,0,0,176,11,2,9,1
"E33019863","E01009378","E02006896",2011,310,2,0,19,60,0,9,178,23,6,10,3
"E33019864","E01033620","E02006899",2011,426,13,6,126,134,3,5,89,17,5,28,0
"E33019865","E01033561","E02001876",2011,357,3,3,32,78,0,1,198,25,4,12,1
