"wz11cd","lsoa11cd","msoa11cd","date","Method of travel to work: All categories: Method of travel to work (2001 specification); measures: Value","Method of travel to work: Work mainly at or from home; measures: Value","Method of travel to work: Underground, metro, light rail or tram; measures: Value","Method of travel to work: Train; measures: Value","Method of travel to work: Bus, minibus or coach; measures: Value","Method of travel to work: Taxi; measures: Value","Method of travel to work: Motorcycle, scooter or moped; measures: Value","Method of travel to work: Driving a car or van; measures: Value","Method of travel to work: Passenger in a car or van; measures: Value","Method of travel to work: Bicycle; measures: Value","Method of travel to work: On foot; measures: Value","Method of travel to work: Other method of travel to work; measures: Value"
"E33020087","E01009414","E02001856",2011,450,83,1,13,52,8,0,247,11,6,27,2
"E33020087","E01009413","E02001856",2011,450,83,1,13,52,8,0,247,11,6,27,2
"E33020088","E01008999","E02001857",2011,246,48,0,7,35,4,0,105,8,1,36,2
"E33020088","E01009000","E02001857",2011,246,48,0,7,35,4,0,105,8,1,36,2
"E33020089","E01033646","E02001857",2011,307,42,0,6,52,4,2,164,14,1,19,3
"E33020089","E01009000","E02001857",2011,307,42,0,6,52,4,2,164,14,1,19,3
"E33020090","E01033646","E02001857",2011,403,24,1,14,46,2,3,242,19,5,46,1
"E33020091","E01008998","E02001857",2011,395,42,0,9,42,3,3,223,14,3,52,4
"E33020092","E01009000","E02001857",2011,320,67,0,8,62,4,1,142,12,1,19,4
"E33020092","E01008999","E02001857",2011,320,67,0,8,62,4,1,142,12,1,19,4
"E33020092","E01009400","E02001857",2011,320,67,0,8,62,4,1,142,12,1,19,4
"E33020093","E01009013","E02001857",2011,290,30,0,3,53,1,1,148,20,2,32,0
"E33020094","E01033630","E02001857",2011,369,26,3,15,44,0,0,256,8,1,16,0
"E33020095","E01009013","E02001857",2011,570,28,0,10,115,4,5,313,41,3,50,1
"E33020096","E01009401","E02001857",2011,501,43,4,5,62,3,0,317,36,9,20,2
"E33020097","E01009056","E02001858",2011,273,75,0,2,41,1,0,132,10,1,8,3
"E33020098","E01009263","E02001858",2011,307,58,1,4,43,9,2,152,13,0,25,0
"E33020098","E01009049","E02001858",2011,307,58,1,4,43,9,2,152,13,0,25,0
"E33020099","E01009264","E02001858",2011,402,97,0,6,70,1,1,169,13,7,30,8
"E33020099","E01009265","E02001858",2011,402,97,0,6,70,1,1,169,13,7,30,8
"E33020100","E01009263","E02001858",2011,352,60,0,5,72,8,1,163,7,4,31,1
"E33020100","E01009265","E02001858",2011,352,60,0,5,72,8,1,163,7,4,31,1
"E33020101","E01009058","E02001859",2011,326,54,2,4,48,3,0,140,15,2,56,2
"E33020101","E01009054","E02001859",2011,326,54,2,4,48,3,0,140,15,2,56,2
"E33020101","E01009061","E02001859",2011,326,54,2,4,48,3,0,140,15,2,56,2
"E33020102","E01009054","E02001859",2011,499,43,2,11,75,3,2,282,22,5,53,1
"E33020102","E01009058","E02001859",2011,499,43,2,11,75,3,2,282,22,5,53,1
"E33020102","E01009051","E02001859",2011,499,43,2,11,75,3,2,282,22,5,53,1
"E33020103","E01009058","E02001859",2011,486,53,0,9,103,2,0,226,15,7,67,4
"E33020103","E01009053","E02001859",2011,486,53,0,9,103,2,0,226,15,7,67,4
"E33020104","E01009239","E02001859",2011,412,19,1,18,52,2,1,277,15,9,18,0
"E33020105","E01009051","E02001859",2011,393,22,0,6,74,3,1,219,30,2,31,5
"E33020105","E01009054","E02001859",2011,393,22,0,6,74,3,1,219,30,2,31,5
"E33020106","E01009273","E02001860",2011,331,80,0,2,63,2,0,129,21,0,28,6
"E33020106","E01009271","E02001860",2011,331,80,0,2,63,2,0,129,21,0,28,6
"E33020106","E01009269","E02001860",2011,331,80,0,2,63,2,0,129,21,0,28,6
"E33020106","E01009270","E02001860",2011,331,80,0,2,63,2,0,129,21,0,28,6
"E33020107","E01009266","E02001860",2011,418,75,1,5,77,3,0,180,18,1,56,2
"E33020107","E01009269","E02001860",2011,418,75,1,5,77,3,0,180,18,1,56,2
"E33020107","E01009271","E02001860",2011,418,75,1,5,77,3,0,180,18,1,56,2
"E33020108","E01009270","E02001860",2011,373,64,0,2,43,5,0,165,27,1,64,2
"E33020108","E01009266","E02001860",2011,373,64,0,2,43,5,0,165,27,1,64,2
"E33020109","E01009057","E02001861",2011,292,50,0,1,36,6,0,136,14,1,47,1
"E33020109","E01009059","E02001861",2011,292,50,0,1,36,6,0,136,14,1,47,1
"E33020110","E01033621","E02001861",2011,262,35,0,4,45,1,3,122,9,4,35,4
"E33020111","E01033621","E02001861",2011,258,37,2,21,34,2,0,126,8,4,22,2
"E33020112","E01009059","E02001861",2011,293,59,0,2,51,1,0,120,12,0,46,2
"E33020112","E01009060","E02001861",2011,293,59,0,2,51,1,0,120,12,0,46,2
"E33020113","E01009050","E02001861",2011,477,56,4,10,123,7,3,180,16,5,66,7
"E33020113","E01009057","E02001861",2011,477,56,4,10,123,7,3,180,16,5,66,7
"E33020114","E01009349","E02001862",2011,412,20,5,16,43,1,4,238,42,2,40,1
"E33020114","E01009351","E02001862",2011,412,20,5,16,43,1,4,238,42,2,40,1
"E33020115","E01009349","E02001862",2011,337,52,5,6,80,1,0,124,20,1,45,3
"E33020115","E01009351","E02001862",2011,337,52,5,6,80,1,0,124,20,1,45,3
"E33020115","E01009274","E02001862",2011,337,52,5,6,80,1,0,124,20,1,45,3
"E33020116","E01009274","E02001862",2011,297,46,0,5,42,6,3,138,15,5,35,2
"E33020117","E01009272","E02001862",2011,279,61,1,2,39,1,0,147,13,1,11,3
"E33020117","E01009268","E02001862",2011,279,61,1,2,39,1,0,147,13,1,11,3
"E33020118","E01009351","E02001862",2011,428,35,11,6,62,3,2,251,15,6,37,0
"E33020118","E01009354","E02001862",2011,428,35,11,6,62,3,2,251,15,6,37,0
"E33020119","E01009272","E02001862",2011,300,32,3,6,37,2,4,182,21,5,7,1
"E33020119","E01009274","E02001862",2011,300,32,3,6,37,2,4,182,21,5,7,1
"E33020120","E01008916","E02001863",2011,224,22,0,2,28,5,1,129,12,1,23,1
"E33020121","E01008901","E02001863",2011,220,12,1,2,31,2,1,150,6,2,13,0
"E33020122","E01033636","E02001863",2011,306,44,0,1,37,5,0,161,9,1,46,2
"E33020123","E01008899","E02001863",2011,427,19,1,50,36,1,10,266,11,8,22,3
"E33020123","E01008916","E02001863",2011,427,19,1,50,36,1,10,266,11,8,22,3
"E33020124","E01008901","E02001863",2011,312,52,0,3,36,7,0,140,16,9,46,3
"E33020124","E01033636","E02001863",2011,312,52,0,3,36,7,0,140,16,9,46,3
"E33020125","E01009081","E02001864",2011,613,96,1,11,70,0,1,340,21,4,62,7
"E33020125","E01009083","E02001864",2011,613,96,1,11,70,0,1,340,21,4,62,7
"E33020125","E01009080","E02001864",2011,613,96,1,11,70,0,1,340,21,4,62,7
"E33020125","E01009079","E02001864",2011,613,96,1,11,70,0,1,340,21,4,62,7
"E33020126","E01033635","E02001865",2011,396,58,7,6,59,1,0,180,26,2,55,2
"E33020127","E01009350","E02001865",2011,279,42,0,3,31,3,0,120,24,3,51,2
"E33020127","E01009275","E02001865",2011,279,42,0,3,31,3,0,120,24,3,51,2
"E33020128","E01009352","E02001865",2011,373,41,2,2,66,5,1,184,20,2,46,4
"E33020128","E01009353","E02001865",2011,373,41,2,2,66,5,1,184,20,2,46,4
"E33020129","E01009355","E02001865",2011,360,34,3,6,61,5,3,196,11,3,36,2
"E33020129","E01009352","E02001865",2011,360,34,3,6,61,5,3,196,11,3,36,2
"E33020130","E01009275","E02001865",2011,461,37,2,5,80,3,1,273,12,7,36,5
"E33020131","E01009355","E02001865",2011,596,18,7,2,84,0,2,386,36,6,54,1
"E33020132","E01008907","E02001866",2011,337,40,1,7,64,3,5,167,11,1,35,3
"E33020132","E01009048","E02001866",2011,337,40,1,7,64,3,5,167,11,1,35,3
"E33020133","E01008905","E02001866",2011,391,32,1,10,46,7,0,201,34,3,55,2
"E33020133","E01008907","E02001866",2011,391,32,1,10,46,7,0,201,34,3,55,2
"E33020134","E01009047","E02001866",2011,259,66,0,4,25,3,1,116,9,4,31,0
"E33020134","E01009048","E02001866",2011,259,66,0,4,25,3,1,116,9,4,31,0
"E33020135","E01009048","E02001866",2011,458,23,0,7,69,2,0,258,22,11,65,1
"E33020135","E01009047","E02001866",2011,458,23,0,7,69,2,0,258,22,11,65,1
"E33020136","E01009047","E02001866",2011,326,45,2,4,47,6,1,151,16,2,51,1
"E33020136","E01009062","E02001866",2011,326,45,2,4,47,6,1,151,16,2,51,1
"E33020137","E01008909","E02001867",2011,282,23,0,11,52,1,2,139,16,3,34,1
"E33020138","E01033637","E02001867",2011,338,43,1,11,82,4,2,154,16,3,19,3
"E33020139","E01033628","E02001867",2011,399,27,0,6,56,3,1,213,16,0,75,2
"E33020139","E01033637","E02001867",2011,399,27,0,6,56,3,1,213,16,0,75,2
"E33020140","E01033628","E02001867",2011,230,13,2,3,39,6,0,131,5,1,27,3
"E33020141","E01008909","E02001867",2011,505,25,2,11,65,8,0,323,24,6,41,0
"E33020141","E01033628","E02001867",2011,505,25,2,11,65,8,0,323,24,6,41,0
"E33020141","E01033637","E02001867",2011,505,25,2,11,65,8,0,323,24,6,41,0
"E33020142","E01009087","E02001868",2011,252,40,0,2,26,1,0,123,13,1,46,0
"E33020142","E01009089","E02001868",2011,252,40,0,2,26,1,0,123,13,1,46,0
"E33020143","E01009090","E02001868",2011,316,59,0,6,28,5,0,146,20,5,42,5
"E33020143","E01009089","E02001868",2011,316,59,0,6,28,5,0,146,20,5,42,5
"E33020144","E01009090","E02001868",2011,510,41,0,5,108,7,2,277,23,2,42,3
"E33020144","E01009085","E02001868",2011,510,41,0,5,108,7,2,277,23,2,42,3
"E33020145","E01009090","E02001868",2011,400,94,0,3,46,15,0,181,19,0,40,2
"E33020145","E01009084","E02001868",2011,400,94,0,3,46,15,0,181,19,0,40,2
"E33020145","E01009085","E02001868",2011,400,94,0,3,46,15,0,181,19,0,40,2
"E33020146","E01009203","E02001869",2011,333,39,1,7,58,1,0,172,13,2,34,6
"E33020146","E01009201","E02001869",2011,333,39,1,7,58,1,0,172,13,2,34,6
"E33020147","E01009201","E02001869",2011,335,37,0,17,49,4,1,194,11,4,16,2
"E33020147","E01009202","E02001869",2011,335,37,0,17,49,4,1,194,11,4,16,2
"E33020148","E01009481","E02001870",2011,278,44,0,2,34,3,0,145,11,10,27,2
"E33020148","E01009487","E02001870",2011,278,44,0,2,34,3,0,145,11,10,27,2
"E33020149","E01009487","E02001870",2011,339,54,0,6,58,2,0,163,11,4,36,5
"E33020149","E01009486","E02001870",2011,339,54,0,6,58,2,0,163,11,4,36,5
"E33020150","E01009082","E02001870",2011,666,42,0,9,61,4,7,457,45,4,33,4
"E33020150","E01009086","E02001870",2011,666,42,0,9,61,4,7,457,45,4,33,4
"E33020151","E01009086","E02001870",2011,332,48,0,6,36,4,3,201,14,5,15,0
"E33020152","E01009481","E02001870",2011,232,13,3,0,53,1,0,110,19,3,29,1
"E33020153","E01009486","E02001870",2011,533,73,0,2,55,5,0,287,24,2,83,2
"E33020153","E01009480","E02001870",2011,533,73,0,2,55,5,0,287,24,2,83,2
"E33020154","E01009091","E02001871",2011,358,85,0,2,36,1,0,174,23,1,30,6
"E33020154","E01009088","E02001871",2011,358,85,0,2,36,1,0,174,23,1,30,6
"E33020154","E01009305","E02001871",2011,358,85,0,2,36,1,0,174,23,1,30,6
"E33020154","E01009307","E02001871",2011,358,85,0,2,36,1,0,174,23,1,30,6
"E33020155","E01009091","E02001871",2011,429,73,0,5,52,6,0,223,21,6,41,2
"E33020155","E01009305","E02001871",2011,429,73,0,5,52,6,0,223,21,6,41,2
"E33020155","E01009307","E02001871",2011,429,73,0,5,52,6,0,223,21,6,41,2
"E33020155","E01009309","E02001871",2011,429,73,0,5,52,6,0,223,21,6,41,2
"E33020156","E01009310","E02001872",2011,327,65,0,2,29,2,1,165,18,0,43,2
"E33020156","E01009308","E02001872",2011,327,65,0,2,29,2,1,165,18,0,43,2
"E33020156","E01009306","E02001872",2011,327,65,0,2,29,2,1,165,18,0,43,2
"E33020157","E01009306","E02001872",2011,352,43,0,3,31,2,0,198,13,5,54,3
"E33020157","E01009310","E02001872",2011,352,43,0,3,31,2,0,198,13,5,54,3
"E33020157","E01009304","E02001872",2011,352,43,0,3,31,2,0,198,13,5,54,3
"E33020158","E01009304","E02001872",2011,459,33,0,4,67,2,2,201,29,2,119,0
"E33020158","E01009310","E02001872",2011,459,33,0,4,67,2,2,201,29,2,119,0
"E33020159","E01009358","E02001873",2011,494,20,2,9,78,7,0,307,32,4,35,0
"E33020159","E01009359","E02001873",2011,494,20,2,9,78,7,0,307,32,4,35,0
"E33020160","E01009359","E02001873",2011,600,53,14,9,103,2,0,320,23,4,70,2
"E33020161","E01009348","E02001873",2011,687,42,4,10,116,6,4,419,28,9,41,8
"E33020161","E01009360","E02001873",2011,687,42,4,10,116,6,4,419,28,9,41,8
"E33020162","E01009361","E02001873",2011,473,82,6,5,79,1,1,223,19,5,51,1
"E33020162","E01009360","E02001873",2011,473,82,6,5,79,1,1,223,19,5,51,1
"E33020163","E01009358","E02001873",2011,417,35,1,10,84,1,3,213,20,6,43,1
"E33020164","E01009348","E02001873",2011,4642,38,26,89,778,19,19,3171,212,51,230,9
"E33020165","E01009484","E02001874",2011,519,48,1,9,62,12,1,276,26,3,78,3
"E33020165","E01009485","E02001874",2011,519,48,1,9,62,12,1,276,26,3,78,3
"E33020166","E01009482","E02001874",2011,475,45,1,6,54,4,7,299,32,9,14,4
"E33020166","E01009479","E02001874",2011,475,45,1,6,54,4,7,299,32,9,14,4
"E33020167","E01009478","E02001874",2011,541,44,0,4,72,6,3,314,33,8,56,1
"E33020167","E01009479","E02001874",2011,541,44,0,4,72,6,3,314,33,8,56,1
"E33020167","E01009484","E02001874",2011,541,44,0,4,72,6,3,314,33,8,56,1
"E33020168","E01009347","E02001875",2011,239,23,1,7,40,1,3,134,14,3,11,2
"E33020169","E01033559","E02001875",2011,307,46,7,25,35,0,2,155,18,1,18,0
"E33020170","E01009347","E02001875",2011,493,21,5,11,123,0,2,258,16,6,49,2
"E33020171","E01033638","E02001875",2011,416,48,1,6,79,3,0,226,20,4,25,4
"E33020171","E01008906","E02001875",2011,416,48,1,6,79,3,0,226,20,4,25,4
"E33020172","E01033638","E02001875",2011,664,50,10,21,97,2,1,423,20,6,29,5
"E33020172","E01033559","E02001875",2011,664,50,10,21,97,2,1,423,20,6,29,5
"E33020172","E01008911","E02001875",2011,664,50,10,21,97,2,1,423,20,6,29,5
"E33020173","E01008913","E02001876",2011,225,18,1,3,46,1,0,123,7,4,21,1
"E33020174","E01008913","E02001876",2011,399,11,3,6,54,2,5,271,28,4,14,1
"E33020175","E01008914","E02001876",2011,466,10,1,12,71,2,1,327,19,6,16,1
"E33020176","E01008910","E02001876",2011,1790,34,7,130,222,5,33,1230,42,29,56,2
"E33020177","E01033617","E02001876",2011,759,11,22,268,198,2,5,197,26,2,27,1
"E33020177","E01008914","E02001876",2011,759,11,22,268,198,2,5,197,26,2,27,1
"E33020178","E01008914","E02001876",2011,313,16,1,4,57,1,1,187,19,4,22,1
"E33020179","E01033561","E02001876",2011,1008,15,3,56,94,3,12,749,20,17,38,1
"E33020180","E01008914","E02001876",2011,1101,19,51,207,285,4,3,468,31,10,14,9
"E33020181","E01009194","E02001877",2011,393,23,0,7,58,6,0,211,32,0,53,3
"E33020182","E01009489","E02001877",2011,498,33,2,3,118,4,1,257,22,2,52,4
"E33020183","E01009194","E02001877",2011,277,42,1,4,25,5,0,143,10,1,45,1
"E33020183","E01009491","E02001877",2011,277,42,1,4,25,5,0,143,10,1,45,1
"E33020184","E01009483","E02001877",2011,282,24,0,1,42,3,1,140,18,0,50,3
"E33020184","E01009489","E02001877",2011,282,24,0,1,42,3,1,140,18,0,50,3
"E33020185","E01009488","E02001877",2011,307,32,0,3,25,4,0,196,16,2,29,0
"E33020185","E01009491","E02001877",2011,307,32,0,3,25,4,0,196,16,2,29,0
"E33020186","E01009199","E02001878",2011,643,31,0,12,69,5,9,445,19,10,31,12
"E33020187","E01009192","E02001878",2011,318,21,0,3,26,0,2,215,41,1,8,1
"E33020188","E01033644","E02001878",2011,466,36,0,5,82,0,0,238,31,2,66,6
"E33020189","E01009192","E02001878",2011,268,36,1,2,36,3,0,144,12,0,29,5
"E33020189","E01033644","E02001878",2011,268,36,1,2,36,3,0,144,12,0,29,5
"E33020190","E01009204","E02001878",2011,474,36,1,21,64,4,2,265,31,4,45,1
"E33020191","E01009346","E02001879",2011,432,45,5,5,114,13,2,159,14,4,69,2
"E33020191","E01009345","E02001879",2011,432,45,5,5,114,13,2,159,14,4,69,2
"E33020192","E01009345","E02001879",2011,579,19,5,6,104,2,1,373,19,8,40,2
"E33020193","E01009153","E02001879",2011,380,25,6,3,70,3,1,214,15,10,30,3
"E33020194","E01009152","E02001879",2011,421,62,0,11,76,6,1,178,21,7,59,0
"E33020194","E01009153","E02001879",2011,421,62,0,11,76,6,1,178,21,7,59,0
"E33020195","E01009152","E02001879",2011,360,71,0,6,40,25,2,174,17,0,19,6
"E33020195","E01009151","E02001879",2011,360,71,0,6,40,25,2,174,17,0,19,6
"E33020196","E01009311","E02001880",2011,293,72,0,3,21,0,1,165,10,3,18,0
"E33020196","E01009298","E02001880",2011,293,72,0,3,21,0,1,165,10,3,18,0
"E33020196","E01009094","E02001880",2011,293,72,0,3,21,0,1,165,10,3,18,0
"E33020196","E01009093","E02001880",2011,293,72,0,3,21,0,1,165,10,3,18,0
"E33020197","E01009092","E02001880",2011,336,55,0,1,42,1,0,161,11,1,63,1
"E33020197","E01009094","E02001880",2011,336,55,0,1,42,1,0,161,11,1,63,1
"E33020197","E01009093","E02001880",2011,336,55,0,1,42,1,0,161,11,1,63,1
"E33020198","E01009511","E02001880",2011,527,56,0,10,55,5,3,293,28,2,74,1
"E33020198","E01009298","E02001880",2011,527,56,0,10,55,5,3,293,28,2,74,1
"E33020199","E01009477","E02001881",2011,318,61,0,2,31,9,0,149,12,1,49,4
"E33020199","E01009492","E02001881",2011,318,61,0,2,31,9,0,149,12,1,49,4
"E33020199","E01009475","E02001881",2011,318,61,0,2,31,9,0,149,12,1,49,4
"E33020200","E01009476","E02001881",2011,546,11,0,5,74,3,4,369,19,9,48,4
"E33020201","E01009490","E02001881",2011,415,46,3,4,46,3,1,260,19,4,26,3
"E33020202","E01009476","E02001881",2011,400,72,0,3,58,8,2,187,27,2,30,11
"E33020202","E01009475","E02001881",2011,400,72,0,3,58,8,2,187,27,2,30,11
"E33020202","E01009477","E02001881",2011,400,72,0,3,58,8,2,187,27,2,30,11
"E33020203","E01009095","E02001882",2011,566,46,0,5,109,0,7,294,24,8,66,7
"E33020204","E01009508","E02001882",2011,620,58,0,12,52,5,9,430,10,15,25,4
"E33020204","E01009510","E02001882",2011,620,58,0,12,52,5,9,430,10,15,25,4
"E33020204","E01009509","E02001882",2011,620,58,0,12,52,5,9,430,10,15,25,4
"E33020205","E01009507","E02001882",2011,385,57,2,11,69,10,1,159,15,1,59,1
"E33020205","E01009509","E02001882",2011,385,57,2,11,69,10,1,159,15,1,59,1
"E33020206","E01009507","E02001882",2011,607,14,2,13,72,9,2,416,35,6,36,2
"E33020206","E01009095","E02001882",2011,607,14,2,13,72,9,2,416,35,6,36,2
"E33020207","E01009510","E02001882",2011,284,38,0,2,36,0,2,158,14,0,34,0
"E33020207","E01009509","E02001882",2011,284,38,0,2,36,0,2,158,14,0,34,0
"E33020208","E01009300","E02001883",2011,487,12,1,9,55,4,0,311,38,20,35,2
"E33020209","E01009301","E02001883",2011,336,46,0,3,47,4,1,189,18,2,25,1
"E33020209","E01009300","E02001883",2011,336,46,0,3,47,4,1,189,18,2,25,1
"E33020209","E01009297","E02001883",2011,336,46,0,3,47,4,1,189,18,2,25,1
"E33020209","E01009303","E02001883",2011,336,46,0,3,47,4,1,189,18,2,25,1
"E33020210","E01009297","E02001883",2011,340,38,1,9,46,5,1,179,21,8,30,2
"E33020210","E01009300","E02001883",2011,340,38,1,9,46,5,1,179,21,8,30,2
"E33020211","E01009299","E02001883",2011,322,36,1,6,45,2,0,176,15,5,34,2
"E33020211","E01009303","E02001883",2011,322,36,1,6,45,2,0,176,15,5,34,2
"E33020212","E01009301","E02001883",2011,362,23,1,5,38,2,1,247,8,5,29,3
"E33020212","E01009303","E02001883",2011,362,23,1,5,38,2,1,247,8,5,29,3
"E33020213","E01009195","E02001884",2011,678,75,0,4,102,13,0,375,43,9,51,6
"E33020213","E01009197","E02001884",2011,678,75,0,4,102,13,0,375,43,9,51,6
"E33020214","E01009198","E02001884",2011,262,23,0,1,18,4,0,174,27,0,12,3
"E33020215","E01033649","E02001884",2011,844,69,0,14,123,11,3,527,48,11,31,7
"E33020215","E01033647","E02001884",2011,844,69,0,14,123,11,3,527,48,11,31,7
"E33020216","E01009140","E02001886",2011,293,97,1,4,30,5,0,127,10,1,16,2
"E33020216","E01009145","E02001886",2011,293,97,1,4,30,5,0,127,10,1,16,2
"E33020217","E01009147","E02001886",2011,332,87,0,10,87,2,1,126,7,0,12,0
"E33020217","E01009139","E02001886",2011,332,87,0,10,87,2,1,126,7,0,12,0
"E33020217","E01009138","E02001886",2011,332,87,0,10,87,2,1,126,7,0,12,0
"E33020218","E01009145","E02001886",2011,245,34,0,3,39,1,0,138,11,0,19,0
"E33020218","E01009147","E02001886",2011,245,34,0,3,39,1,0,138,11,0,19,0
"E33020219","E01009147","E02001886",2011,350,24,0,8,57,3,0,192,18,2,44,2
"E33020219","E01009138","E02001886",2011,350,24,0,8,57,3,0,192,18,2,44,2
"E33020220","E01009138","E02001886",2011,465,49,1,10,88,3,1,240,18,1,52,2
"E33020220","E01009139","E02001886",2011,465,49,1,10,88,3,1,240,18,1,52,2
"E33020221","E01009140","E02001886",2011,239,46,0,2,48,1,1,111,14,3,10,3
"E33020222","E01009140","E02001886",2011,499,32,1,11,61,3,6,328,28,3,25,1
"E33020223","E01009517","E02001888",2011,336,31,3,9,33,1,2,199,12,7,36,3
"E33020223","E01009512","E02001888",2011,336,31,3,9,33,1,2,199,12,7,36,3
"E33020224","E01009517","E02001888",2011,431,42,0,4,32,2,1,292,12,8,35,3
"E33020224","E01009516","E02001888",2011,431,42,0,4,32,2,1,292,12,8,35,3
"E33020224","E01009514","E02001888",2011,431,42,0,4,32,2,1,292,12,8,35,3
"E33020225","E01009516","E02001888",2011,411,44,0,5,56,8,0,201,29,4,64,0
"E33020225","E01009514","E02001888",2011,411,44,0,5,56,8,0,201,29,4,64,0
"E33020226","E01033642","E02001889",2011,754,100,0,4,109,12,2,417,41,3,60,6
"E33020226","E01009325","E02001889",2011,754,100,0,4,109,12,2,417,41,3,60,6
"E33020226","E01009343","E02001889",2011,754,100,0,4,109,12,2,417,41,3,60,6
"E33020226","E01009342","E02001889",2011,754,100,0,4,109,12,2,417,41,3,60,6
"E33020227","E01009343","E02001889",2011,355,53,0,3,64,9,0,163,9,2,50,2
"E33020227","E01009342","E02001889",2011,355,53,0,3,64,9,0,163,9,2,50,2
"E33020228","E01008990","E02001890",2011,1037,67,2,72,124,3,0,674,44,6,44,1
"E33020228","E01008991","E02001890",2011,1037,67,2,72,124,3,0,674,44,6,44,1
"E33020228","E01008988","E02001890",2011,1037,67,2,72,124,3,0,674,44,6,44,1
"E33020229","E01008989","E02001890",2011,405,80,0,8,86,3,2,173,14,5,34,0
"E33020229","E01008991","E02001890",2011,405,80,0,8,86,3,2,173,14,5,34,0
"E33020230","E01008990","E02001890",2011,1281,25,3,86,193,4,4,804,52,29,78,3
"E33020231","E01008987","E02001890",2011,411,44,0,10,102,2,4,205,15,7,21,1
"E33020231","E01008988","E02001890",2011,411,44,0,10,102,2,4,205,15,7,21,1
"E33020232","E01008988","E02001890",2011,411,70,1,9,65,4,2,209,14,2,33,2
"E33020232","E01008986","E02001890",2011,411,70,1,9,65,4,2,209,14,2,33,2
"E33020233","E01008987","E02001890",2011,252,35,0,5,22,0,0,156,11,2,17,4
"E33020234","E01008989","E02001890",2011,335,90,0,18,75,1,3,108,9,5,19,7
"E33020234","E01008986","E02001890",2011,335,90,0,18,75,1,3,108,9,5,19,7
"E33020235","E01009326","E02001892",2011,578,52,2,9,66,1,2,345,21,5,73,2
"E33020235","E01008898","E02001892",2011,578,52,2,9,66,1,2,345,21,5,73,2
"E33020236","E01009513","E02001892",2011,294,31,1,1,32,3,1,169,13,2,41,0
"E33020237","E01008896","E02001892",2011,323,78,1,3,45,0,2,161,15,1,14,3
"E33020237","E01009513","E02001892",2011,323,78,1,3,45,0,2,161,15,1,14,3
"E33020237","E01009341","E02001892",2011,323,78,1,3,45,0,2,161,15,1,14,3
"E33020238","E01008882","E02001892",2011,379,53,0,3,51,4,0,244,10,1,10,3
"E33020238","E01008898","E02001892",2011,379,53,0,3,51,4,0,244,10,1,10,3
"E33020239","E01009515","E02001893",2011,253,59,0,4,32,4,0,120,9,4,18,3
"E33020239","E01009518","E02001893",2011,253,59,0,4,32,4,0,120,9,4,18,3
"E33020240","E01008881","E02001893",2011,399,74,0,3,60,1,2,192,18,2,46,1
"E33020240","E01008897","E02001893",2011,399,74,0,3,60,1,2,192,18,2,46,1
"E33020241","E01008881","E02001893",2011,315,16,0,1,41,1,0,181,14,3,56,2
"E33020242","E01009521","E02001893",2011,535,101,0,7,59,4,1,292,29,1,39,2
"E33020242","E01009518","E02001893",2011,535,101,0,7,59,4,1,292,29,1,39,2
"E33020243","E01009323","E02001895",2011,352,64,0,1,42,2,0,198,24,1,19,1
"E33020243","E01009322","E02001895",2011,352,64,0,1,42,2,0,198,24,1,19,1
"E33020243","E01009321","E02001895",2011,352,64,0,1,42,2,0,198,24,1,19,1
"E33020244","E01009302","E02001895",2011,378,42,0,4,69,3,0,208,18,3,31,0
"E33020245","E01009314","E02001895",2011,556,59,0,6,87,14,0,292,34,3,61,0
"E33020245","E01009323","E02001895",2011,556,59,0,6,87,14,0,292,34,3,61,0
"E33020245","E01009322","E02001895",2011,556,59,0,6,87,14,0,292,34,3,61,0
"E33020246","E01009338","E02001896",2011,416,54,0,7,53,7,0,213,18,7,54,3
"E33020246","E01009337","E02001896",2011,416,54,0,7,53,7,0,213,18,7,54,3
"E33020247","E01009380","E02001896",2011,330,27,3,5,87,4,0,139,7,1,56,1
"E33020248","E01009334","E02001896",2011,466,87,0,3,44,13,0,229,24,1,62,3
"E33020248","E01009337","E02001896",2011,466,87,0,3,44,13,0,229,24,1,62,3
"E33020248","E01009329","E02001896",2011,466,87,0,3,44,13,0,229,24,1,62,3
"E33020249","E01009362","E02001897",2011,376,19,3,6,49,3,0,243,18,4,31,0
"E33020250","E01009365","E02001897",2011,638,18,3,11,95,2,8,412,46,15,28,0
"E33020250","E01009364","E02001897",2011,638,18,3,11,95,2,8,412,46,15,28,0
"E33020251","E01009365","E02001897",2011,475,18,6,9,91,1,2,288,17,3,38,2
"E33020252","E01009363","E02001897",2011,472,15,4,12,69,3,3,308,23,2,30,3
"E33020253","E01009379","E02001897",2011,220,16,0,1,27,1,0,122,12,1,35,5
"E33020254","E01009363","E02001897",2011,227,25,2,6,48,4,0,105,9,2,23,3
"E33020254","E01009379","E02001897",2011,227,25,2,6,48,4,0,105,9,2,23,3
"E33020255","E01009362","E02001897",2011,500,22,2,16,95,0,2,288,19,8,42,6
"E33020255","E01009364","E02001897",2011,500,22,2,16,95,0,2,288,19,8,42,6
"E33020256","E01009312","E02001898",2011,333,80,1,3,18,2,0,169,23,2,33,2
"E33020256","E01009324","E02001898",2011,333,80,1,3,18,2,0,169,23,2,33,2
"E33020257","E01009312","E02001898",2011,386,142,1,6,21,3,1,174,15,0,19,4
"E33020257","E01009520","E02001898",2011,386,142,1,6,21,3,1,174,15,0,19,4
