"wz11cd","lsoa11cd","msoa11cd","date","Tenure: All categories: Tenure; measures: Value","Tenure: Owned: Total; measures: Value","Tenure: Owned: Owned outright; measures: Value","Tenure: Owned: Owned with a mortgage or loan; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Social rented: Total; measures: Value","Tenure: Social rented: Rented from council (Local Authority); measures: Value","Tenure: Social rented: Other social rented; measures: Value","Tenure: Private rented: Total; measures: Value","Tenure: Private rented: Private landlord or letting agency; measures: Value","Tenure: Private rented: Employer of a household member; measures: Value","Tenure: Private rented: Relative or friend of household member; measures: Value","Tenure: Private rented: Other; measures: Value","Tenure: Living rent free; measures: Value","Tenure: Owned: Total; measures: Value:value%","Tenure: Owned: Owned outright; measures: Value:value%","Tenure: Owned: Owned with a mortgage or loan; measures: Value:value%","Tenure: Shared ownership (part owned and part rented); measures: Value:value%","Tenure: Social rented: Total; measures: Value:value%","Tenure: Social rented: Rented from council (Local Authority); measures: Value:value%","Tenure: Social rented: Other social rented; measures: Value:value%","Tenure: Private rented: Total; measures: Value:value%","Tenure: Private rented: Private landlord or letting agency; measures: Value:value%","Tenure: Private rented: Employer of a household member; measures: Value:value%","Tenure: Private rented: Relative or friend of household member; measures: Value:value%","Tenure: Private rented: Other; measures: Value:value%","Tenure: Living rent free; measures: Value:value%"
"E33020386","E01009179","E02001930",2011,572,441,126,315,1,57,43,14,72,68,3,1,0,1,77.0979020979021,22.027972027972,55.0699300699301,0.174825174825175,9.96503496503496,7.51748251748252,2.44755244755245,12.5874125874126,11.8881118881119,0.524475524475524,0.174825174825175,0,0.174825174825175
"E33020387","E01009189","E02001930",2011,300,227,76,151,2,15,10,5,49,42,0,7,0,7,75.6666666666667,25.3333333333333,50.3333333333333,0.666666666666667,5,3.33333333333333,1.66666666666667,16.3333333333333,14,0,2.33333333333333,0,2.33333333333333
"E33020387","E01009175","E02001930",2011,300,227,76,151,2,15,10,5,49,42,0,7,0,7,75.6666666666667,25.3333333333333,50.3333333333333,0.666666666666667,5,3.33333333333333,1.66666666666667,16.3333333333333,14,0,2.33333333333333,0,2.33333333333333
"E33020388","E01009178","E02001930",2011,481,313,122,191,5,46,26,20,105,94,0,8,3,12,65.0727650727651,25.3638253638254,39.7089397089397,1.03950103950104,9.56340956340956,5.4054054054054,4.15800415800416,21.8295218295218,19.5426195426195,0,1.66320166320166,0.623700623700624,2.4948024948025
"E33020388","E01009177","E02001930",2011,481,313,122,191,5,46,26,20,105,94,0,8,3,12,65.0727650727651,25.3638253638254,39.7089397089397,1.03950103950104,9.56340956340956,5.4054054054054,4.15800415800416,21.8295218295218,19.5426195426195,0,1.66320166320166,0.623700623700624,2.4948024948025
"E33020389","E01009175","E02001930",2011,800,546,122,424,13,110,82,28,123,118,0,5,0,8,68.25,15.25,53,1.625,13.75,10.25,3.5,15.375,14.75,0,0.625,0,1
"E33020390","E01009176","E02001931",2011,261,205,83,122,1,22,18,4,28,24,0,4,0,5,78.544061302682,31.8007662835249,46.7432950191571,0.383141762452107,8.42911877394636,6.89655172413793,1.53256704980843,10.727969348659,9.19540229885057,0,1.53256704980843,0,1.91570881226054
"E33020391","E01009031","E02001931",2011,407,338,125,213,0,19,12,7,49,46,0,3,0,1,83.046683046683,30.7125307125307,52.3341523341523,0,4.66830466830467,2.94840294840295,1.71990171990172,12.039312039312,11.3022113022113,0,0.737100737100737,0,0.245700245700246
"E33020392","E01009037","E02001931",2011,266,195,72,123,0,33,17,16,37,30,0,4,3,1,73.3082706766917,27.0676691729323,46.2406015037594,0,12.406015037594,6.39097744360902,6.01503759398496,13.9097744360902,11.2781954887218,0,1.50375939849624,1.12781954887218,0.37593984962406
"E33020393","E01008933","E02001931",2011,352,295,85,210,2,18,15,3,36,34,0,2,0,1,83.8068181818182,24.1477272727273,59.6590909090909,0.568181818181818,5.11363636363636,4.26136363636364,0.852272727272727,10.2272727272727,9.65909090909091,0,0.568181818181818,0,0.284090909090909
"E33020393","E01008934","E02001931",2011,352,295,85,210,2,18,15,3,36,34,0,2,0,1,83.8068181818182,24.1477272727273,59.6590909090909,0.568181818181818,5.11363636363636,4.26136363636364,0.852272727272727,10.2272727272727,9.65909090909091,0,0.568181818181818,0,0.284090909090909
"E33020394","E01008929","E02001932",2011,415,285,83,202,19,51,28,23,52,45,1,5,1,8,68.6746987951807,20,48.6746987951807,4.57831325301205,12.289156626506,6.74698795180723,5.5421686746988,12.5301204819277,10.8433734939759,0.240963855421687,1.20481927710843,0.240963855421687,1.92771084337349
"E33020394","E01008930","E02001932",2011,415,285,83,202,19,51,28,23,52,45,1,5,1,8,68.6746987951807,20,48.6746987951807,4.57831325301205,12.289156626506,6.74698795180723,5.5421686746988,12.5301204819277,10.8433734939759,0.240963855421687,1.20481927710843,0.240963855421687,1.92771084337349
"E33020394","E01033629","E02001932",2011,415,285,83,202,19,51,28,23,52,45,1,5,1,8,68.6746987951807,20,48.6746987951807,4.57831325301205,12.289156626506,6.74698795180723,5.5421686746988,12.5301204819277,10.8433734939759,0.240963855421687,1.20481927710843,0.240963855421687,1.92771084337349
"E33020395","E01033629","E02001932",2011,698,514,145,369,7,82,66,16,87,81,0,4,2,8,73.6389684813754,20.7736389684814,52.865329512894,1.00286532951289,11.7478510028653,9.45558739255014,2.29226361031519,12.4641833810888,11.6045845272206,0,0.573065902578797,0.286532951289398,1.14613180515759
"E33020396","E01009495","E02001932",2011,333,219,39,180,16,64,40,24,29,26,0,3,0,5,65.7657657657658,11.7117117117117,54.0540540540541,4.8048048048048,19.2192192192192,12.012012012012,7.20720720720721,8.70870870870871,7.80780780780781,0,0.900900900900901,0,1.5015015015015
"E33020396","E01008929","E02001932",2011,333,219,39,180,16,64,40,24,29,26,0,3,0,5,65.7657657657658,11.7117117117117,54.0540540540541,4.8048048048048,19.2192192192192,12.012012012012,7.20720720720721,8.70870870870871,7.80780780780781,0,0.900900900900901,0,1.5015015015015
"E33020397","E01008966","E02001933",2011,333,219,63,156,3,40,28,12,70,67,0,3,0,1,65.7657657657658,18.9189189189189,46.8468468468468,0.900900900900901,12.012012012012,8.40840840840841,3.6036036036036,21.021021021021,20.1201201201201,0,0.900900900900901,0,0.3003003003003
"E33020397","E01008953","E02001933",2011,333,219,63,156,3,40,28,12,70,67,0,3,0,1,65.7657657657658,18.9189189189189,46.8468468468468,0.900900900900901,12.012012012012,8.40840840840841,3.6036036036036,21.021021021021,20.1201201201201,0,0.900900900900901,0,0.3003003003003
