"wz11cd","lsoa11cd","msoa11cd","date","Length of Residence in UK: All categories: Length of residence in the UK; measures: Value","Length of Residence in UK: Born in the UK; measures: Value","Length of Residence in UK: Resident in UK: Less than 2 years; measures: Value","Length of Residence in UK: Resident in UK: 2 years or more but less than 5 years; measures: Value","Length of Residence in UK: Resident in UK: 5 years or more but less than 10 years; measures: Value","Length of Residence in UK: Resident in UK: 10 years or more; measures: Value"
"E33018231","E01009203","E02001869",2011,300,273,3,4,4,16
"E33018232","E01009203","E02001869",2011,242,210,3,6,11,12
"E33018233","E01009203","E02001869",2011,312,273,1,1,8,29
"E33018234","E01009203","E02001869",2011,252,214,1,5,9,23
"E33018235","E01009203","E02001869",2011,470,422,4,6,10,28
"E33018236","E01009201","E02001869",2011,258,206,3,7,18,24
"E33018237","E01009201","E02001869",2011,417,353,1,5,12,46
"E33018238","E01009201","E02001869",2011,564,397,13,17,42,95
"E33018239","E01009219","E02001946",2011,933,825,0,20,23,65
"E33018240","E01009232","E02001848",2011,452,390,13,15,12,22
"E33018241","E01009222","E02001834",2011,207,191,1,6,7,2
"E33018242","E01009222","E02001834",2011,668,590,2,15,18,43
"E33018243","E01009223","E02001839",2011,930,863,8,7,9,43
"E33018244","E01009239","E02001859",2011,339,290,2,5,13,29
"E33018245","E01009239","E02001859",2011,1179,944,11,39,75,110
"E33018246","E01009239","E02001859",2011,715,628,1,7,19,60
"E33018247","E01009239","E02001859",2011,516,414,1,5,19,77
"E33018248","E01009239","E02001859",2011,864,557,31,117,85,74
"E33018249","E01009240","E02001850",2011,316,240,8,23,18,27
"E33018250","E01009242","E02001850",2011,1210,981,11,31,35,152
"E33018251","E01009284","E02001922",2011,1423,1117,5,30,86,185
"E33018252","E01009280","E02001926",2011,687,610,8,3,11,55
"E33018253","E01009281","E02001925",2011,230,204,2,1,5,18
"E33018254","E01009281","E02001925",2011,306,279,1,3,6,17
"E33018255","E01009303","E02001883",2011,633,548,2,9,12,62
"E33018256","E01009306","E02001872",2011,218,190,0,6,12,10
"E33018257","E01009315","E02001907",2011,810,755,8,5,3,39
"E33018258","E01009315","E02001907",2011,560,491,4,4,15,46
"E33018259","E01009320","E02001907",2011,252,212,0,8,7,25
"E33018260","E01009320","E02001907",2011,375,333,2,6,8,26
"E33018261","E01009320","E02001907",2011,247,202,2,5,11,27
"E33018262","E01009320","E02001907",2011,694,618,4,3,14,55
"E33018263","E01009321","E02001895",2011,739,679,0,6,9,45
"E33018264","E01009322","E02001895",2011,994,775,11,24,50,134
"E33018265","E01009322","E02001895",2011,787,724,8,16,12,27
"E33018266","E01009322","E02001895",2011,350,310,2,14,4,20
"E33018267","E01009332","E02006900",2011,308,219,1,5,23,60
"E33018268","E01009329","E02001896",2011,222,74,8,13,24,103
"E33018269","E01009329","E02001896",2011,385,153,14,32,53,133
"E33018270","E01009339","E02006901",2011,390,290,7,11,23,59
"E33018271","E01009338","E02001896",2011,1471,1298,18,11,43,101
"E33018272","E01009340","E02006901",2011,741,572,18,33,40,78
"E33018273","E01009339","E02006901",2011,207,95,11,25,21,55
"E33018274","E01009339","E02006901",2011,1079,934,6,19,18,102
"E33018275","E01009341","E02001892",2011,4359,3318,46,59,334,602
"E33018276","E01009332","E02006900",2011,793,503,14,40,68,168
"E33018277","E01009332","E02006900",2011,443,219,22,39,50,113
"E33018278","E01009349","E02001862",2011,360,275,7,6,29,43
"E33018279","E01033635","E02001865",2011,276,196,2,14,14,50
"E33018280","E01033635","E02001865",2011,535,272,9,31,71,152
"E33018281","E01009354","E02001862",2011,228,149,4,6,21,48
"E33018282","E01009379","E02001897",2011,573,315,14,33,106,105
"E33018283","E01009364","E02001897",2011,448,330,1,12,27,78
"E33018284","E01009364","E02001897",2011,367,294,2,9,12,50
"E33018285","E01009364","E02001897",2011,372,279,0,14,17,62
"E33018286","E01009378","E02006896",2011,517,367,10,16,25,99
"E33018287","E01009367","E02001909",2011,195,135,2,4,12,42
"E33018288","E01009367","E02001909",2011,234,140,8,12,10,64
"E33018289","E01009367","E02001909",2011,392,294,2,9,14,73
"E33018290","E01009371","E02001903",2011,274,103,7,20,43,101
"E33018291","E01033641","E02006901",2011,423,319,5,6,19,74
"E33018292","E01009400","E02001857",2011,768,624,18,37,49,40
"E33018293","E01009400","E02001857",2011,491,455,0,8,8,20
"E33018294","E01009400","E02001857",2011,551,459,4,15,28,45
"E33018295","E01009423","E02001828",2011,759,711,1,2,4,41
"E33018296","E01009424","E02001830",2011,360,342,1,2,3,12
"E33018297","E01009424","E02001830",2011,598,585,0,0,0,13
"E33018298","E01009432","E02001832",2011,696,663,2,6,1,24
"E33018299","E01009449","E02001835",2011,343,314,0,1,12,16
"E33018300","E01009450","E02001838",2011,553,487,5,8,9,44
"E33018301","E01009443","E02001847",2011,981,911,0,6,19,45
"E33018302","E01009443","E02001847",2011,727,685,1,0,8,33
"E33018303","E01009441","E02001847",2011,445,390,5,23,19,8
"E33018304","E01009441","E02001847",2011,1078,864,29,46,63,76
"E33018305","E01009449","E02001835",2011,248,226,1,4,2,15
"E33018306","E01009449","E02001835",2011,319,258,16,25,8,12
"E33018307","E01009449","E02001835",2011,336,314,3,5,2,12
"E33018308","E01009449","E02001835",2011,744,686,3,7,17,31
"E33018309","E01009449","E02001835",2011,600,558,4,6,11,21
"E33018310","E01009449","E02001835",2011,559,516,4,5,11,23
"E33018311","E01009474","E02001836",2011,610,543,10,7,8,42
"E33018312","E01009456","E02001844",2011,315,284,1,1,2,27
"E33018313","E01009478","E02001874",2011,821,595,38,50,57,81
"E33018314","E01009483","E02001877",2011,520,371,12,46,33,58
"E33019808","E01009378","E02006896",2011,405,330,7,9,11,48
"E33019809","E01033559","E02001875",2011,266,210,8,14,17,17
"E33019810","E01033559","E02001875",2011,307,283,1,0,1,22
"E33019811","E01033559","E02001875",2011,294,244,4,10,12,24
"E33019812","E01033559","E02001875",2011,396,357,0,8,11,20
"E33019813","E01033559","E02001875",2011,225,182,4,3,5,31
"E33019814","E01033559","E02001875",2011,238,200,0,1,11,26
"E33019815","E01033559","E02001875",2011,208,173,2,1,7,25
"E33019816","E01033559","E02001875",2011,224,189,1,1,7,26
"E33019817","E01033559","E02001875",2011,307,220,2,8,23,54
"E33019818","E01033559","E02001875",2011,446,399,6,6,7,28
"E33019819","E01033561","E02001876",2011,239,172,6,7,14,40
"E33019820","E01033561","E02001876",2011,595,516,6,12,10,51
"E33019821","E01033561","E02001876",2011,236,189,4,4,12,27
"E33019822","E01033561","E02001876",2011,411,320,3,12,27,49
"E33019823","E01033561","E02001876",2011,1444,1247,37,45,49,66
"E33019824","E01033561","E02001876",2011,865,765,18,12,20,50
"E33019825","E01033562","E02001913",2011,237,189,1,5,12,30
"E33019826","E01033562","E02001913",2011,459,359,4,10,35,51
"E33019827","E01033562","E02001913",2011,1615,1191,11,35,164,214
"E33019828","E01033562","E02001913",2011,1687,1397,13,23,73,181
"E33019829","E01033562","E02001913",2011,4392,3399,39,83,301,570
"E33019830","E01033616","E02006896",2011,317,215,16,19,13,54
"E33019831","E01033615","E02006896",2011,292,239,6,7,20,20
"E33019832","E01033615","E02006896",2011,309,254,7,11,21,16
"E33019833","E01033615","E02006896",2011,1386,1155,26,59,58,88
"E33019834","E01033615","E02006896",2011,828,547,25,63,65,128
"E33019835","E01033615","E02006896",2011,1266,1138,20,21,25,62
"E33019836","E01033615","E02006896",2011,397,356,2,4,9,26
"E33019837","E01033615","E02006896",2011,287,197,6,14,19,51
"E33019838","E01033615","E02006896",2011,319,180,17,22,42,58
"E33019839","E01033615","E02006896",2011,2020,1701,70,66,82,101
"E33019840","E01033615","E02006896",2011,261,162,12,31,25,31
"E33019841","E01033615","E02006896",2011,827,719,5,10,11,82
"E33019842","E01033615","E02006896",2011,320,243,9,11,21,36
"E33019843","E01033615","E02006896",2011,335,268,1,11,14,41
"E33019844","E01033557","E02006895",2011,896,745,26,20,20,85
"E33019845","E01033617","E02001876",2011,598,546,1,3,11,37
"E33019846","E01033617","E02001876",2011,349,308,3,5,5,28
"E33019847","E01033617","E02001876",2011,894,798,4,2,23,67
"E33019848","E01033617","E02001876",2011,204,157,5,8,11,23
"E33019849","E01033617","E02001876",2011,1180,1035,18,31,40,56
"E33019850","E01033617","E02001876",2011,348,310,3,1,10,24
"E33019851","E01033617","E02001876",2011,1138,1025,9,16,24,64
"E33019852","E01033617","E02001876",2011,2900,2432,24,35,116,293
"E33019853","E01033617","E02001876",2011,344,281,3,3,16,41
"E33019854","E01033617","E02001876",2011,2997,2748,10,23,61,155
"E33019855","E01033617","E02001876",2011,364,300,4,10,12,38
"E33019856","E01033619","E02006898",2011,207,186,1,2,4,14
"E33019857","E01033619","E02006898",2011,268,245,3,3,5,12
"E33019858","E01009378","E02006896",2011,226,165,10,16,19,16
"E33019859","E01009378","E02006896",2011,200,149,2,2,13,34
"E33019860","E01009378","E02006896",2011,384,286,6,6,13,73
"E33019861","E01009378","E02006896",2011,516,456,3,3,15,39
"E33019862","E01009378","E02006896",2011,257,202,3,5,19,28
"E33019863","E01009378","E02006896",2011,310,193,6,11,39,61
"E33019864","E01033620","E02006899",2011,426,357,6,9,23,31
"E33019865","E01033561","E02001876",2011,357,302,7,12,14,22
"E33019866","E01033561","E02001876",2011,406,337,5,8,25,31
"E33019867","E01033561","E02001876",2011,228,130,4,21,37,36
"E33019868","E01033561","E02001876",2011,1939,1477,43,84,110,225
"E33019869","E01033561","E02001876",2011,254,219,1,7,10,17
"E33019870","E01033561","E02001876",2011,1577,1244,15,73,74,171
"E33019871","E01033561","E02001876",2011,305,256,1,6,6,36
"E33019872","E01033561","E02001876",2011,474,375,6,6,27,60
"E33019873","E01033561","E02001876",2011,397,368,1,2,6,20
"E33019874","E01009345","E02001879",2011,1090,952,7,11,36,84
"E33019875","E01033620","E02006899",2011,310,267,0,3,15,25
"E33019876","E01033620","E02006899",2011,515,468,2,7,10,28
"E33019877","E01033620","E02006899",2011,406,367,4,10,8,17
"E33019878","E01033620","E02006899",2011,697,615,7,26,18,31
"E33019879","E01033620","E02006899",2011,1925,1634,12,39,59,181
"E33019880","E01033620","E02006899",2011,390,338,6,16,7,23
"E33019881","E01033620","E02006899",2011,1589,1449,26,30,34,50
"E33019882","E01033620","E02006899",2011,1138,1033,9,14,18,64
"E33019883","E01033620","E02006899",2011,294,224,28,11,9,22
"E33019884","E01033620","E02006899",2011,512,442,15,10,20,25
"E33019885","E01033620","E02006899",2011,254,247,2,0,2,3
"E33019886","E01033620","E02006899",2011,1743,1619,4,13,34,73
"E33019887","E01033620","E02006899",2011,1341,1184,12,21,25,99
"E33019888","E01033620","E02006899",2011,1063,975,7,8,18,55
"E33019889","E01033620","E02006899",2011,409,376,2,2,3,26
"E33019890","E01033620","E02006899",2011,1440,1313,9,18,38,62
"E33019891","E01033620","E02006899",2011,907,830,5,8,27,37
"E33019892","E01033620","E02006899",2011,1291,1189,11,9,25,57
"E33019893","E01033620","E02006899",2011,769,601,30,35,35,68
"E33019894","E01033620","E02006899",2011,676,615,3,3,14,41
"E33019895","E01033620","E02006899",2011,985,885,4,16,21,59
"E33019896","E01033620","E02006899",2011,485,434,6,4,13,28
"E33019897","E01033620","E02006899",2011,198,135,13,13,13,24
"E33019898","E01033620","E02006899",2011,391,347,0,7,11,26
"E33019899","E01033620","E02006899",2011,855,746,7,21,36,45
"E33019900","E01033620","E02006899",2011,988,818,9,22,44,95
"E33019901","E01033620","E02006899",2011,273,225,1,12,16,19
"E33019902","E01033620","E02006899",2011,496,431,2,3,6,54
"E33019903","E01033620","E02006899",2011,1354,1159,1,6,19,169
"E33019904","E01033620","E02006899",2011,1824,1703,7,14,23,77
"E33019905","E01033620","E02006899",2011,410,372,3,8,9,18
"E33019906","E01033620","E02006899",2011,313,297,1,0,4,11
"E33019907","E01033620","E02006899",2011,614,534,12,14,10,44
"E33019908","E01033625","E02006899",2011,1352,1196,3,13,51,89
"E33019909","E01033625","E02006899",2011,2021,1710,43,60,97,111
"E33019910","E01033625","E02006899",2011,329,267,11,12,16,23
"E33019911","E01033625","E02006899",2011,282,210,15,19,21,17
"E33019912","E01033617","E02001876",2011,603,492,8,14,22,67
"E33019913","E01033625","E02006899",2011,906,796,17,14,17,62
"E33019914","E01033625","E02006899",2011,521,412,23,24,21,41
"E33019915","E01033625","E02006899",2011,268,234,1,8,3,22
"E33019916","E01033625","E02006899",2011,666,536,22,41,32,35
"E33019917","E01033617","E02001876",2011,1687,1467,14,22,30,154
"E33019918","E01008899","E02001863",2011,312,263,0,11,8,30
"E33019919","E01033620","E02006899",2011,441,361,13,19,18,30
"E33019920","E01033620","E02006899",2011,1005,854,13,24,35,79
"E33019921","E01033620","E02006899",2011,309,278,0,1,8,22
"E33019922","E01033620","E02006899",2011,865,676,17,52,56,64
"E33019923","E01033620","E02006899",2011,319,265,2,7,18,27
"E33019924","E01033620","E02006899",2011,1357,1208,6,8,16,119
"E33019925","E01033620","E02006899",2011,331,287,5,3,8,28
"E33019926","E01033620","E02006899",2011,348,299,1,5,13,30
"E33019927","E01033620","E02006899",2011,620,497,22,29,22,50
"E33019928","E01033620","E02006899",2011,434,353,9,7,20,45
"E33019929","E01033620","E02006899",2011,354,299,4,7,16,28
"E33019930","E01033620","E02006899",2011,368,307,0,1,12,48
"E33019931","E01033620","E02006899",2011,370,306,11,8,7,38
"E33019932","E01033620","E02006899",2011,206,151,4,14,21,16
"E33019933","E01033620","E02006899",2011,333,254,12,9,15,43
"E33019934","E01033620","E02006899",2011,523,470,10,5,9,29
"E33019935","E01033620","E02006899",2011,2606,2389,18,25,44,130
"E33019936","E01033622","E02006899",2011,233,215,1,4,3,10
"E33019937","E01033622","E02006899",2011,306,266,3,3,15,19
"E33019938","E01033622","E02006899",2011,677,583,4,15,19,56
"E33019939","E01033619","E02006898",2011,264,208,20,5,8,23
"E33019940","E01033619","E02006898",2011,420,376,3,7,7,27
"E33019941","E01033619","E02006898",2011,348,298,2,5,5,38
"E33019942","E01033623","E02006899",2011,324,260,2,1,10,51
"E33019943","E01033623","E02006899",2011,615,544,8,6,20,37
"E33019944","E01033623","E02006899",2011,600,494,14,29,20,43
"E33019945","E01033631","E02001905",2011,233,204,3,3,5,18
"E33019946","E01033631","E02001905",2011,576,495,9,10,8,54
"E33019947","E01009143","E02006897",2011,601,556,1,3,10,31
"E33019948","E01009143","E02006897",2011,447,293,12,15,41,86
"E33019949","E01009143","E02006897",2011,1166,996,14,23,42,91
"E33019950","E01033565","E02006898",2011,1072,933,18,15,32,74
"E33019951","E01033620","E02006899",2011,559,510,5,5,6,33
"E33019952","E01033620","E02006899",2011,350,278,13,6,24,29
"E33019953","E01033620","E02006899",2011,359,266,10,28,23,32
"E33019954","E01009342","E02001889",2011,1441,1200,4,16,70,151
"E33019955","E01033622","E02006899",2011,443,388,9,8,8,30
"E33019956","E01033623","E02006899",2011,212,185,4,8,5,10
"E33019957","E01009239","E02001859",2011,1563,1334,16,16,56,141
"E33019958","E01009239","E02001859",2011,698,569,5,34,35,55
"E33019959","E01009239","E02001859",2011,535,449,4,8,13,61
"E33019960","E01008914","E02001876",2011,248,211,3,7,8,19
"E33019961","E01008914","E02001876",2011,215,158,4,4,8,41
"E33019962","E01008914","E02001876",2011,246,205,5,2,8,26
"E33019963","E01008914","E02001876",2011,227,213,0,2,4,8
"E33019964","E01008914","E02001876",2011,224,198,1,3,7,15
"E33019965","E01008914","E02001876",2011,444,375,2,9,12,46
"E33019966","E01009418","E02001827",2011,284,261,1,3,5,14
"E33019966","E01009433","E02001827",2011,284,261,1,3,5,14
"E33019967","E01009418","E02001827",2011,635,581,3,4,7,40
"E33019967","E01009433","E02001827",2011,635,581,3,4,7,40
"E33019967","E01009419","E02001827",2011,635,581,3,4,7,40
"E33019967","E01009417","E02001827",2011,635,581,3,4,7,40
"E33019968","E01009415","E02001828",2011,258,242,0,3,3,10
"E33019968","E01009423","E02001828",2011,258,242,0,3,3,10
"E33019969","E01009423","E02001828",2011,437,408,1,5,4,19
"E33019969","E01009425","E02001828",2011,437,408,1,5,4,19
"E33019970","E01009425","E02001828",2011,420,399,6,5,2,8
"E33019970","E01009415","E02001828",2011,420,399,6,5,2,8
"E33019970","E01009422","E02001828",2011,420,399,6,5,2,8
"E33019971","E01009425","E02001828",2011,475,440,2,6,11,16
"E33019972","E01009422","E02001828",2011,496,466,3,6,4,17
"E33019972","E01009425","E02001828",2011,496,466,3,6,4,17
"E33019973","E01009420","E02001829",2011,364,346,0,1,1,16
"E33019973","E01009426","E02001829",2011,364,346,0,1,1,16
"E33019973","E01009416","E02001829",2011,364,346,0,1,1,16
"E33019974","E01009416","E02001829",2011,324,305,2,1,1,15
"E33019975","E01009431","E02001829",2011,367,335,1,3,4,24
"E33019975","E01009429","E02001829",2011,367,335,1,3,4,24
"E33019975","E01009426","E02001829",2011,367,335,1,3,4,24
"E33019976","E01009431","E02001829",2011,412,383,2,5,6,16
"E33019976","E01009426","E02001829",2011,412,383,2,5,6,16
"E33019976","E01009429","E02001829",2011,412,383,2,5,6,16
"E33019977","E01009424","E02001830",2011,421,387,2,1,4,27
"E33019977","E01009421","E02001830",2011,421,387,2,1,4,27
"E33019978","E01009424","E02001830",2011,338,305,2,3,7,21
"E33019979","E01009424","E02001830",2011,230,201,0,5,12,12
"E33019979","E01009430","E02001830",2011,230,201,0,5,12,12
"E33019980","E01009427","E02001830",2011,333,312,0,1,1,19
"E33019980","E01009430","E02001830",2011,333,312,0,1,1,19
"E33019981","E01009430","E02001830",2011,281,248,1,2,6,24
"E33019981","E01009427","E02001830",2011,281,248,1,2,6,24
"E33019982","E01009468","E02001830",2011,278,237,4,2,10,25
"E33019983","E01009424","E02001830",2011,349,314,4,2,6,23
"E33019984","E01009424","E02001830",2011,914,805,7,14,18,70
"E33019984","E01009428","E02001830",2011,914,805,7,14,18,70
"E33019985","E01009448","E02001831",2011,321,302,0,2,5,12
"E33019985","E01009445","E02001831",2011,321,302,0,2,5,12
"E33019986","E01009447","E02001831",2011,262,238,1,2,9,12
"E33019986","E01009446","E02001831",2011,262,238,1,2,9,12
"E33019987","E01009447","E02001831",2011,704,651,0,3,9,41
"E33019987","E01009445","E02001831",2011,704,651,0,3,9,41
"E33019987","E01009446","E02001831",2011,704,651,0,3,9,41
"E33019988","E01009452","E02001831",2011,364,336,1,1,3,23
"E33019988","E01009455","E02001831",2011,364,336,1,1,3,23
"E33019989","E01009447","E02001831",2011,534,494,1,5,14,20
"E33019989","E01009452","E02001831",2011,534,494,1,5,14,20
"E33019989","E01009448","E02001831",2011,534,494,1,5,14,20
"E33019990","E01009437","E02001832",2011,213,197,0,2,6,8
"E33019991","E01009444","E02001832",2011,370,347,1,0,7,15
"E33019992","E01009454","E02001832",2011,282,262,0,3,1,16
"E33019992","E01009435","E02001832",2011,282,262,0,3,1,16
"E33019993","E01009432","E02001832",2011,3177,2629,31,46,172,299
"E33019994","E01009437","E02001832",2011,381,349,1,2,8,21
"E33019995","E01009435","E02001832",2011,327,294,3,3,4,23
"E33019995","E01009437","E02001832",2011,327,294,3,3,4,23
"E33019996","E01009467","E02001833",2011,329,309,0,0,5,15
"E33019996","E01009465","E02001833",2011,329,309,0,0,5,15
"E33019997","E01009221","E02001833",2011,345,307,1,4,5,28
"E33019998","E01009464","E02001833",2011,292,264,2,4,4,18
