"Geographic_location","lsoa11cd","msoa11cd","date","EthnicGroup_total","Ethnic Group:White:English/Welsh/Scottish/Northern Irish/British","EthnicGroup:White:Irish;measures:Value","Ethnic Group:White:GypsyorIrishTraveller;measures: Value","EthnicGroup:White:Other White;measures:Value","Ethnic Group:Mixed/multipleethnic group:White and BlackCaribbean;measures:Value","Ethnic Group:Mixed/multipleethnicgroup:WhiteandBlack African;measures:Value","Ethnic Group: Mixed/multiple ethnic group: White and Asian; measures: Value","Ethnic Group: Mixed/multiple ethnic group: Other Mixed; measures: Value","Ethnic Group: Asian/Asian British: Indian; measures: Value","Ethnic Group: Asian/Asian British: Pakistani; measures: Value","Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value","Ethnic Group: Asian/Asian British: Chinese; measures: Value","Ethnic Group: Asian/Asian British: Other Asian; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value","Ethnic Group: Other ethnic group: Arab; measures: Value","Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value","Ethnic Group:White:English/Welsh/Scottish/Northern Irish/British:value%","EthnicGroup:White:Irish;measures:Value:value%","Ethnic Group:White:GypsyorIrishTraveller;measures: Value:value%","EthnicGroup:White:Other White;measures:Value:value%","Ethnic Group:Mixed/multipleethnic group:White and BlackCaribbean;measures:Value:value%","Ethnic Group:Mixed/multipleethnicgroup:WhiteandBlack African;measures:Value:value%","Ethnic Group: Mixed/multiple ethnic group: White and Asian; measures: Value:value%","Ethnic Group: Mixed/multiple ethnic group: Other Mixed; measures: Value:value%","Ethnic Group: Asian/Asian British: Indian; measures: Value:value%","Ethnic Group: Asian/Asian British: Pakistani; measures: Value:value%","Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value:value%","Ethnic Group: Asian/Asian British: Chinese; measures: Value:value%","Ethnic Group: Asian/Asian British: Other Asian; measures: Value:value%","Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value:value%","Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value:value%","Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value:value%","Ethnic Group: Other ethnic group: Arab; measures: Value:value%","Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value:value%"
"E33020401","E01009032","E02001934",2011,904,576,38,0,28,6,2,3,2,82,78,17,13,20,10,10,11,3,5,63.716814159292,4.20353982300885,0,3.09734513274336,0.663716814159292,0.221238938053097,0.331858407079646,0.221238938053097,9.07079646017699,8.6283185840708,1.88053097345133,1.43805309734513,2.21238938053097,1.10619469026549,1.10619469026549,1.21681415929204,0.331858407079646,0.553097345132743
"E33020402","E01009034","E02001934",2011,629,368,30,0,12,10,1,2,2,70,74,7,3,15,4,15,9,5,2,58.5055643879173,4.76947535771065,0,1.90779014308426,1.58982511923688,0.158982511923688,0.317965023847377,0.317965023847377,11.1287758346582,11.7647058823529,1.11287758346582,0.476947535771065,2.38473767885533,0.635930047694754,2.38473767885533,1.4308426073132,0.794912559618442,0.317965023847377
"E33020402","E01009036","E02001934",2011,629,368,30,0,12,10,1,2,2,70,74,7,3,15,4,15,9,5,2,58.5055643879173,4.76947535771065,0,1.90779014308426,1.58982511923688,0.158982511923688,0.317965023847377,0.317965023847377,11.1287758346582,11.7647058823529,1.11287758346582,0.476947535771065,2.38473767885533,0.635930047694754,2.38473767885533,1.4308426073132,0.794912559618442,0.317965023847377
"E33020403","E01009506","E02001935",2011,328,259,2,0,12,3,1,1,2,8,5,2,4,9,3,3,7,2,5,78.9634146341463,0.609756097560976,0,3.65853658536585,0.914634146341463,0.304878048780488,0.304878048780488,0.609756097560976,2.4390243902439,1.52439024390244,0.609756097560976,1.21951219512195,2.74390243902439,0.914634146341463,0.914634146341463,2.13414634146341,0.609756097560976,1.52439024390244
"E33020403","E01009494","E02001935",2011,328,259,2,0,12,3,1,1,2,8,5,2,4,9,3,3,7,2,5,78.9634146341463,0.609756097560976,0,3.65853658536585,0.914634146341463,0.304878048780488,0.304878048780488,0.609756097560976,2.4390243902439,1.52439024390244,0.609756097560976,1.21951219512195,2.74390243902439,0.914634146341463,0.914634146341463,2.13414634146341,0.609756097560976,1.52439024390244
"E33020403","E01009496","E02001935",2011,328,259,2,0,12,3,1,1,2,8,5,2,4,9,3,3,7,2,5,78.9634146341463,0.609756097560976,0,3.65853658536585,0.914634146341463,0.304878048780488,0.304878048780488,0.609756097560976,2.4390243902439,1.52439024390244,0.609756097560976,1.21951219512195,2.74390243902439,0.914634146341463,0.914634146341463,2.13414634146341,0.609756097560976,1.52439024390244
"E33020404","E01009496","E02001935",2011,414,344,12,0,6,6,0,0,2,8,5,0,8,2,7,11,0,3,0,83.0917874396135,2.89855072463768,0,1.44927536231884,1.44927536231884,0,0,0.483091787439614,1.93236714975845,1.20772946859903,0,1.93236714975845,0.483091787439614,1.69082125603865,2.65700483091787,0,0.72463768115942,0
"E33020404","E01009497","E02001935",2011,414,344,12,0,6,6,0,0,2,8,5,0,8,2,7,11,0,3,0,83.0917874396135,2.89855072463768,0,1.44927536231884,1.44927536231884,0,0,0.483091787439614,1.93236714975845,1.20772946859903,0,1.93236714975845,0.483091787439614,1.69082125603865,2.65700483091787,0,0.72463768115942,0
"E33020405","E01009504","E02001935",2011,255,210,2,0,4,3,0,0,3,10,1,0,0,10,3,4,1,2,2,82.3529411764706,0.784313725490196,0,1.56862745098039,1.17647058823529,0,0,1.17647058823529,3.92156862745098,0.392156862745098,0,0,3.92156862745098,1.17647058823529,1.56862745098039,0.392156862745098,0.784313725490196,0.784313725490196
"E33020406","E01009497","E02001935",2011,577,482,10,0,4,9,2,1,2,15,12,4,8,8,4,11,2,1,2,83.5355285961872,1.73310225303293,0,0.693240901213172,1.55979202772964,0.346620450606586,0.173310225303293,0.346620450606586,2.59965337954939,2.07972270363951,0.693240901213172,1.38648180242634,1.38648180242634,0.693240901213172,1.90641247833622,0.346620450606586,0.173310225303293,0.346620450606586
