"wz11cd","lsoa11cd","msoa11cd","date","Area/Population Density: All usual residents; measures: Value","Area/Population Density: Area Hectares; measures: Value","Area/Population Density: Density (number of persons per hectare); measures: Value"
"E33018211","E01009194","E02001877",2011,327,15.7,20.8
"E33018212","E01009198","E02001884",2011,277,4.37,63.4
"E33018213","E01009198","E02001884",2011,293,17.92,16.4
"E33018214","E01009198","E02001884",2011,267,9.43,28.3
"E33018215","E01009198","E02001884",2011,327,6.94,47.1
"E33018216","E01009200","E02006900",2011,197,8.14,24.2
"E33018217","E01009200","E02006900",2011,248,4.55,54.5
"E33018218","E01009200","E02006900",2011,422,1.59,265.4
"E33018219","E01009200","E02006900",2011,745,5.4,138
"E33018220","E01009200","E02006900",2011,284,7.15,39.7
"E33018221","E01009200","E02006900",2011,301,3.83,78.6
"E33018222","E01009200","E02006900",2011,278,9.87,28.2
"E33018223","E01009200","E02006900",2011,965,5.25,183.8
"E33018224","E01009202","E02001869",2011,222,6.5,34.2
"E33018225","E01009202","E02001869",2011,1138,48.43,23.5
"E33018226","E01009202","E02001869",2011,226,15.96,14.2
"E33018227","E01009202","E02001869",2011,530,9.59,55.3
"E33018228","E01009203","E02001869",2011,275,1.64,167.7
"E33018229","E01009203","E02001869",2011,279,5.3,52.6
"E33018230","E01009203","E02001869",2011,380,10.71,35.5
"E33018231","E01009203","E02001869",2011,300,6.12,49
"E33018232","E01009203","E02001869",2011,242,3.83,63.2
"E33018233","E01009203","E02001869",2011,312,10.64,29.3
"E33018234","E01009203","E02001869",2011,252,6.1,41.3
"E33018235","E01009203","E02001869",2011,470,14.75,31.9
"E33018236","E01009201","E02001869",2011,258,25.41,10.2
"E33018237","E01009201","E02001869",2011,417,24.92,16.7
"E33018238","E01009201","E02001869",2011,564,23,24.5
"E33018239","E01009219","E02001946",2011,933,6.93,134.6
"E33018240","E01009232","E02001848",2011,452,78.2,5.8
"E33018241","E01009222","E02001834",2011,207,5.55,37.3
"E33018242","E01009222","E02001834",2011,668,12.31,54.3
"E33018243","E01009223","E02001839",2011,930,37.47,24.8
"E33018244","E01009239","E02001859",2011,339,49.62,6.8
"E33018245","E01009239","E02001859",2011,1179,38.92,30.3
"E33018246","E01009239","E02001859",2011,715,27.03,26.5
"E33018247","E01009239","E02001859",2011,516,14.27,36.2
"E33018248","E01009239","E02001859",2011,864,17.54,49.3
"E33018249","E01009240","E02001850",2011,316,22.36,14.1
"E33018250","E01009242","E02001850",2011,1210,48.47,25
"E33018251","E01009284","E02001922",2011,1423,4.69,303.4
"E33018252","E01009280","E02001926",2011,687,19.59,35.1
"E33018253","E01009281","E02001925",2011,230,18.34,12.5
"E33018254","E01009281","E02001925",2011,306,18.9,16.2
"E33018255","E01009303","E02001883",2011,633,12.33,51.3
"E33018256","E01009306","E02001872",2011,218,43.16,5.1
"E33018257","E01009315","E02001907",2011,810,4.66,173.8
"E33018258","E01009315","E02001907",2011,560,10.17,55.1
"E33018259","E01009320","E02001907",2011,252,2.79,90.3
"E33018260","E01009320","E02001907",2011,375,3.33,112.6
"E33018261","E01009320","E02001907",2011,247,5.74,43
"E33018262","E01009320","E02001907",2011,694,36.84,18.8
"E33018263","E01009321","E02001895",2011,739,42.46,17.4
"E33018264","E01009322","E02001895",2011,994,14.32,69.4
"E33018265","E01009322","E02001895",2011,787,12.02,65.5
"E33018266","E01009322","E02001895",2011,350,12.33,28.4
"E33018267","E01009332","E02006900",2011,308,11.12,27.7
"E33018268","E01009329","E02001896",2011,222,7.2,30.8
"E33018269","E01009329","E02001896",2011,385,5.98,64.4
"E33018270","E01009339","E02006901",2011,390,35.46,11
"E33018271","E01009338","E02001896",2011,1471,22.65,64.9
"E33018272","E01009340","E02006901",2011,741,34.51,21.5
"E33018273","E01009339","E02006901",2011,207,4.95,41.8
"E33018274","E01009339","E02006901",2011,1079,6.33,170.5
"E33018275","E01009341","E02001892",2011,4359,17.58,248
"E33018276","E01009332","E02006900",2011,793,7.7,103
"E33018277","E01009332","E02006900",2011,443,8.99,49.3
"E33018278","E01009349","E02001862",2011,360,14.17,25.4
"E33018279","E01033635","E02001865",2011,276,3.65,75.6
"E33018280","E01033635","E02001865",2011,535,5.43,98.5
"E33018281","E01009354","E02001862",2011,228,5.71,39.9
"E33018282","E01009379","E02001897",2011,573,14.17,40.4
"E33018283","E01009364","E02001897",2011,448,13.2,33.9
"E33018284","E01009364","E02001897",2011,367,7.64,48
"E33018285","E01009364","E02001897",2011,372,6.02,61.8
"E33018286","E01009378","E02006896",2011,517,11.04,46.8
"E33018287","E01009367","E02001909",2011,195,5.09,38.3
"E33018288","E01009367","E02001909",2011,234,6.52,35.9
"E33018289","E01009367","E02001909",2011,392,6.15,63.7
"E33018290","E01009371","E02001903",2011,274,10.23,26.8
"E33018291","E01033641","E02006901",2011,423,8.96,47.2
"E33018292","E01009400","E02001857",2011,768,18.45,41.6
"E33018293","E01009400","E02001857",2011,491,13.61,36.1
"E33018294","E01009400","E02001857",2011,551,18.82,29.3
"E33018295","E01009423","E02001828",2011,759,14.75,51.5
"E33018296","E01009424","E02001830",2011,360,1.4,257.1
"E33018297","E01009424","E02001830",2011,598,5.95,100.5
"E33018298","E01009432","E02001832",2011,696,10.93,63.7
"E33018299","E01009449","E02001835",2011,343,5.3,64.7
"E33018300","E01009450","E02001838",2011,553,809.69,0.7
"E33018301","E01009443","E02001847",2011,981,26.91,36.5
"E33018302","E01009443","E02001847",2011,727,28.35,25.6
"E33018303","E01009441","E02001847",2011,445,19.95,22.3
"E33018304","E01009441","E02001847",2011,1078,414.3,2.6
"E33018305","E01009449","E02001835",2011,248,3.18,78
"E33018306","E01009449","E02001835",2011,319,5,63.8
"E33018307","E01009449","E02001835",2011,336,7.77,43.2
"E33018308","E01009449","E02001835",2011,744,1.13,658.4
"E33018309","E01009449","E02001835",2011,600,2.81,213.5
"E33018310","E01009449","E02001835",2011,559,5.31,105.3
"E33018311","E01009474","E02001836",2011,610,5.5,110.9
"E33018312","E01009456","E02001844",2011,315,7.33,43
"E33018313","E01009478","E02001874",2011,821,36.38,22.6
"E33018314","E01009483","E02001877",2011,520,23.12,22.5
"E33019808","E01009378","E02006896",2011,405,7.22,56.1
"E33019809","E01033559","E02001875",2011,266,0.82,324.4
"E33019810","E01033559","E02001875",2011,307,1.96,156.6
"E33019811","E01033559","E02001875",2011,294,3.4,86.5
"E33019812","E01033559","E02001875",2011,396,9.98,39.7
"E33019813","E01033559","E02001875",2011,225,1.6,140.6
"E33019814","E01033559","E02001875",2011,238,0.55,432.7
"E33019815","E01033559","E02001875",2011,208,3.25,64
"E33019816","E01033559","E02001875",2011,224,4.65,48.2
"E33019817","E01033559","E02001875",2011,307,3.08,99.7
"E33019818","E01033559","E02001875",2011,446,1.8,247.8
"E33019819","E01033561","E02001876",2011,239,8.25,29
"E33019820","E01033561","E02001876",2011,595,13.18,45.1
"E33019821","E01033561","E02001876",2011,236,10.17,23.2
"E33019822","E01033561","E02001876",2011,411,5.41,76
"E33019823","E01033561","E02001876",2011,1444,4.67,309.2
"E33019824","E01033561","E02001876",2011,865,15.67,55.2
"E33019825","E01033562","E02001913",2011,237,13.22,17.9
"E33019826","E01033562","E02001913",2011,459,22.09,20.8
"E33019827","E01033562","E02001913",2011,1615,9.06,178.3
"E33019828","E01033562","E02001913",2011,1687,9.1,185.4
"E33019829","E01033562","E02001913",2011,4392,5.64,778.7
"E33019830","E01033616","E02006896",2011,317,7.29,43.5
"E33019831","E01033615","E02006896",2011,292,2.01,145.3
"E33019832","E01033615","E02006896",2011,309,1.86,166.1
"E33019833","E01033615","E02006896",2011,1386,1.2,1155
"E33019834","E01033615","E02006896",2011,828,8.33,99.4
"E33019835","E01033615","E02006896",2011,1266,1.26,1004.8
"E33019836","E01033615","E02006896",2011,397,0.4,992.5
"E33019837","E01033615","E02006896",2011,287,1.57,182.8
"E33019838","E01033615","E02006896",2011,319,1.51,211.3
"E33019839","E01033615","E02006896",2011,2020,2.19,922.4
"E33019840","E01033615","E02006896",2011,261,0.88,296.6
"E33019841","E01033615","E02006896",2011,827,1.58,523.4
"E33019842","E01033615","E02006896",2011,320,1.28,250
"E33019843","E01033615","E02006896",2011,335,3.02,110.9
"E33019844","E01033557","E02006895",2011,896,2.34,382.9
"E33019845","E01033617","E02001876",2011,598,0.91,657.1
"E33019846","E01033617","E02001876",2011,349,1.47,237.4
"E33019847","E01033617","E02001876",2011,894,0.89,1004.5
"E33019848","E01033617","E02001876",2011,204,3.2,63.8
"E33019849","E01033617","E02001876",2011,1180,2.11,559.2
"E33019850","E01033617","E02001876",2011,348,0.48,725
"E33019851","E01033617","E02001876",2011,1138,0.49,2322.4
"E33019852","E01033617","E02001876",2011,2900,6.86,422.7
"E33019853","E01033617","E02001876",2011,344,1.08,318.5
"E33019854","E01033617","E02001876",2011,2997,0.84,3567.9
"E33019855","E01033617","E02001876",2011,364,5.58,65.2
"E33019856","E01033619","E02006898",2011,207,1.55,133.5
"E33019857","E01033619","E02006898",2011,268,3.75,71.5
"E33019858","E01009378","E02006896",2011,226,1.92,117.7
"E33019859","E01009378","E02006896",2011,200,4.88,41
"E33019860","E01009378","E02006896",2011,384,7.24,53
"E33019861","E01009378","E02006896",2011,516,1.67,309
"E33019862","E01009378","E02006896",2011,257,6.15,41.8
"E33019863","E01009378","E02006896",2011,310,4.19,74
"E33019864","E01033620","E02006899",2011,426,1.64,259.8
"E33019865","E01033561","E02001876",2011,357,9.57,37.3
"E33019866","E01033561","E02001876",2011,406,4.44,91.4
"E33019867","E01033561","E02001876",2011,228,10.73,21.2
"E33019868","E01033561","E02001876",2011,1939,7.69,252.1
"E33019869","E01033561","E02001876",2011,254,5.6,45.4
"E33019870","E01033561","E02001876",2011,1577,5.68,277.6
"E33019871","E01033561","E02001876",2011,305,3.92,77.8
"E33019872","E01033561","E02001876",2011,474,4.96,95.6
"E33019873","E01033561","E02001876",2011,397,4.52,87.8
"E33019874","E01009345","E02001879",2011,1090,27.04,40.3
"E33019875","E01033620","E02006899",2011,310,0.61,508.2
"E33019876","E01033620","E02006899",2011,515,0.31,1661.3
"E33019877","E01033620","E02006899",2011,406,0.95,427.4
"E33019878","E01033620","E02006899",2011,697,0.6,1161.7
"E33019879","E01033620","E02006899",2011,1925,0.58,3319
"E33019880","E01033620","E02006899",2011,390,0.41,951.2
"E33019881","E01033620","E02006899",2011,1589,0.47,3380.9
"E33019882","E01033620","E02006899",2011,1138,0.93,1223.7
"E33019883","E01033620","E02006899",2011,294,1.21,243
"E33019884","E01033620","E02006899",2011,512,0.66,775.8
"E33019885","E01033620","E02006899",2011,254,0.41,619.5
"E33019886","E01033620","E02006899",2011,1743,0.85,2050.6
"E33019887","E01033620","E02006899",2011,1341,1.54,870.8
"E33019888","E01033620","E02006899",2011,1063,1.38,770.3
"E33019889","E01033620","E02006899",2011,409,0.43,951.2
"E33019890","E01033620","E02006899",2011,1440,0.85,1694.1
"E33019891","E01033620","E02006899",2011,907,0.88,1030.7
"E33019892","E01033620","E02006899",2011,1291,0.36,3586.1
"E33019893","E01033620","E02006899",2011,769,1.12,686.6
"E33019894","E01033620","E02006899",2011,676,0.81,834.6
"E33019895","E01033620","E02006899",2011,985,0.32,3078.1
"E33019896","E01033620","E02006899",2011,485,0.4,1212.5
"E33019897","E01033620","E02006899",2011,198,0.68,291.2
"E33019898","E01033620","E02006899",2011,391,0.21,1861.9
"E33019899","E01033620","E02006899",2011,855,1.4,610.7
"E33019900","E01033620","E02006899",2011,988,0.52,1900
"E33019901","E01033620","E02006899",2011,273,0.52,525
"E33019902","E01033620","E02006899",2011,496,2.7,183.7
"E33019903","E01033620","E02006899",2011,1354,0.83,1631.3
"E33019904","E01033620","E02006899",2011,1824,1.29,1414
"E33019905","E01033620","E02006899",2011,410,0.79,519
"E33019906","E01033620","E02006899",2011,313,4.12,76
"E33019907","E01033620","E02006899",2011,614,1.49,412.1
"E33019908","E01033625","E02006899",2011,1352,2.51,538.6
"E33019909","E01033625","E02006899",2011,2021,0.5,4042
"E33019910","E01033625","E02006899",2011,329,1.15,286.1
"E33019911","E01033625","E02006899",2011,282,1.9,148.4
"E33019912","E01033617","E02001876",2011,603,9.72,62
"E33019913","E01033625","E02006899",2011,906,1.07,846.7
"E33019914","E01033625","E02006899",2011,521,2.71,192.3
"E33019915","E01033625","E02006899",2011,268,1.99,134.7
"E33019916","E01033625","E02006899",2011,666,5.55,120
"E33019917","E01033617","E02001876",2011,1687,5.95,283.5
"E33019918","E01008899","E02001863",2011,312,37.58,8.3
"E33019919","E01033620","E02006899",2011,441,0.42,1050
"E33019920","E01033620","E02006899",2011,1005,1.76,571
"E33019921","E01033620","E02006899",2011,309,0.79,391.1
"E33019922","E01033620","E02006899",2011,865,0.96,901
"E33019923","E01033620","E02006899",2011,319,0.95,335.8
"E33019924","E01033620","E02006899",2011,1357,0.19,7142.1
"E33019925","E01033620","E02006899",2011,331,0.62,533.9
"E33019926","E01033620","E02006899",2011,348,2.56,135.9
"E33019927","E01033620","E02006899",2011,620,0.85,729.4
"E33019928","E01033620","E02006899",2011,434,0.55,789.1
"E33019929","E01033620","E02006899",2011,354,1.04,340.4
"E33019930","E01033620","E02006899",2011,368,0.86,427.9
"E33019931","E01033620","E02006899",2011,370,2.75,134.5
"E33019932","E01033620","E02006899",2011,206,0.85,242.4
"E33019933","E01033620","E02006899",2011,333,2.49,133.7
"E33019934","E01033620","E02006899",2011,523,1.04,502.9
"E33019935","E01033620","E02006899",2011,2606,1.31,1989.3
"E33019936","E01033622","E02006899",2011,233,4.16,56
"E33019937","E01033622","E02006899",2011,306,1.22,250.8
"E33019938","E01033622","E02006899",2011,677,0.71,953.5
"E33019939","E01033619","E02006898",2011,264,1.57,168.2
"E33019940","E01033619","E02006898",2011,420,1.82,230.8
"E33019941","E01033619","E02006898",2011,348,1.27,274
"E33019942","E01033623","E02006899",2011,324,3.67,88.3
"E33019943","E01033623","E02006899",2011,615,2.5,246
"E33019944","E01033623","E02006899",2011,600,2.47,242.9
"E33019945","E01033631","E02001905",2011,233,59.9,3.9
"E33019946","E01033631","E02001905",2011,576,26.88,21.4
"E33019947","E01009143","E02006897",2011,601,1.73,347.4
"E33019948","E01009143","E02006897",2011,447,7.16,62.4
"E33019949","E01009143","E02006897",2011,1166,4.34,268.7
"E33019950","E01033565","E02006898",2011,1072,2.93,365.9
"E33019951","E01033620","E02006899",2011,559,0.47,1189.4
"E33019952","E01033620","E02006899",2011,350,0.87,402.3
"E33019953","E01033620","E02006899",2011,359,0.33,1087.9
"E33019954","E01009342","E02001889",2011,1441,20.29,71
"E33019955","E01033622","E02006899",2011,443,2.37,186.9
"E33019956","E01033623","E02006899",2011,212,1.59,133.3
"E33019957","E01009239","E02001859",2011,1563,13.19,118.5
"E33019958","E01009239","E02001859",2011,698,38.14,18.3
"E33019959","E01009239","E02001859",2011,535,34.15,15.7
"E33019960","E01008914","E02001876",2011,248,7.94,31.2
"E33019961","E01008914","E02001876",2011,215,4.89,44
"E33019962","E01008914","E02001876",2011,246,3.07,80.1
"E33019963","E01008914","E02001876",2011,227,4.41,51.5
"E33019964","E01008914","E02001876",2011,224,6.57,34.1
"E33019965","E01008914","E02001876",2011,444,4.2,105.7
"E33019966","E01009418","E02001827",2011,284,116.82,2.4
"E33019966","E01009433","E02001827",2011,284,116.82,2.4
"E33019967","E01009418","E02001827",2011,635,114.7,5.5
"E33019967","E01009433","E02001827",2011,635,114.7,5.5
"E33019967","E01009419","E02001827",2011,635,114.7,5.5
"E33019967","E01009417","E02001827",2011,635,114.7,5.5
"E33019968","E01009415","E02001828",2011,258,146.87,1.8
"E33019968","E01009423","E02001828",2011,258,146.87,1.8
"E33019969","E01009423","E02001828",2011,437,33.07,13.2
"E33019969","E01009425","E02001828",2011,437,33.07,13.2
"E33019970","E01009425","E02001828",2011,420,26.4,15.9
"E33019970","E01009415","E02001828",2011,420,26.4,15.9
"E33019970","E01009422","E02001828",2011,420,26.4,15.9
"E33019971","E01009425","E02001828",2011,475,27.2,17.5
"E33019972","E01009422","E02001828",2011,496,73.61,6.7
"E33019972","E01009425","E02001828",2011,496,73.61,6.7
"E33019973","E01009420","E02001829",2011,364,62.53,5.8
"E33019973","E01009426","E02001829",2011,364,62.53,5.8
"E33019973","E01009416","E02001829",2011,364,62.53,5.8
"E33019974","E01009416","E02001829",2011,324,310.52,1
"E33019975","E01009431","E02001829",2011,367,51.54,7.1
"E33019975","E01009429","E02001829",2011,367,51.54,7.1
"E33019975","E01009426","E02001829",2011,367,51.54,7.1
"E33019976","E01009431","E02001829",2011,412,118.4,3.5
"E33019976","E01009426","E02001829",2011,412,118.4,3.5
"E33019976","E01009429","E02001829",2011,412,118.4,3.5
"E33019977","E01009424","E02001830",2011,421,887.18,0.5
"E33019977","E01009421","E02001830",2011,421,887.18,0.5
"E33019978","E01009424","E02001830",2011,338,16.35,20.7
"E33019979","E01009424","E02001830",2011,230,28.77,8
"E33019979","E01009430","E02001830",2011,230,28.77,8
"E33019980","E01009427","E02001830",2011,333,96.46,3.5
"E33019980","E01009430","E02001830",2011,333,96.46,3.5
"E33019981","E01009430","E02001830",2011,281,70.36,4
"E33019981","E01009427","E02001830",2011,281,70.36,4
"E33019982","E01009468","E02001830",2011,278,107.94,2.6
"E33019983","E01009424","E02001830",2011,349,5.83,59.9
"E33019984","E01009424","E02001830",2011,914,91.74,10
"E33019984","E01009428","E02001830",2011,914,91.74,10
"E33019985","E01009448","E02001831",2011,321,97.63,3.3
"E33019985","E01009445","E02001831",2011,321,97.63,3.3
"E33019986","E01009447","E02001831",2011,262,39.28,6.7
"E33019986","E01009446","E02001831",2011,262,39.28,6.7
"E33019987","E01009447","E02001831",2011,704,41.57,16.9
"E33019987","E01009445","E02001831",2011,704,41.57,16.9
"E33019987","E01009446","E02001831",2011,704,41.57,16.9
"E33019988","E01009452","E02001831",2011,364,32.92,11.1
"E33019988","E01009455","E02001831",2011,364,32.92,11.1
"E33019989","E01009447","E02001831",2011,534,39.02,13.7
"E33019989","E01009452","E02001831",2011,534,39.02,13.7
"E33019989","E01009448","E02001831",2011,534,39.02,13.7
"E33019990","E01009437","E02001832",2011,213,11.91,17.9
"E33019991","E01009444","E02001832",2011,370,40.52,9.1
"E33019992","E01009454","E02001832",2011,282,52.29,5.4
"E33019992","E01009435","E02001832",2011,282,52.29,5.4
"E33019993","E01009432","E02001832",2011,3177,75.97,41.8
"E33019994","E01009437","E02001832",2011,381,92.87,4.1
"E33019995","E01009435","E02001832",2011,327,58.22,5.6
"E33019995","E01009437","E02001832",2011,327,58.22,5.6
"E33019996","E01009467","E02001833",2011,329,54.31,6.1
"E33019996","E01009465","E02001833",2011,329,54.31,6.1
"E33019997","E01009221","E02001833",2011,345,13.91,24.8
"E33019998","E01009464","E02001833",2011,292,50.32,5.8
"E33019998","E01009465","E02001833",2011,292,50.32,5.8
"E33019999","E01009221","E02001833",2011,352,33.83,10.4
"E33019999","E01009465","E02001833",2011,352,33.83,10.4
"E33020000","E01009220","E02001834",2011,576,89,6.5
"E33020000","E01009233","E02001834",2011,576,89,6.5
"E33020000","E01009224","E02001834",2011,576,89,6.5
"E33020000","E01009222","E02001834",2011,576,89,6.5
"E33020001","E01009471","E02001835",2011,288,26.7,10.8
"E33020002","E01009453","E02001835",2011,566,42.78,13.2
"E33020002","E01009449","E02001835",2011,566,42.78,13.2
"E33020002","E01009451","E02001835",2011,566,42.78,13.2
"E33020003","E01009471","E02001835",2011,272,28.64,9.5
"E33020003","E01009466","E02001835",2011,272,28.64,9.5
"E33020004","E01009466","E02001835",2011,357,35.61,10
"E33020005","E01009449","E02001835",2011,506,36.77,13.8
"E33020006","E01009451","E02001835",2011,450,35.08,12.8
"E33020007","E01009472","E02001836",2011,370,46.58,7.9
"E33020007","E01009474","E02001836",2011,370,46.58,7.9
"E33020007","E01009470","E02001836",2011,370,46.58,7.9
"E33020008","E01009472","E02001836",2011,309,60.3,5.1
"E33020008","E01009135","E02001836",2011,309,60.3,5.1
"E33020008","E01009473","E02001836",2011,309,60.3,5.1
"E33020009","E01009469","E02001836",2011,263,36.29,7.2
"E33020009","E01009470","E02001836",2011,263,36.29,7.2
"E33020010","E01009474","E02001836",2011,306,39.46,7.8
"E33020010","E01009472","E02001836",2011,306,39.46,7.8
"E33020011","E01009473","E02001836",2011,1444,42.51,34
"E33020011","E01009469","E02001836",2011,1444,42.51,34
"E33020012","E01009133","E02001837",2011,654,63.38,10.3
"E33020012","E01009134","E02001837",2011,654,63.38,10.3
"E33020012","E01009131","E02001837",2011,654,63.38,10.3
"E33020012","E01009130","E02001837",2011,654,63.38,10.3
"E33020013","E01009128","E02001837",2011,357,47.36,7.5
"E33020013","E01009131","E02001837",2011,357,47.36,7.5
"E33020013","E01009127","E02001837",2011,357,47.36,7.5
"E33020014","E01009137","E02001837",2011,337,37.72,8.9
"E33020014","E01009134","E02001837",2011,337,37.72,8.9
"E33020015","E01009440","E02001838",2011,383,30.39,12.6
"E33020015","E01009436","E02001838",2011,383,30.39,12.6
"E33020016","E01009438","E02001838",2011,280,118.56,2.4
"E33020016","E01009436","E02001838",2011,280,118.56,2.4
"E33020017","E01009440","E02001838",2011,281,26.99,10.4
"E33020018","E01009450","E02001838",2011,367,155.26,2.4
